#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,694,329,6873,4571,287,1155,199,137,RED
2,9642,2601,358,1601,9016,334,203,152,RED
3,3950,3419,333,8739,7522,871,199,179,RED
4,2869,5736,5298,1880,806,354,180,124,RED
5,4571,287,1155,1601,9016,334,106,149,BLUE
6,8739,7522,871,1880,806,354,160,129,RED
7,694,329,6873,9642,2601,358,158,202,BLUE
8,3950,3419,333,2869,5736,5298,202,179,RED
9,694,329,6873,8739,7522,871,216,200,RED
10,2869,5736,5298,1601,9016,334,186,132,RED
11,9642,2601,358,3950,3419,333,237,149,RED
12,2869,5736,5298,694,329,6873,185,220,BLUE
13,3950,3419,333,694,329,6873,172,207,BLUE
14,9642,2601,358,694,329,6873,177,223,BLUE
15,9642,2601,358,694,329,6873,199,177,RED
16,9642,2601,358,694,329,6873,223,213,RED
