#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,354,871,743,9295,9642,4571,100,100•,TIE,0,0.9,13,14,0,1,0,0.9333333333333333,22,6,1,2
2,7759,5421,1601,5806,7730,3760,40•,65,BLUE,0,1.0666666666666667,11,3,0,2,0,2.7666666666666666,15,5,0,1
3,5298,6463,333,3419,369,2869,62,135•,BLUE,0,1.0333333333333334,10,8,0,1,1,1.1,18,12,1,2
4,2344,6590,7272,5736,2265,9509,52,75,BLUE,0,0.09999999999999999,12,5,0,1,0,1.9333333333333333,26,3,0,1
5,6648,296,6401,9016,4012,329,46•,115,BLUE,0,1.0,12,4,0,2,0,2.133333333333333,27,8,0,1
6,8739,334,9437,806,1155,2601,63•,148•,BLUE,0,1.9333333333333333,16,5,0,2,0,0.19999999999999998,29,11,2,2
7,335,6873,4299,10207,287,9636,46,74,BLUE,0,2.033333333333333,14,2,0,0,0,0.1,15,8,0,1
8,1880,7036,6880,5123,3004,884,59•,22,RED,0,1.9666666666666668,12,6,0,2,0,0.03333333333333333,8,1,0,0
9,7522,395,358,7668,3950,694,85•,139•,BLUE,0,0.9666666666666667,13,7,1,2,0,2.8333333333333335,10,16,1,2
10,2265,7730,369,9642,5736,9016,63,128•,BLUE,0,2.8666666666666663,11,8,0,1,0,2.166666666666667,29,6,1,2
11,9295,8739,6648,6463,5806,7272,45•,63•,BLUE,0,0.9666666666666667,11,4,0,2,0,0.8666666666666667,19,4,0,2
12,9636,9509,3419,333,806,4571,79•,74•,RED,0,1.0333333333333334,12,9,0,2,0,0.1,21,6,0,2
13,5421,743,2344,1601,1880,334,44•,71•,BLUE,0,0.3,12,3,0,2,0,1.9333333333333333,16,5,0,2
14,3760,884,395,6873,3004,7522,39,123•,BLUE,0,0.9333333333333333,11,3,0,0,1,1.9333333333333333,20,10,1,2
15,6401,335,5298,6590,1155,7668,35•,48•,BLUE,0,1.9333333333333333,9,2,0,2,0,0.13333333333333333,10,4,0,2
16,6880,3950,2869,287,354,296,149,74•,RED,0,2.066666666666667,20,14,2,1,1,0.7666666666666667,18,3,0,2
17,2601,694,4012,5123,7759,10207,128•,32•,RED,0,3.8333333333333335,14,11,1,2,0,0.06666666666666667,9,3,0,2
18,329,871,7036,9437,358,4299,80,57,RED,0,1.0666666666666669,25,4,0,1,0,1.0666666666666667,10,7,0,1
19,806,9016,5806,2344,7522,3760,91•,91•,TIE,0,0.16666666666666669,31,3,0,2,0,2.0,19,6,1,2
20,6401,9509,884,369,9642,5421,35,99•,BLUE,0,1.9333333333333333,12,1,0,1,0,2.0,15,9,1,2
21,5736,4571,3004,287,335,6463,76•,49,RED,0,0.0,28,2,0,2,0,1.9333333333333333,14,3,0,1
22,296,7730,743,6590,9636,3950,54,83•,BLUE,0,1.0666666666666667,11,5,0,1,0,1.0333333333333334,9,9,1,2
23,6648,7668,7759,333,7036,4299,40•,56•,BLUE,0,0.0,8,6,0,2,0,0.2,10,7,0,2
24,9437,395,694,1601,2265,4012,94•,61•,RED,1,2.8333333333333335,9,10,0,2,0,2.8666666666666667,16,4,0,2
25,7272,8739,2869,3419,329,5123,139•,124,RED,1,2.1,14,13,1,2,0,1.0,43,5,0,1
26,354,2601,5298,358,6873,1880,100•,111•,BLUE,0,-0.23333333333333334,13,11,1,2,0,1.9333333333333333,31,8,0,2
27,871,334,9295,6880,10207,1155,75•,76,BLUE,1,0.06666666666666667,17,4,0,2,0,1.1333333333333333,11,8,0,1
28,5806,743,884,3760,9509,296,44,35,RED,0,1.0,13,2,0,0,0,1.9333333333333333,7,3,0,1
29,4299,7522,287,7730,4012,333,105,67,RED,0,1.0666666666666667,22,10,0,0,0,1.9333333333333333,10,9,0,1
30,3950,5736,6401,806,3419,9437,125•,99,RED,1,1.9333333333333333,27,9,0,2,0,1.0,27,7,0,1
31,5421,2601,7272,1601,5298,2869,89•,128•,BLUE,0,0.13333333333333333,20,7,0,2,0,1.1,18,14,1,2
32,6873,6880,6590,694,7759,8739,37•,94•,BLUE,0,1.9333333333333333,11,2,0,2,0,2.833333333333333,14,10,0,2
33,358,7668,9016,6463,9636,871,101•,71•,RED,0,1.2333333333333334,27,7,0,2,0,1.1,9,9,0,2
34,3004,334,1155,9642,2265,6648,69•,85•,BLUE,0,0.13333333333333333,17,5,0,2,0,1.9,22,6,0,2
35,395,2344,7036,354,10207,4571,56•,76•,BLUE,0,0.13333333333333333,10,7,0,2,1,0.7666666666666667,15,6,0,2
36,1880,5123,369,9295,329,335,61•,79•,BLUE,0,1.9666666666666668,10,6,0,2,0,1.9333333333333333,29,3,0,2
37,2601,296,8739,9509,4299,7272,88•,40,RED,0,1.0333333333333334,23,3,1,2,0,2.0666666666666664,3,6,0,1
38,5736,6590,5421,6880,9016,743,70,58,RED,0,0.09999999999999999,25,3,0,1,0,1.3,19,2,0,1
39,1601,884,6463,3950,333,871,51•,136•,BLUE,0,1.9333333333333333,16,3,0,2,0,2.1,16,16,1,2
40,9636,9437,6873,9642,4012,2344,36,100,BLUE,0,2.0,9,3,0,0,0,2.966666666666667,21,6,1,1
41,3760,4571,7759,2869,694,334,41•,162•,BLUE,0,0.9333333333333333,10,4,0,2,0,1.0,20,20,1,2
42,5123,287,395,7522,1155,369,62•,133,BLUE,0,0.03333333333333333,17,6,0,2,0,2.0666666666666664,15,15,1,1
43,5806,6401,10207,3004,5298,329,51•,83•,BLUE,0,1.9000000000000001,15,3,0,2,0,0.9666666666666667,29,3,0,2
44,358,2265,806,7730,1880,7668,60•,55•,RED,0,0.0,20,2,0,2,0,1.9,10,6,0,2
45,335,6648,3419,7036,9295,354,98•,27•,RED,1,0.9666666666666667,27,6,0,2,0,-0.23333333333333334,5,3,0,2
46,334,5736,7759,296,4299,3950,62•,98•,BLUE,0,0.0,19,4,0,2,0,1.1,17,8,0,2
47,743,333,5123,871,9509,6873,42•,99•,BLUE,0,0.19999999999999998,5,6,0,2,0,2.0,23,7,0,2
48,9016,2869,9437,5298,6880,395,86•,31•,RED,0,2.333333333333333,12,8,0,2,0,0.9666666666666667,8,3,0,2
49,4571,884,1155,4012,358,5806,92•,75,RED,0,0.13333333333333333,17,6,1,2,0,1.8333333333333335,20,5,0,1
50,335,2344,1880,694,3419,6463,64•,127•,BLUE,0,2.033333333333333,11,7,0,2,0,2.833333333333333,26,12,1,2
51,8739,7522,354,6401,5421,2265,96•,34•,RED,0,1.6666666666666667,12,12,0,2,0,2.033333333333333,8,3,0,2
52,369,10207,7668,7272,6648,7730,42,53•,BLUE,0,1.0,9,4,0,1,0,0.9333333333333333,12,5,0,2
53,806,287,3004,2601,1601,9295,52,122•,BLUE,0,0.03333333333333333,18,2,0,0,1,1.0,21,8,1,2
54,6590,9642,329,7036,3760,9636,120•,40,RED,0,1.9,38,5,0,2,0,1.0333333333333334,4,5,0,1
55,2869,871,4299,1880,3950,395,76•,110•,BLUE,0,1.3,9,11,0,2,0,1.9333333333333333,25,8,1,2
56,6463,9437,2265,7759,354,6401,41•,70•,BLUE,0,2.9,9,4,0,2,1,1.7000000000000002,12,6,0,2
57,334,6648,5123,884,5298,2344,46•,68•,BLUE,0,0.03333333333333333,13,4,0,2,0,0.09999999999999999,18,5,0,2
58,1155,3419,7730,6873,5806,5421,128•,59•,RED,0,1.0666666666666667,22,11,1,2,0,1.9666666666666668,18,3,0,2
59,3004,335,694,9509,8739,806,84•,69•,RED,0,2.8333333333333335,13,9,0,2,0,1.9666666666666668,21,4,0,2
60,10207,9642,2601,333,296,7522,122•,90•,RED,0,1.0,25,8,2,2,0,1.0666666666666667,14,7,1,2
61,9636,4571,7668,6880,1601,5736,34•,79•,BLUE,0,0.06666666666666667,8,3,0,2,0,1.9333333333333333,31,1,0,2
62,9016,287,7036,743,7272,329,82•,72•,RED,0,1.2666666666666668,18,7,0,2,0,1.0666666666666667,25,3,0,2
63,4012,369,9295,3760,358,6590,59•,49•,RED,0,1.9,7,8,0,2,0,0.9333333333333333,10,4,0,2
