Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,694,11,0,0,11,33,3.0,1334,5,21,182,131,6,22
2,3950,11,0,0,11,31,2.8181818181818183,1384,2,16,232,118,11,19
3,2869,10,1,0,11,30,2.727272727272727,1325,4,14,173,139,7,21
4,9642,10,0,1,11,29,2.6363636363636362,1224,1,13,269,78,11,19
5,2601,8,3,0,11,26,2.3636363636363638,1335,3,8,250,103,10,21
6,3419,8,3,0,11,25,2.272727272727273,1257,3,8,296,92,3,20
7,5736,8,3,0,11,25,2.272727272727273,1064,3,5,312,54,1,20
8,1601,7,4,0,11,24,2.1818181818181817,906,4,11,196,65,2,21
9,1880,7,4,0,11,24,2.1818181818181817,887,0,12,182,82,2,21
10,8739,6,5,0,11,23,2.090909090909091,939,1,13,189,83,2,22
11,4571,6,4,1,11,23,2.090909090909091,783,1,3,182,59,4,21
12,9016,7,3,1,11,23,2.090909090909091,1131,0,12,265,78,2,19
13,9295,5,5,1,11,22,2.0,809,4,6,150,64,4,22
14,7522,7,3,1,11,22,2.0,1178,2,12,190,108,9,17
15,10207,7,4,0,11,22,2.0,754,2,6,168,61,2,19
16,2265,6,5,0,11,21,1.9090909090909092,774,2,15,177,59,1,20
17,335,7,4,0,11,21,1.9090909090909092,732,1,14,190,50,2,16
18,329,8,3,0,11,21,1.9090909090909092,1162,1,12,336,65,1,15
19,354,5,5,1,11,20,1.8181818181818181,938,4,3,191,85,1,20
20,6590,6,5,0,11,20,1.8181818181818181,735,1,7,159,57,2,19
21,7272,6,5,0,11,20,1.8181818181818181,799,1,6,165,71,2,19
22,358,6,5,0,11,20,1.8181818181818181,860,1,5,203,64,1,19
23,5298,6,5,0,11,20,1.8181818181818181,840,0,6,182,76,3,19
24,1155,6,5,0,11,19,1.7272727272727273,1045,1,8,176,92,7,18
25,7036,5,6,0,11,19,1.7272727272727273,624,0,7,128,61,1,20
26,6873,5,6,0,11,18,1.6363636363636365,829,2,14,191,59,3,17
27,871,5,5,1,11,18,1.6363636363636365,941,1,9,162,99,1,18
28,3004,5,6,0,11,18,1.6363636363636365,715,1,5,173,55,1,17
29,6880,6,5,0,11,18,1.6363636363636365,684,0,11,158,53,2,17
30,6401,4,7,0,11,17,1.5454545454545454,720,4,14,160,47,2,20
31,287,5,6,0,11,17,1.5454545454545454,893,2,6,221,69,0,16
32,806,4,6,1,11,17,1.5454545454545454,962,2,5,257,56,4,18
33,6648,3,8,0,11,17,1.5454545454545454,706,2,2,184,57,0,22
34,6463,4,7,0,11,17,1.5454545454545454,722,0,12,150,66,2,20
35,7730,6,5,0,11,17,1.5454545454545454,723,0,11,130,76,1,16
36,296,4,7,0,11,16,1.4545454545454546,773,3,10,143,59,3,19
37,2344,3,7,1,11,16,1.4545454545454546,775,2,9,159,65,2,20
38,369,5,6,0,11,16,1.4545454545454546,838,1,13,123,92,3,17
39,334,3,8,0,11,16,1.4545454545454546,829,1,4,191,67,2,21
40,4012,5,6,0,11,16,1.4545454545454546,842,0,16,154,78,2,17
41,5806,4,6,1,11,16,1.4545454545454546,734,0,10,200,51,0,17
42,7668,3,8,0,11,16,1.4545454545454546,628,0,8,119,64,1,21
43,7759,3,8,0,11,15,1.3636363636363635,726,2,6,143,72,0,20
44,395,3,8,0,11,15,1.3636363636363635,820,2,4,162,76,2,19
45,9437,4,7,0,11,15,1.3636363636363635,687,1,15,137,66,0,16
46,333,4,7,0,11,15,1.3636363636363635,821,1,9,169,78,2,18
47,9509,5,6,0,11,15,1.3636363636363635,653,0,14,147,56,1,16
48,884,5,6,0,11,14,1.2727272727272727,619,0,5,163,42,2,10
49,4299,4,7,0,11,13,1.1818181818181819,712,1,11,116,76,1,14
50,9636,3,8,0,11,13,1.1818181818181819,690,0,8,115,75,2,17
51,5421,2,9,0,11,12,1.0909090909090908,614,0,8,154,48,1,19
52,743,2,8,1,11,11,1.0,603,0,7,146,49,0,16
53,5123,1,10,0,11,10,0.9090909090909091,535,0,6,138,46,0,18
54,3760,2,8,1,11,9,0.8181818181818182,683,0,9,145,60,1,14
