#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,3478,1410,1819,2165,4256,4293,263,148,RED
2,9401,1561,1209,6026,3931,2945,194,181,RED
3,1987,2718,4500,3247,6424,4603,243,185,RED
4,5550,2083,8086,4499,2333,31,119,256,BLUE
5,2165,4256,4293,6026,3931,2945,149,163,BLUE
6,3247,6424,4603,5550,2083,8086,207,199,RED
7,3478,1410,1819,9401,1561,1209,223,228,BLUE
8,1987,2718,4500,4499,2333,31,268,271,BLUE
9,3478,1410,1819,3247,6424,4603,228,164,RED
10,1987,2718,4500,6026,3931,2945,241,166,RED
11,9401,1561,1209,4499,2333,31,234,240,BLUE
12,1987,2718,4500,3478,1410,1819,260,222,RED
13,9401,1561,1209,1987,2718,4500,234,269,BLUE
14,4499,2333,31,1987,2718,4500,211,284,BLUE
15,4499,2333,31,1987,2718,4500,245,270,BLUE
