#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,4293,9440,3507,2996,2773,2359,64,106•,BLUE,0,0.9333333333333333,13,6,0,1,0,1.9,23,9,0,2
2,6424,7744,8086,9401,2945,1209,105•,131,BLUE,0,0.13333333333333333,19,10,1,2,0,1.1,17,10,2,1
3,9495,10186,9472,1987,2395,7464,47•,93•,BLUE,0,0.9666666666666667,10,4,0,2,0,2.3,8,9,1,2
4,4523,2333,1410,1561,4603,4256,147•,144•,RED,0,0.06666666666666667,45,5,1,2,0,1.0,32,11,0,2
5,2036,2341,10112,6026,3160,3931,64•,104,BLUE,0,0.26666666666666666,13,6,0,2,0,1.1,31,5,0,1
6,3247,31,2083,1819,3465,8711,121•,82•,RED,0,1.9333333333333333,23,11,1,2,0,1.1666666666666667,21,6,0,2
7,5550,2165,9007,9462,7033,1723,95•,66•,RED,0,1.1,13,11,0,2,0,1.0333333333333334,16,5,0,2
8,6809,4005,2373,4500,4499,5863,102•,93,RED,1,0.1,11,9,1,2,0,2.033333333333333,6,12,1,1
9,2352,2718,1619,662,3478,3660,99•,153•,BLUE,0,1.0,19,9,0,2,0,2.9666666666666663,17,16,3,2
10,2341,2773,8086,2359,1410,2395,66•,106•,BLUE,0,1.1666666666666667,13,7,0,2,1,1.8666666666666667,19,6,1,2
11,9472,1819,4603,3465,10112,7744,106•,42•,RED,1,2.8666666666666663,30,3,0,2,0,1.1666666666666667,9,3,0,2
12,31,6026,3507,6424,10186,5550,50•,127•,BLUE,0,2.033333333333333,9,4,0,2,1,0.19999999999999998,19,9,1,2
13,2945,9440,3931,8711,6809,4499,80,102•,BLUE,0,1.0,27,3,0,1,1,2.033333333333333,13,8,1,2
14,1561,3478,2718,9401,7033,2996,184•,144•,RED,0,2.033333333333333,20,13,4,2,0,0.09999999999999999,17,17,1,2
15,2352,662,3160,1987,2165,2333,68•,135•,BLUE,0,0.03333333333333333,19,4,0,2,0,1.5,26,8,2,2
16,1209,4256,9462,3247,4005,3660,84•,92•,BLUE,0,1.0333333333333334,18,7,0,2,0,0.03333333333333334,14,13,0,2
17,1723,4500,2373,7464,4523,4293,126,96•,RED,0,1.0666666666666669,11,15,1,1,0,0.9666666666666667,22,7,0,2
18,9495,9007,5863,1619,2083,2036,68•,84•,BLUE,0,0.0,18,5,0,2,0,1.0,11,10,0,2
19,2395,4603,2773,8711,3478,7033,78•,130•,BLUE,1,2.8666666666666663,15,4,0,2,1,1.1333333333333333,12,12,2,2
20,2718,9472,1410,6809,9440,31,125•,64•,RED,0,1.8666666666666667,26,6,1,2,0,0.9333333333333333,18,3,0,2
21,2996,1209,1819,9462,6026,4499,110•,112•,BLUE,0,1.9333333333333333,20,10,0,2,0,2.166666666666667,16,10,1,2
22,1987,2359,10186,4005,1723,10112,72•,77•,BLUE,0,1.3333333333333335,20,4,0,2,1,1.0666666666666669,14,6,0,2
23,2036,2373,3465,1619,4293,2945,69•,105•,BLUE,0,0.2,14,7,0,2,0,1.0333333333333334,21,11,0,2
24,5550,4500,7744,2352,9007,6424,109•,68•,RED,1,0.1,15,8,0,2,0,0.16666666666666666,15,7,0,2
25,3931,4256,3247,1561,662,7464,93•,88•,RED,1,1.0333333333333334,16,8,0,2,0,0.03333333333333333,12,11,1,2
26,5863,2333,3507,2083,2341,9401,62•,197•,BLUE,0,1.0333333333333334,22,1,0,2,1,2.2333333333333334,16,22,1,2
27,3160,3660,4523,8086,9495,2165,79•,82•,BLUE,0,0.9,19,6,0,2,0,0.06666666666666667,16,10,0,2
28,7033,2373,1209,8711,10112,1410,101•,90•,RED,0,1.0,23,7,0,2,0,0.1,23,5,1,2
29,2395,9440,1619,2352,4293,4005,37•,106•,BLUE,0,0.9666666666666667,5,4,0,2,1,1.0666666666666667,19,8,0,2
30,2718,1723,1987,3465,6424,3931,201••,125•,RED,1,3.2666666666666666,32,13,2,2,0,1.2333333333333334,26,10,1,2
31,2945,2333,4499,3507,9462,9472,187•,43•,RED,1,2.0666666666666664,37,12,2,2,0,1.9666666666666668,10,3,0,2
32,8086,9401,5550,4256,2036,6809,163•,89•,RED,1,0.13333333333333333,24,16,1,2,1,0.03333333333333333,18,7,0,2
33,3478,3247,2996,3160,9007,4500,152•,109•,RED,1,1.1333333333333333,14,13,2,2,0,1.0666666666666667,13,12,1,2
34,4523,1819,7744,3660,10186,5863,55,86•,BLUE,0,0.9666666666666667,14,3,0,0,1,0.9333333333333333,17,7,0,2
35,4603,2359,2165,2083,1561,9495,114•,157•,BLUE,1,1.9666666666666666,22,9,0,2,1,0.9666666666666667,17,17,1,2
36,6026,2341,662,2773,7464,31,82•,62•,RED,0,0.3333333333333333,19,7,0,2,0,1.9,9,5,0,2
37,2373,1619,2333,1987,4499,8086,122•,186•,BLUE,0,0.13333333333333333,23,11,1,2,0,2.3333333333333335,25,16,2,2
38,9462,2718,6809,10112,3507,4256,97•,62•,RED,1,1.0,19,4,1,2,0,1.0,16,4,0,2
39,3660,2036,2996,6424,2395,8711,80•,83•,BLUE,0,0.9333333333333333,18,6,0,2,0,1.1333333333333333,9,8,1,2
40,3478,5863,1819,3160,1209,1723,155•,103,RED,0,2.033333333333333,24,11,2,2,0,1.9333333333333333,24,9,0,0
41,2083,4523,2165,9440,7464,5550,120•,55•,RED,1,1.0,17,11,1,2,0,0.03333333333333333,13,4,0,2
42,10186,6026,9401,2945,4500,2352,135,116•,RED,0,0.26666666666666666,16,11,2,1,0,1.1333333333333335,22,9,1,2
43,2773,4005,9495,7744,2341,1561,89•,97,BLUE,1,1.0333333333333334,19,5,0,2,0,0.2333333333333333,15,11,1,1
44,3465,7033,9007,3931,4603,31,50•,114,BLUE,0,1.1333333333333333,15,3,0,2,0,2.8666666666666667,37,3,0,1
45,4293,2359,9472,3247,1410,662,94,112•,BLUE,0,2.833333333333333,20,8,0,1,0,0.06666666666666667,19,10,1,2
46,5863,8711,7464,3478,9462,2333,66•,167•,BLUE,0,0.06666666666666667,19,5,0,2,1,1.2,19,13,1,2
47,4523,2395,2945,2718,2083,3160,95•,142•,BLUE,0,0.9666666666666667,28,6,0,2,0,1.8666666666666667,30,11,0,2
48,5550,6809,1987,2773,1561,1819,122•,104•,RED,0,2.4000000000000004,20,11,0,2,0,0.9666666666666667,16,10,0,2
49,3660,4500,9401,1619,3931,10112,143•,94•,RED,0,2.0666666666666664,12,13,1,2,0,1.0333333333333334,21,9,0,2
50,4293,6424,4256,9472,7033,2341,162•,58•,RED,0,1.1,32,14,1,2,0,2.1333333333333333,10,6,0,2
51,31,1723,9495,1410,8086,2352,116•,98•,RED,1,1.9,30,6,0,2,0,0.03333333333333333,19,8,1,2
52,10186,2036,4603,2165,3247,9440,72•,81•,BLUE,0,1.0333333333333334,23,3,0,2,1,0.13333333333333333,8,10,0,2
53,4005,7744,2359,2996,2373,6026,60•,119•,BLUE,0,1.0,11,6,0,2,1,0.16666666666666666,16,8,1,2
54,4499,3465,1209,9007,3507,662,94•,45•,RED,0,3.066666666666667,16,6,1,2,0,0.9666666666666667,16,2,0,2
55,1819,3931,4500,5863,9472,2773,123•,63•,RED,0,2.0,23,10,1,2,0,1.9,13,6,0,2
56,2083,1410,9462,9401,3160,3478,128•,197•,BLUE,0,0.0,24,9,1,2,1,1.1666666666666667,13,22,2,2
57,1723,3247,2945,2333,9495,2341,90•,82•,RED,0,1.0666666666666669,23,7,0,2,0,0.26666666666666666,18,9,0,2
58,2373,31,8711,10186,2165,4005,132•,74•,RED,0,1.0333333333333334,23,10,1,2,0,0.16666666666666669,9,11,0,2
59,1561,1619,3465,2996,10112,2395,105•,57,RED,0,1.2000000000000002,16,11,0,2,0,0.9666666666666667,10,6,0,1
60,4256,8086,6026,9007,1987,9440,114•,81•,RED,1,1.1333333333333333,25,7,0,2,0,0.3666666666666667,10,5,2,2
61,3660,4603,6809,1209,5550,4293,114•,135•,BLUE,1,0.8666666666666667,27,8,0,2,0,1.9666666666666668,26,12,0,2
62,7744,662,7033,2036,3507,4523,50•,61•,BLUE,0,0.0,14,4,0,2,1,1.0,16,1,0,2
63,2359,2352,7464,4499,6424,2718,61•,190•,BLUE,0,-0.03333333333333333,17,4,0,2,1,3.033333333333333,20,14,3,2
64,31,1561,4500,9462,8711,3160,197,50•,RED,0,2.033333333333333,23,20,2,1,0,0.13333333333333333,15,2,0,2
65,10112,2773,2945,4256,2996,1723,97•,130•,BLUE,1,1.0333333333333334,23,5,0,2,1,0.9666666666666667,24,11,0,2
66,2395,9401,2165,3247,9472,9007,117•,62•,RED,1,1.1,5,15,1,2,0,1.0,11,7,0,2
67,7033,2083,9440,7744,1987,3660,49•,93•,BLUE,0,0.9333333333333333,11,2,1,2,0,0.2666666666666667,17,8,0,2
68,4293,2718,9495,2333,1209,10186,121•,68,RED,1,1.9,23,6,1,2,0,1.0666666666666669,21,2,0,1
69,2341,7464,1619,2359,6809,1819,70•,95•,BLUE,0,1.2333333333333334,13,7,0,2,0,1.9,23,7,0,2
70,3507,2352,5550,1410,3931,2373,108•,149•,BLUE,1,1.0333333333333334,21,8,0,2,0,1.0,35,7,2,2
71,3465,4523,3478,4005,4499,2036,158•,109•,RED,1,2.2,20,11,1,2,1,2.0666666666666664,18,9,0,2
72,6026,5863,6424,662,8086,4603,138•,91•,RED,1,0.26666666666666666,28,9,1,2,0,0.9666666666666667,28,5,0,2
73,4500,4256,1987,7744,31,2395,177•,92•,RED,1,0.43333333333333335,19,17,1,2,0,1.8666666666666667,19,8,0,2
74,2165,1619,3160,2718,1209,2773,111•,136•,BLUE,1,1.1,24,8,0,2,0,1.8666666666666665,29,10,1,2
75,3507,8711,1561,9007,4293,1723,92•,73•,RED,0,1.0666666666666669,13,11,1,2,1,1.9333333333333333,9,7,0,2
76,4499,3660,7033,2341,2945,3465,110•,81•,RED,1,2.8666666666666667,15,7,1,2,1,1.3666666666666667,15,6,0,2
77,6026,2352,3247,6809,5863,4523,92•,84•,RED,0,0.23333333333333334,17,11,0,2,0,0.0,22,6,0,2
78,9440,6424,662,1819,9495,10112,66•,84•,BLUE,0,0.13333333333333333,14,6,0,2,0,2.0,20,7,0,2
79,8086,2359,2333,9472,5550,3478,80•,145•,BLUE,0,1.0,24,4,0,2,1,2.033333333333333,18,11,1,2
80,3931,2996,2083,2373,9462,10186,161•,95•,RED,0,1.9,36,12,1,2,0,0.13333333333333333,16,9,0,2
81,1410,9401,2036,4603,7464,4005,202•,62•,RED,1,0.13333333333333333,35,12,2,2,0,1.0333333333333334,17,4,0,2
82,4499,3160,4293,4256,7744,1619,135•,77,RED,0,2.9333333333333336,24,10,2,2,0,1.0333333333333334,14,8,0,1
83,6424,10112,31,2773,4523,3247,125,78,RED,0,1.1,26,9,1,1,0,1.0333333333333334,14,9,0,1
84,2333,1561,9440,4500,3478,6026,109•,190•,BLUE,0,0.1,25,10,0,2,0,1.2666666666666666,15,17,4,2
85,9472,6809,2996,1723,2165,3660,58•,71•,BLUE,0,0.9333333333333333,11,5,0,2,0,1.9333333333333336,13,9,0,2
86,8711,2945,1987,4603,2718,5863,128•,90•,RED,1,1.4666666666666668,22,7,1,2,0,1.9,19,5,1,2
87,9401,3931,9007,2373,9495,2359,109•,97•,RED,0,1.0666666666666667,24,6,1,2,0,0.9666666666666667,9,13,0,2
88,662,3465,10186,1410,5550,2341,60•,163•,BLUE,0,0.16666666666666666,15,5,0,2,1,1.2333333333333334,27,13,1,2
89,7464,2083,1209,7033,2036,2352,119•,58•,RED,0,1.9,23,11,1,2,0,1.0666666666666669,15,4,0,2
90,1819,4005,9462,3507,2395,8086,82•,35•,RED,0,1.1,16,8,0,2,0,1.9,6,3,0,2
91,1723,8711,9472,4523,1619,6026,55•,98•,BLUE,0,1.9666666666666668,13,4,0,2,0,0.16666666666666666,29,5,0,2
92,6809,2773,3931,9007,2333,7744,63•,58•,RED,0,1.9333333333333333,12,6,0,2,0,0.06666666666666667,20,3,0,2
93,9495,4256,3478,2165,3465,4500,141•,98•,RED,0,1.0666666666666667,17,12,2,2,1,0.26666666666666666,5,12,0,2
94,10112,5550,4499,5863,31,4293,126•,117•,RED,1,2.033333333333333,11,14,1,2,0,1.9,25,9,0,2
95,4005,1410,6424,2945,1819,2083,147•,122•,RED,1,1.2,23,11,1,2,0,1.9333333333333333,23,9,1,2
96,7464,3160,2036,2359,3660,3507,70•,59•,RED,0,0.03333333333333333,20,5,0,2,0,2.8,16,3,0,2
97,8086,3247,1561,7033,10186,2718,111,78•,RED,0,0.1,14,13,1,1,0,0.9666666666666667,13,5,1,2
98,1209,662,2395,9440,2373,9401,83•,156•,BLUE,0,1.9,19,8,0,2,0,0.13333333333333333,14,15,3,2
99,2341,2996,9462,4603,1987,2352,97•,140•,BLUE,0,1.2666666666666666,17,10,0,2,0,1.366666666666667,31,9,1,2
