Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,3478,11,0,0,11,33,3.0,1772,6,16,189,151,24,22
2,1987,9,2,0,11,30,2.727272727272727,1428,3,13,230,107,12,22
3,5550,9,2,0,11,29,2.6363636363636362,1348,7,10,207,117,5,22
4,9401,10,1,0,11,29,2.6363636363636362,1694,5,8,193,159,17,20
5,6026,10,1,0,11,29,2.6363636363636362,1234,3,7,221,94,9,20
6,4499,9,2,0,11,28,2.5454545454545454,1444,6,24,201,118,15,21
7,2718,8,3,0,11,28,2.5454545454545454,1463,4,15,250,96,15,22
8,1410,8,3,0,11,27,2.4545454545454546,1467,4,5,295,92,13,22
9,2083,8,3,0,11,27,2.4545454545454546,1400,3,9,231,125,9,22
10,3247,9,2,0,11,27,2.4545454545454546,1084,3,6,173,112,5,20
11,2165,7,4,0,11,25,2.272727272727273,1098,6,7,158,114,4,22
12,3660,7,4,0,11,25,2.272727272727273,1080,3,9,185,96,5,22
13,1723,7,4,0,11,24,2.1818181818181817,1108,5,12,209,92,3,19
14,6424,7,4,0,11,24,2.1818181818181817,1336,4,8,231,107,11,21
15,2373,7,4,0,11,24,2.1818181818181817,1268,2,4,195,111,10,21
16,3931,8,3,0,11,24,2.1818181818181817,1215,1,13,288,79,6,19
17,4005,6,5,0,11,23,2.090909090909091,1000,6,9,171,90,2,22
18,6809,6,5,0,11,23,2.090909090909091,990,5,7,194,74,3,22
19,9495,6,5,0,11,23,2.090909090909091,1084,4,6,197,94,4,22
20,8711,6,5,0,11,23,2.090909090909091,1010,3,9,183,78,8,22
21,4256,6,5,0,11,22,2.0,1273,5,8,231,106,4,21
22,4500,7,4,0,11,22,2.0,1481,3,12,164,145,13,19
23,1819,6,5,0,11,22,2.0,1118,1,13,230,84,4,20
24,1561,7,4,0,11,22,2.0,1388,1,7,203,138,11,19
25,4293,6,5,0,11,21,1.9090909090909092,1208,3,11,234,98,4,20
26,2996,5,6,0,11,20,1.8181818181818181,1214,3,5,206,107,5,21
27,8086,5,6,0,11,20,1.8181818181818181,1131,2,6,213,99,6,21
28,31,6,5,0,11,20,1.8181818181818181,1190,1,13,242,88,5,19
29,1209,6,5,0,11,20,1.8181818181818181,1164,0,13,236,92,5,18
30,2945,5,6,0,11,19,1.7272727272727273,1232,4,11,258,85,7,20
31,2036,4,7,0,11,19,1.7272727272727273,958,4,6,201,70,2,22
32,4523,5,6,0,11,19,1.7272727272727273,1071,3,5,246,70,3,19
33,9462,4,7,0,11,19,1.7272727272727273,1021,2,9,186,80,4,22
34,3160,5,6,0,11,19,1.7272727272727273,1168,2,8,232,94,5,19
35,2395,4,7,0,11,18,1.6363636363636365,876,3,10,143,77,4,21
36,2341,4,7,0,11,18,1.6363636363636365,1057,3,9,176,104,3,21
37,2333,4,7,0,11,18,1.6363636363636365,1217,2,7,280,78,7,21
38,1619,4,7,0,11,18,1.6363636363636365,1002,1,8,196,93,1,21
39,3465,3,8,0,11,17,1.5454545454545454,964,3,11,172,80,3,22
40,10112,4,7,0,11,17,1.5454545454545454,918,3,10,186,74,3,20
41,7033,3,8,0,11,17,1.5454545454545454,894,2,9,161,72,6,22
42,2352,3,8,0,11,17,1.5454545454545454,1014,2,6,214,81,3,22
43,7464,3,8,0,11,17,1.5454545454545454,842,0,6,173,72,3,22
44,662,3,8,0,11,17,1.5454545454545454,898,0,3,192,78,5,22
45,4603,3,8,0,11,16,1.4545454545454546,1125,4,12,281,64,2,21
46,2773,3,8,0,11,16,1.4545454545454546,942,3,11,186,76,1,21
47,9472,3,8,0,11,16,1.4545454545454546,856,2,13,172,63,2,21
48,2359,3,8,0,11,16,1.4545454545454546,944,2,11,204,73,1,21
49,5863,3,8,0,11,16,1.4545454545454546,1022,2,8,213,76,5,21
50,10186,3,8,0,11,15,1.3636363636363635,914,2,3,179,70,4,20
51,9007,2,9,0,11,15,1.3636363636363635,818,1,6,164,68,4,22
52,3507,2,9,0,11,14,1.2727272727272727,681,2,11,158,46,1,21
53,7744,3,8,0,11,14,1.2727272727272727,838,1,4,167,72,2,18
54,9440,2,9,0,11,13,1.1818181818181819,842,1,1,158,68,6,20
