#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,6328,4343,6987,1334,5036,2013,206,148,RED
2,4476,5406,6864,4039,2706,6110,158,212,BLUE
3,2200,3739,1310,7520,1305,6859,211,148,RED
4,4069,2386,9592,781,6978,2852,177,154,RED
5,1334,5036,2013,4476,5406,6864,112,184,BLUE
6,7520,1305,6859,781,6978,2852,193,234,BLUE
7,6328,4343,6987,4039,2706,6110,220,174,RED
8,2200,3739,1310,4069,2386,9592,249,169,RED
9,4039,2706,6110,781,6978,2852,216,199,RED
10,4069,2386,9592,4476,5406,6864,134,226,BLUE
11,6328,4343,6987,2200,3739,1310,240,216,RED
12,4476,5406,6864,4039,2706,6110,198,193,RED
13,2200,3739,1310,4476,5406,6864,257,186,RED
14,6328,4343,6987,2200,3739,1310,201,179,RED
15,6328,4343,6987,2200,3739,1310,223,257,BLUE
16,6328,4343,6987,2200,3739,1310,223,198,RED
