#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,2200,5406,6859,771,6328,3739,191•,169•,RED,0,3.5333333333333337,21,18,2,2,0,2.033333333333333,24,13,2,2
2,9127,9592,2708,2852,6110,2706,52,126•,BLUE,0,2.0666666666666664,6,8,0,1,1,0.1,32,7,0,2
3,6987,6865,3543,10115,1334,1310,42•,66•,BLUE,0,1.0,14,3,-1,2,0,0.26666666666666666,15,5,0,2
4,5672,4476,6978,4343,9589,6632,126•,52•,RED,0,-0.06666666666666667,21,12,1,2,0,0.03333333333333333,8,6,0,2
5,6864,5036,2386,2013,4039,7520,99•,160•,BLUE,0,0.9,18,10,1,2,1,0.4333333333333333,15,12,2,2
6,10080,4069,1305,3560,4476,781,139•,125•,RED,1,2.1,20,8,2,2,0,1.6666666666666667,13,11,1,2
7,2200,6110,6978,5406,771,1334,140,98•,RED,0,1.5666666666666669,30,9,1,1,1,2.2666666666666666,11,6,1,2
8,6859,6987,1310,6632,2706,4069,91•,117•,BLUE,1,0.2,21,5,0,2,1,1.0333333333333334,21,6,1,2
9,6865,2852,2386,7520,781,5672,92•,133•,BLUE,0,1.9333333333333333,20,8,-1,2,1,2.0,15,9,2,2
10,10080,3739,6864,3560,2708,3543,80,60,RED,0,1.0333333333333334,21,7,0,1,0,1.0666666666666667,9,8,0,1
11,5036,9127,4039,1305,4343,9592,144•,136•,RED,0,1.3666666666666667,7,19,1,2,0,1.0333333333333332,19,14,1,2
12,2013,10115,10080,9589,6328,3560,75•,92•,BLUE,0,0.9666666666666667,18,6,0,2,0,1.0,12,7,2,2
13,771,4343,6865,1334,6859,2706,68•,109•,BLUE,0,1.0333333333333334,22,4,-1,2,0,0.3,30,7,0,2
14,2013,1305,9589,4039,2852,4069,82,157•,BLUE,0,1.0,14,6,1,1,0,2.433333333333333,19,12,2,2
15,6328,5036,781,3739,1310,6632,159•,110•,RED,1,2.8,16,11,3,2,0,1.0333333333333334,21,8,1,2
16,6110,5406,2708,6987,7520,10115,115•,91,RED,0,1.2000000000000002,17,10,1,2,0,0.13333333333333333,19,6,1,1
17,3543,2200,9592,9127,2386,4476,99•,138•,BLUE,0,3.3333333333333335,16,9,1,2,0,0.8,10,16,2,2
18,771,5672,6864,6978,4069,1310,48•,101•,BLUE,0,0.16666666666666669,13,4,0,2,0,2.1333333333333333,22,9,0,2
19,4476,9589,4039,2708,6865,3739,147•,76,RED,1,2.2666666666666666,13,8,2,2,0,2.0,14,6,0,1
20,781,2013,5406,6328,2706,6987,148•,178•,BLUE,0,2.8333333333333335,20,12,2,2,0,2.1,26,17,2,2
