Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,6328,11,1,0,12,34,2.8333333333333335,1874,90,42,534,709,260,24
2,2200,11,1,0,12,32,2.6666666666666665,1834,60,61,444,722,270,22
3,4069,11,1,0,12,32,2.6666666666666665,1551,60,42,512,531,200,22
4,4476,10,2,0,12,31,2.5833333333333335,1649,45,25,418,687,180,23
5,4039,9,3,0,12,30,2.5,1629,60,33,426,613,180,24
6,781,8,4,0,12,28,2.3333333333333335,1607,75,36,480,612,190,24
7,6978,9,3,0,12,27,2.25,1362,30,26,694,395,40,21
8,2386,7,5,0,12,26,2.1666666666666665,1531,60,33,440,703,100,24
9,7520,7,5,0,12,25,2.0833333333333335,1501,75,19,508,532,160,23
10,1334,7,5,0,12,25,2.0833333333333335,1147,60,21,524,346,50,23
11,5672,7,5,0,12,25,2.0833333333333335,1129,60,17,374,478,40,23
12,2706,7,5,0,12,25,2.0833333333333335,1441,30,18,642,533,60,23
13,5406,7,5,0,12,24,2.0,1515,45,43,430,605,150,22
14,5036,7,5,0,12,24,2.0,1292,45,30,432,523,80,22
15,2852,6,6,0,12,24,2.0,1243,30,20,550,433,40,24
16,6632,6,6,0,12,23,1.9166666666666667,1127,75,18,392,384,100,23
17,6859,6,6,0,12,23,1.9166666666666667,1276,30,21,558,436,60,23
18,1305,6,6,0,12,23,1.9166666666666667,1487,30,20,460,660,120,23
19,6110,7,5,0,12,23,1.9166666666666667,1264,15,22,516,442,90,21
20,4343,6,6,0,12,22,1.8333333333333333,1506,15,20,620,549,100,22
21,10115,5,7,0,12,21,1.75,1137,75,9,388,434,70,23
22,10080,5,7,0,12,21,1.75,1076,30,23,424,402,50,23
23,1310,4,8,0,12,19,1.5833333333333333,1164,60,20,470,426,20,23
24,3739,6,6,0,12,19,1.5833333333333333,1450,15,42,556,512,150,19
25,9127,5,7,0,12,18,1.5,1138,45,15,254,587,70,20
26,9592,4,8,0,12,18,1.5,1136,30,43,408,467,50,22
27,6987,4,8,0,12,18,1.5,1175,30,19,434,468,70,22
28,6864,4,8,0,12,18,1.5,1128,0,17,482,393,80,22
29,2708,4,8,0,12,17,1.4166666666666667,1145,0,27,364,496,70,21
30,9589,3,9,0,12,16,1.3333333333333333,861,15,17,350,271,60,21
31,2013,4,8,0,12,15,1.25,1310,30,35,570,431,70,19
32,3543,2,10,0,12,15,1.25,1026,15,20,372,402,50,23
33,771,1,11,0,12,14,1.1666666666666667,909,45,22,340,324,40,24
34,3560,3,9,0,12,12,1.0,1054,0,32,378,407,80,17
35,6865,1,11,0,12,10,0.8333333333333334,953,15,34,498,328,-70,19
