#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1305,4476,9621,7480,7200,6987,178,111,RED
2,5672,5505,6110,6514,7712,8789,137,154,BLUE
3,2200,9785,9127,9527,1334,7476,186,136,RED
4,2609,2706,2708,8729,8731,1246,163,121,RED
5,7480,7200,6987,5672,5505,6110,107,113,BLUE
6,9527,1334,7476,8729,8731,1246,140,104,RED
7,1305,4476,9621,6514,7712,8789,170,135,RED
8,2200,9785,9127,2609,2706,2708,185,202,BLUE
9,6514,7712,8789,9527,1334,7476,164,137,RED
10,2200,9785,9127,5672,5505,6110,188,111,RED
11,1305,4476,9621,2609,2706,2708,202,195,RED
12,2200,9785,9127,6514,7712,8789,178,126,RED
13,2609,2706,2708,2200,9785,9127,183,192,BLUE
14,1305,4476,9621,2200,9785,9127,204,180,RED
15,1305,4476,9621,2200,9785,9127,148,242,BLUE
16,1305,4476,9621,2200,9785,9127,146,172,BLUE
