#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,8731,3543,10135,7200,2708,1334,83•,93,BLUE,0,1.0,16,8,0,2,0,0.26666666666666666,20,9,0,1
2,4476,6514,9527,5031,9127,8789,117•,56,RED,1,0.8333333333333334,14,14,0,2,0,1.0,3,9,0,1
3,6977,8729,9621,6110,6141,6987,46•,58,BLUE,0,0.13333333333333333,13,2,0,2,0,0.1,14,6,0,1
4,2706,6866,1305,5505,9785,1246,117•,117•,TIE,0,0.2,21,9,1,2,0,2.7666666666666666,19,11,1,2
5,2200,10026,7476,2609,5672,7480,82•,85•,BLUE,0,2.4000000000000004,8,7,1,2,0,0.9333333333333333,15,8,0,2
6,7712,1334,6141,5031,8731,9785,88,114•,BLUE,0,1.1333333333333333,14,9,0,1,0,1.8333333333333335,17,11,1,2
7,10026,2706,6514,8729,9621,6987,93•,58•,RED,0,1.1,20,8,0,2,0,0.16666666666666666,17,3,0,2
8,2708,5505,6110,7200,2609,8789,74•,107•,BLUE,0,1.0999999999999999,18,6,0,2,0,1.8333333333333335,10,12,1,2
9,1305,4476,6977,6866,7476,10135,144•,75•,RED,0,0.9,13,16,1,2,0,1.0333333333333334,13,8,0,2
10,3543,5672,1246,2200,7712,9527,72•,107•,BLUE,0,1.0,12,9,0,2,0,2.4,14,7,2,2
11,6514,5505,9127,1334,7480,6977,82•,60•,RED,0,0.9666666666666667,12,10,0,2,0,0.19999999999999998,17,4,0,2
12,7476,6141,5672,9621,1246,2706,66•,96•,BLUE,0,0.9666666666666667,6,10,0,2,1,1.0666666666666669,23,4,0,2
13,2708,2609,9785,8729,3543,6110,112•,72•,RED,0,1.8333333333333335,12,13,1,2,0,0.13333333333333333,15,7,0,2
14,5031,9527,1305,8731,7480,6987,80•,91•,BLUE,0,0.13333333333333333,9,7,1,2,0,1.0333333333333334,21,8,0,2
15,8789,6866,7712,7200,10026,4476,92•,90,RED,0,2.0,10,9,1,2,0,0.8666666666666667,6,13,1,1
16,2706,5505,10135,2200,5031,9127,95•,100•,BLUE,0,1.0,26,6,0,2,0,1.4333333333333336,4,11,1,2
17,7200,6110,8789,1246,7476,1305,86•,120•,BLUE,1,1.0333333333333334,4,11,0,2,0,3.0,11,15,0,2
18,4476,3543,9127,8729,6866,1334,68•,74•,BLUE,0,-0.16666666666666666,9,9,0,2,0,0.3,19,5,0,2
19,8731,6987,2609,10135,7712,5672,83•,99•,BLUE,0,1.8666666666666667,14,7,1,2,1,1.0333333333333334,13,9,0,2
20,10026,9621,6141,2708,2200,6514,36,129•,BLUE,0,0.13333333333333333,9,3,0,1,0,2.5,8,17,1,2
21,9785,6977,4476,7480,9527,8789,138•,54•,RED,1,1.6666666666666667,12,12,2,2,0,2.033333333333333,13,4,0,2
22,5505,1305,2200,10135,2708,6141,204•,42,RED,1,2.4333333333333336,20,21,2,2,0,0.13333333333333333,8,5,0,1
23,6866,8731,5672,5031,6514,7200,92•,82•,RED,1,1.0666666666666669,14,8,0,2,0,0.0,7,12,0,2
24,7712,8729,6987,1334,2706,6110,121•,99•,RED,0,2.066666666666667,23,12,0,2,0,0.26666666666666666,21,8,0,2
25,3543,9785,7480,6977,9127,9621,107•,42•,RED,0,0.9,17,10,1,2,0,0.1,2,8,0,2
26,1246,10026,2609,9527,7476,5505,77,69•,RED,0,1.9000000000000001,11,7,1,0,0,1.9,12,8,0,2
27,10135,8789,2708,6141,6514,8729,50•,79•,BLUE,0,1.1,7,6,0,2,0,0.06666666666666667,18,8,0,2
28,7712,7480,6110,3543,2706,2609,78•,97•,BLUE,0,2.0666666666666664,7,7,1,2,0,0.9,17,7,1,2
