Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,1305,10,1,1,12,33,2.75,1485,3,10,162,154,12,24
2,2200,10,2,0,12,32,2.6666666666666665,1406,5,26,126,133,14,24
3,9785,9,2,1,12,31,2.5833333333333335,1297,3,8,147,138,11,24
4,2609,9,3,0,12,29,2.4166666666666665,1218,1,8,155,126,10,22
5,5672,8,4,0,12,28,2.3333333333333335,1048,4,6,138,116,3,24
6,6514,8,4,0,12,28,2.3333333333333335,1208,2,9,170,131,4,24
7,4476,8,4,0,12,27,2.25,1409,4,10,142,154,11,23
8,8729,7,5,0,12,26,2.1666666666666665,1059,2,7,185,97,4,24
9,7712,7,5,0,12,25,2.0833333333333335,1313,2,18,162,126,10,23
10,9527,6,6,0,12,24,2.0,876,3,8,140,78,4,24
11,2706,6,5,1,12,24,2.0,1231,3,6,246,93,4,23
12,7480,6,6,0,12,24,2.0,1065,2,8,183,93,5,24
13,9127,7,5,0,12,24,2.0,996,2,5,113,121,3,22
14,1246,6,5,1,12,24,2.0,1018,1,19,148,101,5,22
15,6110,6,6,0,12,23,1.9166666666666667,942,1,8,156,98,2,23
16,8731,5,7,0,12,22,1.8333333333333333,1145,4,15,171,103,5,24
17,5505,5,6,1,12,22,1.8333333333333333,1174,4,12,194,109,5,23
18,7476,5,7,0,12,22,1.8333333333333333,1133,0,16,137,130,4,24
19,8789,5,7,0,12,21,1.75,1035,5,17,120,108,4,23
20,6866,4,7,1,12,21,1.75,939,2,9,138,92,4,24
21,10135,5,7,0,12,21,1.75,941,2,8,149,90,4,23
22,5031,5,7,0,12,21,1.75,958,0,7,127,106,5,23
23,1334,5,7,0,12,20,1.6666666666666667,1024,1,8,201,91,2,22
24,2708,5,7,0,12,20,1.6666666666666667,930,0,9,146,103,3,22
25,10026,5,7,0,12,19,1.5833333333333333,942,2,13,138,91,5,20
26,6987,4,8,0,12,18,1.5,947,1,7,175,93,2,22
27,7200,4,8,0,12,18,1.5,1047,1,2,111,133,4,22
28,6141,5,7,0,12,18,1.5,822,0,4,129,89,4,20
29,9621,3,9,0,12,17,1.4166666666666667,898,4,7,157,78,1,23
30,6977,3,9,0,12,17,1.4166666666666667,866,2,3,133,77,5,23
31,3543,2,10,0,12,15,1.25,913,0,4,150,96,3,23
