#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1325,4946,7022,9263,188,1241,245,142,RED
2,7558,865,7902,3161,2702,5032,189,172,RED
3,9098,2935,9782,7136,8764,8884,194,161,RED
4,4976,2634,5834,6632,610,1285,180,114,RED
5,9263,188,1241,3161,2702,5032,136,144,BLUE
6,7136,8764,8884,6632,610,1285,96,148,BLUE
7,1325,4946,7022,7558,865,7902,215,155,RED
8,9098,2935,9782,4976,2634,5834,175,192,BLUE
9,7558,865,7902,6632,610,1285,192,159,RED
10,9098,2935,9782,3161,2702,5032,150,131,RED
11,1325,4946,7022,4976,2634,5834,194,167,RED
12,9098,2935,9782,7558,865,7902,187,190,BLUE
13,4976,2634,5834,7558,865,7902,160,188,BLUE
14,1325,4946,7022,7558,865,7902,227,179,RED
15,1325,4946,7022,7558,865,7902,223,176,RED
