#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,7659,2634,188,5834,4976,5032,129,99•,RED,0,1.0333333333333334,16,15,1,1,0,1.9,14,9,1,2
2,6135,2702,6397,1285,1325,3161,66•,194•,BLUE,0,1.0,8,9,0,2,1,0.16666666666666666,17,15,3,2
3,3560,4308,4946,865,4015,854,123•,79•,RED,0,2.7333333333333334,14,11,2,2,1,0.16666666666666666,14,4,1,2
4,2198,9263,1310,6632,9678,7022,80•,52•,RED,1,0.9666666666666667,12,7,0,2,0,1.1,17,2,0,2
5,6070,2935,9098,1241,7558,610,152•,140•,RED,1,1.2,29,8,2,2,0,1.8,10,11,3,2
6,7902,6140,7136,9575,8884,9262,82•,74•,RED,0,0.3,22,7,0,2,0,1.1,18,6,0,2
7,5596,2198,8764,9782,5408,7659,97•,64•,RED,1,1.2333333333333334,22,6,0,2,1,-0.03333333333333333,9,7,0,2
8,4976,4308,7022,6135,865,3560,146•,100•,RED,1,1.0666666666666667,29,8,1,2,0,1.0666666666666667,12,11,1,2
9,7902,1285,2935,188,3161,5032,108•,109,BLUE,0,1.2333333333333334,20,10,0,2,0,1.9333333333333333,22,4,2,1
10,1241,9263,5408,6070,854,6140,103•,52•,RED,0,0.9333333333333333,9,13,1,2,0,2.0666666666666664,13,3,0,2
11,2634,4015,8884,6632,8764,9098,113•,135•,BLUE,0,2.0666666666666664,18,9,1,2,1,0.5,13,12,2,2
12,7136,6397,1325,7558,9678,5596,92•,95•,BLUE,0,1.0666666666666669,10,9,1,2,0,1.8666666666666667,11,12,0,2
13,9782,9575,5834,9262,610,1310,85•,107•,BLUE,0,1.9,28,3,0,2,0,0.1,15,10,1,2
14,1285,8884,4946,2702,5408,4308,129•,105•,RED,0,2.8666666666666667,14,13,1,2,1,1.0,17,10,0,2
15,5596,6070,4976,3161,9098,865,96•,188•,BLUE,0,1.0,19,8,1,2,0,1.3666666666666667,19,17,3,2
16,2935,9262,9263,4015,7136,7558,119•,116•,RED,0,1.0333333333333334,24,10,1,2,1,1.0333333333333334,19,9,1,2
17,854,610,6632,7659,6397,7022,106•,66•,RED,0,0.9333333333333333,12,10,1,2,0,1.0666666666666667,11,6,0,2
18,3560,2198,9782,1325,2702,188,51,107•,BLUE,0,0.9,10,5,0,1,0,1.0333333333333334,18,10,0,2
19,5032,9575,8764,5834,1241,6140,80,118•,BLUE,0,2.2,19,7,0,1,0,1.0333333333333334,21,11,1,2
20,9678,4946,6135,1310,7902,2634,105,96•,RED,0,1.8,13,12,2,1,0,0.26666666666666666,12,9,1,2
21,5408,8884,6397,7136,4976,610,73•,122•,BLUE,0,1.9333333333333333,20,5,0,2,0,2.0,13,16,0,2
22,3560,7659,1325,865,9263,5032,84•,115•,BLUE,0,1.0,5,10,1,2,1,1.9333333333333333,18,11,0,2
23,1285,6135,854,6632,4946,5834,110•,113•,BLUE,1,0.09999999999999999,18,8,1,2,0,1.8,16,9,1,2
24,2634,1241,2702,188,2935,7558,162•,188•,BLUE,0,0.1,16,20,1,2,1,1.8666666666666667,29,16,1,2
25,6140,9575,5596,9678,4308,8764,66•,88,BLUE,0,0.13333333333333333,12,8,0,2,0,3.1333333333333333,15,10,0,1
26,4015,3161,9262,9782,7022,7902,111•,95•,RED,1,2.2333333333333334,18,7,1,2,1,1.1666666666666667,22,6,0,2
27,1310,9098,5834,2198,6070,1285,120•,82•,RED,0,2.2333333333333334,29,6,1,2,0,2.0666666666666664,21,4,0,2
28,9678,188,5408,8884,6632,7659,49,92•,BLUE,0,1.9666666666666668,11,5,0,0,1,-0.03333333333333333,15,9,0,2
29,7022,865,7136,8764,3560,2634,116•,93,RED,1,0.26666666666666666,27,7,0,2,0,2.2666666666666666,14,10,0,1
30,7558,2702,6140,9262,2198,854,133•,85•,RED,0,1.0333333333333334,18,15,1,2,1,0.13333333333333333,26,2,0,2
31,9263,610,6070,5032,1325,6135,95•,125•,BLUE,0,2.7666666666666666,14,11,0,2,0,0.9666666666666667,18,14,1,2
32,1310,4308,4015,9575,3161,6397,72•,120•,BLUE,0,1.0666666666666667,13,7,0,2,0,1.0333333333333334,17,10,2,2
33,9098,5596,9782,4946,7902,1241,78,139•,BLUE,0,1.1666666666666665,10,8,1,1,0,1.9666666666666668,9,16,2,2
34,4976,854,8884,2198,1325,2935,109•,142•,BLUE,1,0.9666666666666667,19,5,1,2,0,0.03333333333333333,20,13,2,2
35,7558,5834,6135,3560,5408,9575,106•,58•,RED,0,0.8333333333333334,23,8,1,2,0,1.0333333333333334,16,4,0,2
36,7022,6140,2634,7136,9098,1285,105•,111•,BLUE,0,0.26666666666666666,19,9,1,2,0,0.39999999999999997,26,6,1,2
37,9262,4946,5032,6397,9782,2935,97•,103,BLUE,0,2.9000000000000004,14,5,2,2,0,1.9,19,7,1,1
38,3161,1310,9678,8764,188,610,98•,129•,BLUE,0,1.0666666666666667,11,10,1,2,0,3.1,16,15,0,2
39,7659,865,4308,6070,7902,2702,108•,103•,RED,0,1.0333333333333332,17,10,1,2,1,1.1333333333333335,19,8,0,2
40,9263,4015,4976,1241,5596,6632,128•,90•,RED,1,1.0,19,11,1,2,0,0.03333333333333333,10,12,1,2
41,9098,610,3560,9782,1285,6140,133•,91•,RED,0,2.0999999999999996,14,14,1,2,0,2.1333333333333337,20,7,0,2
42,5408,3161,8764,2935,2634,865,106•,183•,BLUE,0,0.3,20,8,1,2,0,0.16666666666666666,25,16,3,2
43,6397,4976,6632,2702,9575,4015,93•,74•,RED,0,1.0333333333333334,8,10,1,2,0,0.13333333333333333,17,7,0,2
44,4946,1310,6070,7022,188,5596,137•,80•,RED,1,2.8666666666666667,12,12,1,2,0,1.0666666666666667,21,5,0,2
45,7659,5834,9262,1325,1241,9678,62•,104•,BLUE,0,1.0666666666666667,17,4,0,2,0,1.0,6,14,2,2
46,6135,2198,7902,9263,7558,4308,76•,106•,BLUE,0,1.1333333333333333,18,5,0,2,0,2.7333333333333334,10,14,0,2
47,854,5032,9782,8884,7136,6070,67,96•,BLUE,0,1.8666666666666667,21,4,0,1,1,1.9666666666666668,22,5,0,2
48,7022,9262,1285,4976,6140,4946,95•,188•,BLUE,1,0.3333333333333333,21,3,1,2,1,2.966666666666667,25,17,1,2
49,4308,6397,5834,8764,6135,2935,73•,97•,BLUE,0,2.833333333333333,16,6,0,2,0,1.2333333333333334,29,5,0,2
50,2198,9678,9575,8884,2702,9263,63•,93•,BLUE,1,1.0,9,5,0,2,0,1.8666666666666667,19,9,0,2
51,1241,3560,7136,7902,6632,3161,82•,105•,BLUE,0,1.0333333333333334,4,11,1,2,1,0.19999999999999998,10,10,1,2
52,2634,5032,9098,5596,5408,1310,141•,36,RED,1,2.2333333333333334,25,11,1,2,0,0.1,7,4,0,1
53,854,1325,7558,4015,7659,610,191•,100•,RED,1,0.9333333333333333,19,16,2,2,0,0.9666666666666667,14,10,1,2
54,865,9262,1241,188,8884,6135,115•,91•,RED,0,0.23333333333333334,14,13,1,2,0,1.9,19,9,0,2
55,1285,9263,5596,5408,2634,4976,80•,134•,BLUE,0,1.0,12,8,1,2,1,0.13333333333333333,10,14,2,2
56,5834,6070,3560,6397,4015,2198,73•,71•,RED,0,1.8666666666666667,23,3,0,2,1,1.0333333333333334,14,4,0,2
57,2702,8764,865,610,5032,7902,124•,121•,RED,0,0.36666666666666664,23,10,1,2,0,2.966666666666667,18,13,1,2
58,7558,7022,9575,1310,7136,188,77•,60•,RED,0,1.0333333333333334,13,4,1,2,0,1.1,10,6,0,2
59,9678,7659,9098,4308,854,3161,107•,106•,RED,1,1.2,9,10,1,2,1,0.9666666666666667,13,7,2,2
60,6140,2935,6632,4946,9782,1325,106•,177•,BLUE,1,0.13333333333333333,15,8,1,2,0,1.8000000000000003,12,21,2,2
61,5032,1310,7558,865,1285,4976,112•,137•,BLUE,0,0.9,23,8,1,2,1,0.2333333333333333,19,11,1,2
62,188,1241,854,5596,7136,9262,98•,70•,RED,0,0.9666666666666667,8,13,1,2,0,0.2,23,4,0,2
63,3161,7022,2702,5408,5834,4015,151•,46•,RED,1,0.16666666666666666,26,12,1,2,0,1.0333333333333334,15,2,0,2
64,1325,8764,8884,9098,4946,9263,159•,148•,RED,1,1.2,19,14,1,2,0,1.9666666666666663,19,11,2,2
65,610,9782,2634,4308,6632,2198,140,54•,RED,0,1.9000000000000001,14,12,2,1,1,0.9666666666666667,12,1,0,2
66,9575,7902,7659,6140,3560,6397,86,48,RED,0,0.16666666666666666,12,13,0,1,0,2.033333333333333,9,5,0,1
67,6135,6070,4015,2935,9678,7136,44•,91•,BLUE,0,1.0333333333333334,14,1,0,2,0,1.0333333333333334,19,6,1,2
68,5834,5596,3161,9782,7558,8884,104•,109•,BLUE,1,-0.03333333333333333,26,4,1,2,0,2.7666666666666666,22,9,1,2
69,1325,7022,5408,4308,5032,1241,111•,88•,RED,0,0.16666666666666666,12,11,1,2,0,0.8666666666666667,13,8,1,2
70,2702,2935,1310,6140,6135,7659,152•,82•,RED,1,0.1,25,12,1,2,0,0.09999999999999999,16,10,0,2
71,4976,9098,188,9263,6397,9678,181•,49•,RED,1,1.2333333333333334,22,13,3,2,0,2.833333333333333,10,5,0,2
72,610,865,2198,9575,2634,4946,140•,180•,BLUE,0,1.0,18,15,1,2,0,2.9333333333333336,18,17,3,2
73,6632,3560,1285,9262,8764,6070,70•,62•,RED,0,1.1,9,7,1,2,0,1.3333333333333333,19,3,0,2
74,7902,4976,1325,854,1310,7022,141•,70•,RED,1,0.19999999999999998,15,16,0,2,0,0.16666666666666666,23,3,0,2
75,6397,188,865,9098,6140,4015,91•,114•,BLUE,0,2.033333333333333,16,8,0,2,1,0.39999999999999997,13,7,2,2
76,6070,7659,1241,4308,1285,9575,126•,133•,BLUE,1,0.9666666666666667,10,16,0,2,1,2.0666666666666664,23,10,1,2
77,7136,9782,2702,2634,6135,9263,107•,85•,RED,1,1.0333333333333334,22,8,0,2,0,0.9666666666666667,15,10,0,2
78,5032,6632,5408,3560,9262,9678,42•,46•,BLUE,0,1.0,12,3,0,2,0,2.0666666666666664,11,4,0,2
79,3161,7558,2198,4946,854,8764,138•,113•,RED,0,0.9333333333333333,15,11,3,2,0,1.0666666666666667,23,7,1,2
80,8884,5596,7902,610,5834,2935,74•,122•,BLUE,0,1.0666666666666667,12,9,0,2,0,1.8333333333333335,24,7,2,2
