Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,1325,10,2,0,12,32,2.6666666666666665,1627,4,6,171,163,16,24
2,9098,10,2,0,12,31,2.5833333333333335,1608,6,12,228,123,20,23
3,2935,10,2,0,12,31,2.5833333333333335,1563,4,8,278,118,15,23
4,4976,9,3,0,12,30,2.5,1574,8,10,212,138,13,24
5,7558,9,3,0,12,30,2.5,1511,3,10,212,133,15,24
6,4946,9,3,0,12,29,2.4166666666666665,1649,2,18,189,151,20,23
7,865,8,4,0,12,28,2.3333333333333335,1496,4,7,222,133,13,24
8,3161,8,4,0,12,27,2.25,1530,6,6,214,115,21,23
9,2702,7,5,0,12,26,2.1666666666666665,1377,5,7,228,130,5,24
10,6632,7,5,0,12,26,2.1666666666666665,1058,5,5,149,93,9,24
11,7136,7,5,0,12,26,2.1666666666666665,1145,4,9,217,94,5,24
12,9263,7,5,0,12,26,2.1666666666666665,1201,3,12,181,120,6,24
13,610,7,5,0,12,25,2.0833333333333335,1455,0,15,182,144,13,23
14,1285,6,6,0,12,24,2.0,1340,5,11,220,102,11,24
15,8884,6,6,0,12,24,2.0,1212,4,13,217,102,5,24
16,5834,6,6,0,12,24,2.0,1121,1,12,252,72,8,24
17,1241,6,6,0,12,24,2.0,1365,1,5,130,158,15,24
18,4308,6,6,0,12,23,1.9166666666666667,1202,5,15,192,102,8,23
19,8764,7,5,0,12,23,1.9166666666666667,1283,3,15,232,107,6,21
20,9678,7,5,0,12,23,1.9166666666666667,947,2,16,142,95,7,20
21,188,7,5,0,12,23,1.9166666666666667,1312,2,14,208,119,8,20
22,7022,5,7,0,12,22,1.8333333333333333,1164,5,6,241,76,6,24
23,9262,5,7,0,12,22,1.8333333333333333,1043,3,10,220,71,7,24
24,7902,5,7,0,12,21,1.75,1226,4,8,189,122,5,23
25,6140,5,7,0,12,21,1.75,1185,3,10,203,107,7,23
26,1310,5,7,0,12,21,1.75,1140,3,7,192,94,7,23
27,2634,6,6,0,12,21,1.75,1561,2,10,202,152,16,21
28,6070,4,8,0,12,20,1.6666666666666667,1118,5,15,215,82,4,24
29,7659,5,7,0,12,20,1.6666666666666667,1106,4,6,151,120,5,22
30,9575,5,7,0,12,20,1.6666666666666667,1096,2,12,202,94,7,22
31,2198,4,8,0,12,19,1.5833333333333333,1079,6,7,197,78,6,23
32,6135,4,8,0,12,19,1.5833333333333333,1087,1,7,203,102,6,23
33,3560,5,7,0,12,19,1.5833333333333333,961,0,16,141,95,7,21
34,4015,3,9,0,12,18,1.5,1068,6,10,188,78,8,24
35,854,3,9,0,12,17,1.4166666666666667,1186,6,4,209,82,10,23
36,9782,5,7,0,12,17,1.4166666666666667,1167,3,12,209,97,7,19
37,5032,4,8,0,12,17,1.4166666666666667,1196,2,13,217,97,10,21
38,5408,3,9,0,12,16,1.3333333333333333,927,3,6,158,86,5,21
39,6397,3,9,0,12,16,1.3333333333333333,945,1,16,158,84,5,22
40,5596,2,10,0,12,14,1.1666666666666667,966,2,7,185,88,5,22
