#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,4678,2056,2771,6135,772,5912,286,165,RED
2,33,2935,9663,4903,5409,6875,204,198,RED
3,3683,5885,4688,1285,5024,6992,223,188,RED
4,610,4907,4951,4920,4917,6162,230,193,RED
5,6135,772,5912,4903,5409,6875,111,181,BLUE
6,1285,5024,6992,4920,4917,6162,212,215,BLUE
7,4678,2056,2771,33,2935,9663,298,192,RED
8,3683,5885,4688,610,4907,4951,254,222,RED
9,33,2935,9663,4920,4917,6162,165,215,BLUE
10,610,4907,4951,4903,5409,6875,194,237,BLUE
11,4678,2056,2771,3683,5885,4688,282,229,RED
12,4903,5409,6875,4920,4917,6162,176,178,BLUE
13,3683,5885,4688,4920,4917,6162,200,177,RED
14,4678,2056,2771,3683,5885,4688,286,234,RED
15,4678,2056,2771,3683,5885,4688,272,230,RED
