#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,2771,7136,9659,772,5885,4920,82•,156•,BLUE,0,0.23333333333333334,22,5,0,2,1,2.0999999999999996,23,9,2,2
2,4903,2935,5409,9527,5912,7659,175•,82,RED,1,3.833333333333333,12,24,0,2,0,1.0,16,9,0,1
3,9663,5024,4940,610,4907,4917,95,164•,BLUE,0,0.13333333333333333,14,8,1,1,0,2.6333333333333333,18,12,3,2
4,5596,6135,5408,6725,4688,4678,50•,116•,BLUE,0,0.03333333333333333,10,6,0,2,0,1.0666666666666669,9,13,2,2
5,5689,2056,8081,4951,33,3683,166•,174•,BLUE,0,1.0666666666666667,15,16,4,2,1,0.4666666666666667,10,18,1,2
6,6162,7757,6992,6875,5596,1285,90•,67•,RED,0,1.1,28,5,0,2,0,1.0333333333333334,12,4,1,2
7,5408,33,4940,8081,4903,9663,125•,113•,RED,0,0.1,18,13,1,2,0,2.133333333333333,17,13,0,2
8,4920,9527,7136,5689,1285,4951,113•,75•,RED,1,1.0666666666666667,15,6,1,2,0,0.16666666666666666,10,8,1,2
9,2056,5409,4688,6725,6875,5885,166•,129•,RED,0,4.766666666666667,13,13,3,2,1,0.9666666666666667,23,9,1,2
10,9659,6162,4917,2771,4678,2935,143•,144•,BLUE,0,2.1,21,14,1,2,0,1.1333333333333335,31,10,1,2
11,6135,6992,5024,4907,7757,5912,144•,113•,RED,1,0.2,24,13,1,2,0,1.6333333333333333,29,5,1,2
12,772,1285,7659,610,3683,5689,95•,159•,BLUE,1,0.26666666666666666,9,9,1,2,0,1.2666666666666666,12,11,3,2
13,7757,2771,4951,5024,6725,5596,92•,86•,RED,0,0.16666666666666666,16,12,0,2,1,0.13333333333333333,9,7,1,2
14,6875,33,610,4920,2935,5912,145•,130,RED,0,1.8666666666666667,25,16,0,2,0,1.9333333333333333,28,7,1,0
15,2056,4917,772,9659,4907,4688,233•,110,RED,1,2.166666666666667,25,21,3,2,0,2.7,19,7,1,1
16,7136,6992,3683,5409,6162,5408,114•,107•,RED,0,1.5666666666666667,17,12,0,2,0,3.8666666666666663,11,16,0,2
17,4678,5885,9663,4903,7659,4940,174•,88•,RED,1,2.033333333333333,15,14,3,2,0,1.0,13,12,0,2
18,2935,6135,8081,9527,6162,5024,99•,88•,RED,0,0.13333333333333333,16,9,1,2,0,1.0666666666666667,15,8,1,2
19,4678,5689,4920,6992,4940,6725,134•,60•,RED,1,2.0,15,10,1,2,0,0.23333333333333334,16,4,0,2
20,6135,5912,1285,9659,5408,772,98•,75•,RED,0,1.0666666666666667,19,7,1,2,1,0.26666666666666666,13,6,0,2
21,5596,4903,7757,5885,4951,2056,56•,215•,BLUE,0,0.9666666666666667,9,5,0,2,1,2.966666666666667,20,21,3,2
22,9663,610,2771,4907,8081,6875,94,105•,BLUE,0,1.0333333333333334,21,9,0,1,0,2.7333333333333334,13,8,2,2
23,33,4688,9527,7659,7136,5409,93•,90,RED,0,1.0333333333333334,12,8,1,2,0,1.9333333333333331,8,14,0,1
24,4917,9663,4920,3683,5596,2935,166•,150•,RED,0,1.0666666666666667,25,16,1,2,0,1.3666666666666667,15,13,2,2
25,5024,6875,772,33,1285,6725,130,136•,BLUE,0,2.166666666666667,19,13,1,0,0,0.2,12,14,2,2
26,7757,4940,5409,7136,8081,6162,141•,72•,RED,1,3.9,13,18,0,2,0,1.1666666666666667,14,8,0,2
27,5885,3683,4907,4951,4678,6135,230•,120•,RED,1,4.0,22,18,3,2,0,1.1,15,14,1,2
28,9527,2771,6992,5408,4688,610,76•,83•,BLUE,0,1.2666666666666668,19,5,0,2,0,1.9,9,12,0,2
29,4917,5689,4903,5912,9659,2056,136•,166•,BLUE,0,1.0333333333333334,16,15,1,2,1,1.9666666666666668,19,11,3,2
30,7659,6135,33,4907,1285,9527,91•,125•,BLUE,0,0.03333333333333333,10,11,0,2,0,1.8,17,9,3,2
31,6875,5408,5689,4940,7136,4678,45•,126•,BLUE,0,0.9666666666666667,10,4,0,2,0,1.1333333333333335,26,6,2,2
32,4903,4688,6162,6992,4951,9659,102•,74•,RED,0,2.9,15,12,0,2,0,0.26666666666666666,16,8,0,2
33,5912,6725,5409,5596,4920,610,116•,137•,BLUE,0,3.9,19,13,0,2,0,1.8666666666666667,20,11,2,2
34,7659,3683,2056,2935,9663,772,253•,124,RED,1,1.3,16,21,5,2,0,0.19999999999999998,36,6,1,1
35,7757,5885,5024,8081,2771,4917,126•,95,RED,0,2.033333333333333,19,10,1,2,0,0.3,13,6,1,1
36,4951,7659,6725,4903,4920,6135,73•,126•,BLUE,1,0.13333333333333333,10,8,0,2,0,1.9333333333333333,16,16,1,2
37,9663,9659,5596,7136,7757,4688,64,60•,RED,0,0.1,17,5,0,1,0,2.033333333333333,11,5,0,2
38,772,6992,4907,8081,33,5885,125•,181•,BLUE,0,1.9666666666666666,27,7,1,2,1,1.1333333333333333,21,18,2,2
39,2771,3683,5912,6162,4940,6875,115,101,RED,0,1.4333333333333333,21,9,1,1,0,1.9333333333333333,27,6,0,0
40,4917,4678,1285,5409,5024,5689,176•,120•,RED,1,1.2000000000000002,22,13,3,2,0,2.933333333333333,11,15,1,2
41,2935,610,9527,5408,2056,7757,151•,135•,RED,0,0.9333333333333333,17,15,1,2,0,-0.03333333333333333,14,10,4,2
42,5409,4907,4951,4940,5689,9659,179•,79•,RED,1,4.6,14,20,1,2,1,0.1,14,6,0,2
43,6725,4920,2771,5885,6135,9527,89•,97•,BLUE,0,1.1333333333333335,20,7,0,2,0,1.0,15,10,1,2
44,772,610,6162,4678,6875,4903,123•,126•,BLUE,0,2.033333333333333,19,13,1,2,0,2.9333333333333336,19,14,0,2
45,7136,5408,5912,5024,7659,2935,103•,158,BLUE,1,1.0666666666666667,29,5,0,2,0,0.06666666666666667,17,16,2,1
46,1285,8081,3683,4688,5596,4917,150•,126•,RED,1,1.6,11,14,1,2,1,1.0333333333333334,9,15,1,2
47,2056,6992,4678,33,9663,6162,210•,131•,RED,1,1.1,26,16,4,2,0,1.0333333333333334,24,12,0,2
48,8081,9659,7757,4907,2935,6725,94•,150•,BLUE,0,0.2,23,7,0,2,1,1.7333333333333332,20,10,2,2
49,5596,5409,33,610,4903,1285,133•,144•,BLUE,1,1.9,6,16,0,2,0,1.9666666666666668,19,11,2,2
50,6875,4951,7136,4688,772,6135,104•,84•,RED,0,1.0666666666666667,26,9,0,2,0,2.1333333333333333,11,11,0,2
51,4920,5024,3683,4940,9527,2056,199•,139•,RED,0,2.4000000000000004,19,19,4,2,0,1.0,16,11,2,2
52,5408,2771,5885,5689,5912,9663,119•,74•,RED,0,1.1,27,9,1,2,0,1.0,18,5,0,2
53,7659,4917,6875,6992,8081,4920,85•,128•,BLUE,0,1.0,18,8,0,2,1,1.2333333333333334,24,8,0,2
54,1285,9659,2935,6162,4907,4678,112•,168•,BLUE,0,0.16666666666666666,21,7,2,2,0,3.666666666666667,19,17,2,2
55,4688,5689,5885,7757,610,7659,114•,117•,BLUE,1,1.9333333333333333,13,10,1,2,0,0.9,12,16,0,2
56,9527,772,5596,6992,4917,5408,50,113•,BLUE,0,0.19999999999999998,13,3,0,1,0,0.23333333333333334,16,13,1,2
57,4951,5912,4940,6135,2056,2771,101•,130•,BLUE,1,1.0666666666666669,20,6,0,2,0,1.0333333333333334,22,14,1,2
58,3683,6725,4903,33,7136,5024,150•,118•,RED,0,2.4,14,20,1,2,0,1.1666666666666667,20,7,1,2
59,9663,5408,4907,5409,4920,6875,129•,127•,RED,0,1.7333333333333334,24,9,2,2,0,3.766666666666666,20,12,0,2
60,6725,6162,5689,5912,772,4903,69•,90•,BLUE,1,1.0333333333333334,12,4,0,2,0,2.0999999999999996,22,7,0,2
61,610,4951,8081,3683,9527,4917,113•,141•,BLUE,0,1.1,12,12,1,2,1,0.4666666666666667,10,11,2,2
62,2935,2056,33,2771,4940,5596,229•,66•,RED,1,0.9666666666666667,31,19,2,2,0,0.13333333333333333,19,5,0,2
63,9659,7659,4678,6135,7757,9663,150•,64•,RED,1,1.1,16,14,2,2,0,0.03333333333333333,14,5,0,2
64,1285,5024,4688,5885,5409,6992,150•,135•,RED,1,1.1333333333333333,13,16,2,2,1,2.9666666666666663,20,14,0,2
65,7136,772,4907,33,4917,7757,118•,141•,BLUE,0,1.9,29,6,1,2,0,0.1,16,13,1,2
66,6162,5885,7659,4920,4951,5408,128•,80•,RED,0,1.9333333333333333,22,12,1,2,0,1.0666666666666669,16,8,0,2
67,5024,4903,9659,4688,6875,2771,155•,106,RED,1,1.1,18,15,1,2,0,2.0,30,8,0,1
68,4940,9527,8081,5912,4678,5596,83•,148•,BLUE,1,0.2,10,8,0,2,0,2.0,27,12,1,2
69,2056,6725,610,1285,9663,7136,181•,86•,RED,0,1.9,9,14,4,2,0,0.2,23,4,1,2
70,5689,2935,6992,3683,5409,6135,111,151•,BLUE,0,0.13333333333333333,24,8,1,1,0,3.2333333333333334,10,19,1,2
