Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,4678,11,1,0,12,34,2.8333333333333335,1792,75,38,542,707,220,24
2,3683,11,1,0,12,33,2.75,1986,75,36,406,880,240,23
3,5885,9,3,0,12,30,2.5,1804,120,43,528,706,190,24
4,2056,9,3,0,12,30,2.5,2223,90,35,522,853,380,24
5,610,9,3,0,12,29,2.4166666666666665,1611,0,32,440,678,170,23
6,33,8,4,0,12,28,2.3333333333333335,1697,60,15,452,725,110,24
7,4903,8,4,0,12,28,2.3333333333333335,1461,30,42,424,741,60,24
8,4920,8,4,0,12,27,2.25,1585,60,38,546,596,130,22
9,4907,8,4,0,12,27,2.25,1716,45,57,586,582,220,23
10,1285,7,5,0,12,26,2.1666666666666665,1414,60,17,416,494,200,24
11,6135,7,5,0,12,26,2.1666666666666665,1254,15,21,394,585,80,24
12,4917,7,5,0,12,25,2.0833333333333335,1719,60,23,476,718,180,23
13,7757,6,6,0,12,24,2.0,1229,15,22,464,484,70,24
14,6992,6,6,0,12,23,1.9166666666666667,1380,60,19,578,492,80,23
15,4951,5,7,0,12,22,1.8333333333333333,1400,75,24,410,626,80,24
16,6725,5,7,0,12,22,1.8333333333333333,1355,75,24,386,552,130,24
17,4688,6,6,0,12,22,1.8333333333333333,1310,45,45,362,550,110,22
18,2935,7,5,0,12,22,1.8333333333333333,1733,45,19,612,661,160,19
19,9527,6,6,0,12,22,1.8333333333333333,1238,45,18,392,442,120,22
20,5408,5,7,0,12,22,1.8333333333333333,1164,30,20,438,464,90,24
21,5409,5,7,0,12,21,1.75,1640,75,75,350,851,60,23
22,5024,6,6,0,12,21,1.75,1569,60,25,450,668,170,20
23,8081,5,7,0,12,21,1.75,1399,60,22,406,563,120,23
24,7659,5,7,0,12,19,1.5833333333333333,1410,60,17,366,655,110,21
25,5912,5,7,0,12,19,1.5833333333333333,1336,45,36,604,419,80,20
26,7136,4,8,0,12,19,1.5833333333333333,1186,30,25,536,373,60,23
27,6162,4,8,0,12,19,1.5833333333333333,1322,15,43,480,543,60,22
28,9659,4,8,0,12,18,1.5,1304,75,16,486,450,100,22
29,2771,5,7,0,12,18,1.5,1208,0,18,584,426,50,20
30,6875,4,8,0,12,17,1.4166666666666667,1270,15,39,528,479,50,19
31,4940,3,9,0,12,16,1.3333333333333333,1204,60,18,462,432,60,21
32,5596,3,9,0,12,16,1.3333333333333333,1133,45,17,374,458,80,22
33,9663,4,8,0,12,16,1.3333333333333333,1314,15,19,550,464,90,20
34,772,3,9,0,12,15,1.25,1403,60,30,548,479,110,20
35,5689,2,10,0,12,15,1.25,1282,60,23,384,493,130,23
