#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,3681,2928,2374,2046,9600,957,66•,114•,BLUE,0,1.0999999999999999,12,7,0,2,0,2.666666666666666,23,8,1,2
2,955,9567,749,2990,997,492,67•,98•,BLUE,0,1.9333333333333333,20,3,0,2,0,0.43333333333333335,21,9,1,2
3,4043,10052,1540,5975,10103,6465,144•,50•,RED,0,1.5666666666666667,11,14,2,2,0,1.1,12,4,0,2
4,1359,3024,2557,4089,1983,2635,94•,122•,BLUE,0,1.0333333333333334,17,9,1,2,1,0.16666666666666666,24,11,0,2
5,6443,5295,2521,1318,753,9430,168•,95•,RED,0,0.4666666666666666,20,14,3,2,1,3.2,18,4,1,2
6,5468,4125,2635,9567,1425,847,122•,106•,RED,0,0.26666666666666666,23,11,1,2,0,1.7333333333333334,23,7,1,2
7,1318,492,4089,2046,5975,10052,136•,100,RED,1,1.2333333333333334,18,11,1,2,0,1.8,14,11,1,0
8,997,9600,2374,955,5468,753,54•,51•,RED,0,1.0333333333333334,13,5,0,2,0,0.9666666666666667,15,3,0,2
9,2928,749,9430,1425,1983,4043,114•,195•,BLUE,1,2.8666666666666663,33,4,0,2,1,1.866666666666667,18,15,3,2
10,2990,2557,5295,847,1540,2521,75•,185•,BLUE,0,1.6,18,4,1,2,1,0.49999999999999994,27,16,1,2
11,10103,6443,4125,957,1359,6465,146,70•,RED,0,1.5,21,13,1,0,0,1.0,23,3,0,2
12,492,3024,2557,3681,4043,997,151•,141•,RED,1,2.033333333333333,17,10,2,2,1,0.23333333333333334,14,9,2,2
13,957,10103,753,6465,847,4125,76•,113•,BLUE,0,1.1,20,6,0,2,0,2.1333333333333333,23,9,1,2
14,3024,749,1540,2928,6443,5975,107•,134•,BLUE,1,3.3,18,4,1,2,1,1.3333333333333335,23,9,1,2
15,9430,2046,5295,5468,10052,2990,121•,60•,RED,0,2.7,20,11,1,2,0,0.4666666666666667,10,8,0,2
16,9600,1425,2521,3681,1359,955,136•,78•,RED,1,2.766666666666667,15,12,1,2,0,1.0333333333333332,18,7,0,2
17,1983,2374,4089,9567,2635,1318,129•,94•,RED,1,0.13333333333333333,19,13,0,2,1,1.3333333333333333,19,6,0,2
18,3024,6443,9430,4125,5468,9600,130,106•,RED,0,2.2,14,15,1,1,0,1.1333333333333333,18,13,0,2
19,2046,2928,1983,6465,492,5295,138•,83•,RED,0,2.633333333333333,28,8,1,2,0,1.0333333333333334,15,5,1,2
20,3681,1318,10052,997,4089,9567,130•,97•,RED,0,1.3333333333333335,25,11,0,2,1,0.06666666666666667,14,11,0,2
21,753,957,847,749,1425,1359,66•,90•,BLUE,0,0.06666666666666667,23,3,0,2,0,2.666666666666667,23,3,1,2
22,10103,2990,955,2635,2521,2374,78•,123•,BLUE,0,1.4,19,7,0,2,0,1.2666666666666668,18,14,0,2
23,5975,1540,4125,4043,2557,9430,124•,166•,BLUE,0,2.6666666666666665,14,11,2,2,1,1.2,15,13,2,2
24,10052,2374,6465,2521,3024,2928,93•,132•,BLUE,1,2.0666666666666664,10,10,0,2,0,1.9666666666666666,27,10,1,2
25,1359,2635,2990,9600,1318,997,90•,109••,BLUE,1,0.5333333333333333,17,8,0,2,0,3.1666666666666665,25,7,1,2
26,1425,2046,6443,492,847,955,182•,96•,RED,0,3.6666666666666665,17,20,2,2,0,0.9333333333333333,17,7,1,2
27,5295,4089,749,9567,10103,3681,68•,69•,BLUE,0,1.0666666666666667,22,3,0,2,0,0.16666666666666666,11,8,0,2
28,753,4043,5975,2557,957,1983,86•,141•,BLUE,0,1.2666666666666666,6,11,1,2,1,0.16666666666666666,21,11,1,2
29,5468,6465,3024,4089,1540,2046,57•,201•,BLUE,0,1.9,14,4,0,2,1,3.1,15,20,2,2
30,10103,9600,1359,749,9567,6443,74•,126•,BLUE,0,1.0,23,4,0,2,0,3.3,20,11,1,2
31,5975,4043,5295,5468,997,2928,88•,104•,BLUE,0,0.3,9,8,2,2,1,0.9333333333333333,20,9,0,2
32,2557,753,847,2990,10052,2374,96•,73•,RED,0,0.13333333333333333,19,9,1,2,0,1.5333333333333334,16,6,0,2
33,2635,955,1425,1983,4125,1318,118•,186•,BLUE,1,1.7333333333333334,17,9,1,2,0,2.4,27,17,2,2
34,957,2521,3681,1540,9430,492,151•,150•,RED,1,0.23333333333333334,26,12,1,2,0,2.3666666666666663,27,13,1,2
35,10052,9567,1359,997,1983,5975,52,64,BLUE,0,0.06666666666666667,7,7,0,1,0,0.13333333333333333,16,5,0,1
36,2635,2928,10103,6465,3681,2046,107•,144•,BLUE,1,1.0666666666666667,24,7,0,2,1,1.7333333333333334,19,14,1,2
37,2521,5468,749,4125,2557,4089,102•,123•,BLUE,0,1.0666666666666667,15,11,1,2,0,2.3,16,10,1,2
38,4043,847,3024,9430,955,1425,128•,114•,RED,0,1.0666666666666667,14,12,2,2,1,2.6,12,9,1,2
39,1540,9600,6443,5295,2990,753,138•,59•,RED,0,3.666666666666666,15,13,1,2,0,0.5333333333333333,20,2,0,2
40,492,957,10052,2374,1318,5468,140•,132•,RED,1,0.06666666666666667,22,11,1,2,1,1.2666666666666666,14,15,1,2
41,9600,3681,847,2557,997,2928,126•,115•,RED,1,1.0666666666666667,26,10,0,2,0,1.0333333333333332,18,10,1,2
42,4125,1359,2046,5295,1983,10103,129•,81•,RED,0,1.8333333333333333,12,12,2,2,0,0.13333333333333333,18,7,0,2
43,753,9567,1540,6443,2635,492,123•,192•,BLUE,1,1.4666666666666666,16,10,1,2,1,1.4000000000000001,23,20,2,2
44,1425,1318,2990,6465,4043,955,144•,102•,RED,1,2.333333333333333,18,8,2,2,0,2.033333333333333,14,9,1,2
45,4089,2521,5975,3024,9430,957,122•,85•,RED,0,0.23333333333333334,17,10,1,2,0,1.9333333333333333,22,6,0,2
46,2374,5295,9567,749,6465,2990,66•,46•,RED,0,0.16666666666666666,10,9,0,2,0,2.3666666666666667,8,4,0,2
47,1318,492,10103,3024,4125,753,161•,79•,RED,1,2.2333333333333334,24,11,1,2,0,1.1333333333333335,14,6,1,2
48,1359,997,10052,1540,2928,1425,48•,152••,BLUE,0,0.03333333333333333,14,3,0,2,1,3.033333333333333,26,10,1,2
49,955,2374,9600,9430,847,4089,88•,113•,BLUE,1,1.9666666666666668,16,6,0,2,1,2.0,24,7,0,2
50,957,5975,2635,749,2557,2046,64•,155•,BLUE,0,0.23333333333333334,20,5,0,2,1,1.7333333333333334,14,14,2,2
51,1983,3681,5468,4043,6443,2521,112•,232•,BLUE,0,0.13333333333333333,16,14,0,2,0,0.5333333333333333,15,28,3,2
52,2990,5975,9567,2374,492,9600,64•,110•,BLUE,1,0.5666666666666667,8,6,0,2,0,1.0333333333333334,16,13,1,2
53,1983,749,3024,1540,5295,1318,90•,145•,BLUE,0,1.9333333333333333,22,6,0,2,1,3.6666666666666665,24,7,2,2
54,1425,3681,2557,6443,957,5468,159•,152•,RED,1,1.9000000000000004,19,12,2,2,1,0.3333333333333333,20,12,2,2
55,9430,6465,4125,1359,753,2928,117•,80•,RED,0,2.1,18,9,1,2,1,0.9666666666666667,23,2,0,2
56,847,2635,997,4089,10103,4043,74•,108,BLUE,0,0.09999999999999999,19,7,0,2,0,0.2,9,10,2,1
57,955,10052,2557,2521,2046,1318,100•,238•,BLUE,0,1.0666666666666667,18,8,1,2,1,2.966666666666667,25,15,4,2
58,4125,997,4043,847,2374,749,177•,81•,RED,0,0.3,14,18,3,2,1,1.0333333333333334,9,8,0,2
59,2046,6465,9567,2521,1359,1540,111•,142•,BLUE,0,1.6666666666666667,17,8,2,2,0,1.5,22,15,0,2
60,6443,4089,3681,5295,955,957,138•,105•,RED,0,0.4333333333333333,21,14,1,2,1,1.0333333333333334,27,5,0,2
61,753,9430,1983,2635,5975,9600,91•,38•,RED,1,1.0333333333333334,20,6,0,2,0,1.1666666666666667,10,3,0,2
62,2928,2990,5468,3024,1425,10103,68•,107,BLUE,0,2.3666666666666667,18,4,0,2,0,2.6666666666666665,17,9,1,1
63,492,2521,1983,10052,9430,2635,169•,66•,RED,0,0.13333333333333333,25,11,2,2,0,1.1,20,3,0,2
64,10103,2046,997,2557,5468,5975,103•,55•,RED,1,1.7,14,8,1,2,0,0.19999999999999998,4,7,0,2
65,1318,4089,6465,749,2990,3681,118•,109•,RED,0,2.2,24,9,1,2,1,1.5,19,9,0,2
66,9567,492,4043,847,5295,1359,129•,75•,RED,0,0.16666666666666666,10,14,1,2,1,0.06666666666666667,22,1,0,2
67,2374,4125,1425,9600,753,6443,134•,126•,RED,0,1.9333333333333333,18,15,1,2,1,1.3,16,9,2,2
68,2928,1540,957,10052,955,3024,95•,73•,RED,0,1.3666666666666667,14,9,1,2,0,1.9000000000000001,17,7,0,2
