Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,2521,11,1,0,12,34,2.8333333333333335,1900,60,21,564,767,180,24
2,1318,9,3,0,12,31,2.5833333333333335,1688,120,48,574,559,160,24
3,4089,10,2,0,12,31,2.5833333333333335,1475,90,22,492,551,90,23
4,2046,10,2,0,12,31,2.5833333333333335,1736,75,51,478,671,200,22
5,1425,9,3,0,12,30,2.5,1637,105,52,500,611,170,23
6,492,9,3,0,12,30,2.5,1615,75,21,516,615,150,24
7,6443,10,2,0,12,30,2.5,1864,60,34,492,827,200,21
8,1540,8,4,0,12,29,2.4166666666666665,1706,90,51,508,648,150,24
9,1983,9,3,0,12,29,2.4166666666666665,1518,75,17,556,586,90,23
10,4125,9,3,0,12,29,2.4166666666666665,1556,0,34,476,661,160,22
11,9600,7,5,0,12,27,2.25,1219,60,40,456,447,70,24
12,4043,8,4,0,12,27,2.25,1696,45,17,328,764,240,23
13,3681,7,5,0,12,26,2.1666666666666665,1423,90,17,496,583,70,24
14,2557,7,5,0,12,26,2.1666666666666665,1430,75,25,430,538,150,24
15,997,7,5,0,12,26,2.1666666666666665,1184,60,14,422,444,90,23
16,2928,6,6,0,12,25,2.0833333333333335,1305,90,35,568,386,60,24
17,2374,6,6,0,12,24,2.0,1149,75,25,360,499,30,24
18,847,6,6,0,12,24,2.0,1259,75,18,528,419,70,24
19,9430,6,6,0,12,23,1.9166666666666667,1362,90,46,528,440,80,23
20,957,5,7,0,12,22,1.8333333333333333,1259,75,16,562,399,70,24
21,10103,6,6,0,12,21,1.75,1160,45,25,454,416,60,20
22,2635,4,8,0,12,20,1.6666666666666667,1210,90,16,488,451,40,24
23,5295,4,8,0,12,20,1.6666666666666667,1134,45,22,474,334,100,24
24,3024,5,7,0,12,20,1.6666666666666667,1233,30,40,456,432,100,22
25,6465,4,8,0,12,20,1.6666666666666667,1104,30,39,432,372,80,24
26,9567,4,8,0,12,19,1.5833333333333333,1104,60,20,368,435,60,23
27,749,3,9,0,12,18,1.5,1155,75,44,466,365,60,24
28,1359,3,9,0,12,17,1.4166666666666667,1022,45,21,464,316,40,23
29,753,2,10,0,12,16,1.3333333333333333,1028,75,21,438,304,70,24
30,2990,2,10,0,12,16,1.3333333333333333,964,60,26,396,315,40,24
31,5468,2,10,0,12,16,1.3333333333333333,1121,45,15,396,489,50,24
32,10052,3,9,0,12,16,1.3333333333333333,1079,30,22,388,431,50,21
33,5975,3,9,0,12,16,1.3333333333333333,989,30,17,322,395,80,21
34,955,0,12,0,12,12,1.0,1070,60,31,458,345,50,24
