#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,2607,2722,6226,2016,1218,708,204,135,RED
2,341,316,6921,272,3314,2191,224,185,RED
3,222,2590,7587,1089,1391,9027,248,212,RED
4,4342,7414,5624,1640,5401,4653,178,185,BLUE
5,2016,1218,708,272,3314,2191,185,199,BLUE
6,1089,1391,9027,4342,7414,5624,196,187,RED
7,2607,2722,6226,341,316,6921,196,233,BLUE
8,222,2590,7587,1640,5401,4653,256,173,RED
9,2607,2722,6226,1089,1391,9027,198,155,RED
10,1640,5401,4653,272,3314,2191,193,185,RED
11,341,316,6921,222,2590,7587,202,195,RED
12,1640,5401,4653,2607,2722,6226,172,212,BLUE
13,222,2590,7587,2607,2722,6226,211,207,RED
14,341,316,6921,222,2590,7587,252,209,RED
15,341,316,6921,222,2590,7587,214,209,RED
