#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,272,8714,4342,3314,5490,5666,122•,112,RED,0,2.0666666666666664,15,13,1,2,0,2.7666666666666666,20,9,1,0
2,2607,9416,2180,4653,5401,2234,108•,88•,RED,0,1.0333333333333334,25,8,1,2,0,1.1666666666666667,29,4,0,2
3,1218,341,7587,7414,2590,2016,131•,151•,BLUE,0,3.066666666666667,11,14,2,2,0,1.8333333333333333,23,11,3,2
4,1640,5113,816,8721,5457,1089,114,81•,RED,0,0.1,17,12,1,1,0,1.1,19,4,1,2
5,708,204,1391,1647,9027,5310,123•,63•,RED,0,2.0,23,11,0,2,0,1.8333333333333335,16,4,0,2
6,222,6921,2095,5624,2191,316,110•,101•,RED,0,1.0333333333333334,13,12,1,2,0,1.2333333333333334,14,12,1,2
7,1712,9100,816,1218,2722,6226,50•,162•,BLUE,0,1.0666666666666667,7,7,0,2,1,1.3333333333333335,15,16,2,2
8,9027,8721,5401,5113,341,2234,87•,96•,BLUE,0,2.033333333333333,23,5,0,2,0,2.0,14,10,0,2
9,5310,316,8714,2590,2607,1089,93•,155•,BLUE,0,1.0333333333333334,17,7,1,2,0,2.8666666666666667,19,11,3,2
10,1391,5624,222,2095,5457,7587,156•,58•,RED,0,2.0,22,11,2,2,0,1.9000000000000001,8,7,0,2
11,1712,4653,6226,2191,204,4342,60•,128•,BLUE,0,0.13333333333333333,12,6,0,2,1,2.0999999999999996,9,12,2,2
12,9416,5666,1647,9100,272,5490,53•,72•,BLUE,0,1.9666666666666668,19,1,0,2,0,2.0,13,8,0,2
13,1640,2722,2180,708,3314,7414,160•,155•,RED,0,0.16666666666666669,16,19,2,2,0,2.0666666666666664,26,9,3,2
14,7587,6921,8714,2016,4342,5113,79•,124•,BLUE,0,1.8333333333333333,8,10,0,2,0,1.1,24,8,1,2
15,316,222,9416,1391,5310,5457,139•,85•,RED,0,1.1666666666666667,16,16,1,2,0,1.8333333333333335,18,6,1,2
16,2095,1647,2722,341,4653,8721,88•,120•,BLUE,0,0.1,15,7,1,2,0,1.9666666666666668,17,12,1,2
17,5401,9100,2191,6921,708,272,90•,131•,BLUE,0,0.43333333333333335,19,10,0,2,1,2.066666666666667,18,13,1,2
18,5490,2180,9027,1640,1218,2607,73•,178•,BLUE,0,1.8666666666666667,19,5,0,2,0,1.2666666666666666,14,20,2,2
19,3314,2016,1712,1089,816,5624,115•,83•,RED,0,2.033333333333333,14,12,1,2,0,2.0666666666666664,11,7,1,2
20,204,2234,2590,7414,5666,6226,132•,108•,RED,1,3.6666666666666665,14,10,1,2,0,1.0,23,8,1,2
21,9027,8714,341,2722,5401,316,109•,212•,BLUE,1,1.9333333333333333,11,9,1,2,1,0.26666666666666666,29,19,2,2
22,2016,5457,1640,1647,708,4653,87•,82•,RED,0,0.13333333333333333,9,11,1,2,0,0.19999999999999998,27,4,0,2
23,5113,1391,8721,5666,1712,6921,91•,104,BLUE,0,1.9666666666666668,22,6,1,2,0,1.8666666666666667,18,10,1,1
24,6226,204,5624,1218,2095,272,80•,135•,BLUE,0,1.9666666666666668,15,9,0,2,1,1.3,11,13,1,2
25,7414,7587,816,5490,5310,9416,133•,49•,RED,0,1.8333333333333335,17,15,1,2,0,1.8,13,3,0,2
26,1089,3314,2234,222,4342,2590,120•,212•,BLUE,0,3.033333333333333,11,12,1,2,0,2.833333333333333,19,19,2,2
27,9100,2180,5457,8721,2191,2607,34•,127•,BLUE,0,0.13333333333333333,10,2,0,2,0,2.1333333333333333,22,13,1,2
28,7414,5624,5401,8714,4653,1640,117,105•,RED,0,2.1333333333333333,25,7,1,1,0,0.16666666666666669,20,9,1,2
29,3314,6921,5310,9027,5113,1218,139•,107•,RED,0,3.733333333333333,17,9,3,2,0,1.2,22,8,0,2
30,5666,816,204,2607,2016,222,61•,122•,BLUE,0,2.833333333333333,11,7,0,2,0,1.1333333333333333,14,17,0,2
31,1712,2095,708,2234,2180,7587,73•,59•,RED,1,0.2,13,6,0,2,0,0.9000000000000001,12,6,0,2
32,9416,6226,2191,341,2590,1647,87•,119•,BLUE,1,0.26666666666666666,9,12,0,2,0,2.7666666666666666,8,10,2,2
33,4342,5490,1089,272,1391,2722,163•,148•,RED,0,2.0,20,13,3,2,0,3.0,19,13,2,2
34,316,9027,2016,9100,222,4653,147•,77•,RED,1,1.0333333333333334,24,10,1,2,0,0.19999999999999998,16,4,1,2
35,5113,2590,5457,2180,7414,204,67•,105,BLUE,0,1.8333333333333333,13,3,1,2,0,1.0,20,8,1,1
36,341,5310,5624,1089,708,8714,76•,100•,BLUE,0,2.833333333333333,9,7,1,2,1,0.3333333333333333,18,8,0,2
37,4342,8721,1712,1640,9100,1647,87•,74•,RED,0,1.9666666666666668,15,6,1,2,0,0.16666666666666666,15,6,1,2
38,2234,6226,1391,2191,7587,5666,116•,85•,RED,1,1.9666666666666668,11,13,1,2,0,2.0,13,10,0,2
39,2095,5401,5490,2722,3314,816,73•,131•,BLUE,0,2.0999999999999996,19,4,0,2,0,2.933333333333333,14,10,2,2
40,316,2607,272,6921,9416,1218,191•,88•,RED,1,2.066666666666667,21,17,2,2,0,1.1333333333333333,16,9,0,2
41,4653,7587,9027,6226,222,1640,86•,146•,BLUE,0,1.8,23,5,0,2,1,0.23333333333333334,12,16,1,2
42,9100,2590,1391,816,5310,708,142•,62•,RED,0,1.7666666666666666,24,12,1,2,0,2.0,8,8,0,2
43,204,1218,8721,8714,5401,5457,98•,67•,RED,0,2.1333333333333333,20,6,1,2,0,0.23333333333333334,14,6,0,2
44,2180,1647,3314,316,5666,341,143•,154•,BLUE,1,2.033333333333333,21,11,1,2,1,1.9666666666666668,14,15,1,2
45,6921,2191,7414,5490,2234,1712,170•,33,RED,0,1.1,27,16,2,2,0,1.9000000000000001,6,3,0,1
46,5113,2722,1089,2016,2095,9416,127•,64•,RED,0,0.23333333333333334,19,12,2,2,0,0.1,19,4,0,2
47,2607,4342,9100,272,5624,2590,174•,120•,RED,0,2.0,21,17,2,2,0,3.7666666666666666,12,13,1,2
48,4653,7414,1391,5401,341,3314,137•,185•,BLUE,0,0.9666666666666667,25,11,1,2,0,3.0666666666666664,22,17,1,2
49,5310,5666,2095,1712,1640,316,45•,116•,BLUE,0,1.866666666666667,14,2,0,2,0,0.16666666666666669,14,16,0,2
50,5457,5624,4342,9027,816,9416,110,55•,RED,0,1.9333333333333333,16,8,2,0,0,0.8666666666666667,12,5,0,2
51,6226,2607,5113,708,222,2722,110•,149•,BLUE,0,1.1,16,12,0,2,1,2.2666666666666666,17,16,2,2
52,1218,2234,8714,1647,1089,6921,96•,138•,BLUE,0,1.2666666666666666,12,10,1,2,1,2.0666666666666664,17,12,1,2
53,5490,2016,7587,2180,272,8721,80•,90•,BLUE,0,0.8333333333333334,14,9,0,2,0,2.0666666666666664,20,8,0,2
54,9416,1712,204,2191,9027,3314,47•,102•,BLUE,0,0.9666666666666667,12,4,0,2,0,3.033333333333333,20,7,1,2
55,2095,2607,4653,4342,6226,5310,99•,87•,RED,0,1.0333333333333334,21,6,1,2,0,1.9333333333333336,10,8,1,2
56,6921,5457,2234,2590,5490,2722,63•,166•,BLUE,0,1.8666666666666667,6,4,1,2,1,2.6999999999999997,18,8,3,2
57,8714,8721,2016,816,1391,316,77•,154•,BLUE,1,1.1,17,4,0,2,1,1.9666666666666666,16,14,2,2
58,1647,272,5401,5624,2180,5113,101•,50•,RED,0,1.2333333333333336,22,9,0,2,0,1.1,17,2,0,2
59,341,1089,2191,7587,1640,204,128•,119•,RED,0,1.3,11,20,0,2,0,2.8666666666666667,17,12,1,2
60,5666,708,9100,222,7414,1218,78•,165•,BLUE,0,1.1333333333333333,22,6,0,2,1,0.3333333333333333,18,17,2,2
61,9416,272,4653,2234,8721,5310,78•,43•,RED,0,1.0666666666666669,21,6,0,2,0,2.833333333333333,10,3,0,2
62,4342,1640,9027,2191,8714,5113,162•,62•,RED,0,1.9333333333333336,22,18,1,2,0,1.3333333333333333,13,7,0,2
63,204,341,222,816,5490,6921,143•,105•,RED,0,3.0,15,17,2,2,0,2.7666666666666666,11,12,1,2
64,3314,2095,9100,5457,7414,1647,112•,112•,TIE,0,2.033333333333333,15,8,2,2,1,0.03333333333333333,22,6,1,2
65,708,1218,2590,5401,1089,1712,186•,81•,RED,1,2.1333333333333333,20,15,3,2,0,0.3333333333333333,25,4,0,2
