Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,2607,11,1,0,12,34,2.8333333333333335,1728,2,19,236,162,17,24
2,222,10,2,0,12,32,2.6666666666666665,1627,3,14,186,168,16,24
3,4342,11,1,0,12,32,2.6666666666666665,1643,1,17,208,148,19,21
4,2590,10,2,0,12,31,2.5833333333333335,1703,3,24,208,133,22,23
5,2722,9,3,0,12,30,2.5,1748,4,12,219,161,21,24
6,341,9,3,0,12,30,2.5,1517,2,21,153,163,13,24
7,272,9,3,0,12,29,2.4166666666666665,1353,3,22,188,135,9,23
8,316,8,4,0,12,28,2.3333333333333335,1656,6,12,221,159,13,24
9,1640,9,3,0,12,28,2.3333333333333335,1478,1,6,185,158,14,22
10,1089,7,5,0,12,26,2.1666666666666665,1419,3,15,208,120,15,24
11,2016,7,5,0,12,26,2.1666666666666665,1297,3,8,216,114,8,24
12,708,7,5,0,12,25,2.0833333333333335,1341,5,15,235,114,10,23
13,6921,7,5,0,12,25,2.0833333333333335,1333,3,19,180,128,11,23
14,1391,7,5,0,12,25,2.0833333333333335,1526,3,15,237,131,14,23
15,7414,7,4,1,12,25,2.0833333333333335,1577,2,10,264,128,18,22
16,3314,7,4,1,12,25,2.0833333333333335,1604,1,29,216,127,20,21
17,1218,6,6,0,12,24,2.0,1532,5,13,193,144,14,24
18,2180,6,6,0,12,23,1.9166666666666667,1198,3,11,217,100,8,23
19,204,6,6,0,12,23,1.9166666666666667,1135,2,21,183,102,8,23
20,2095,5,6,1,12,23,1.9166666666666667,1040,2,11,179,84,8,24
21,2191,5,7,0,12,22,1.8333333333333333,1263,2,13,181,139,8,24
22,8721,5,7,0,12,22,1.8333333333333333,1039,1,18,203,83,6,24
23,816,5,7,0,12,21,1.75,1125,1,15,139,122,9,23
24,5401,6,6,0,12,21,1.75,1377,1,14,268,110,6,21
25,9027,4,8,0,12,20,1.6666666666666667,1226,2,16,235,96,5,24
26,5457,4,7,1,12,20,1.6666666666666667,978,1,9,146,88,10,22
27,9416,5,7,0,12,20,1.6666666666666667,971,1,8,208,83,3,22
28,1712,5,7,0,12,20,1.6666666666666667,962,1,7,175,90,4,22
29,5113,5,7,0,12,20,1.6666666666666667,1140,0,12,211,94,8,22
30,1647,3,8,1,12,19,1.5833333333333333,1144,3,10,210,87,8,24
31,5624,5,7,0,12,19,1.5833333333333333,1221,0,19,201,101,12,20
32,9100,3,8,1,12,19,1.5833333333333333,1058,0,10,190,93,8,24
33,6226,3,9,0,12,18,1.5,1248,4,9,164,133,7,24
34,4653,3,9,0,12,18,1.5,1155,2,5,259,79,6,24
35,5666,4,8,0,12,17,1.4166666666666667,1154,2,18,205,101,7,20
36,5490,4,8,0,12,17,1.4166666666666667,1061,1,17,175,86,9,20
37,8714,2,10,0,12,16,1.3333333333333333,1038,3,10,171,92,6,24
38,2234,3,9,0,12,16,1.3333333333333333,989,2,17,148,89,6,22
39,5310,2,10,0,12,16,1.3333333333333333,948,0,17,156,78,9,24
40,7587,3,9,0,12,16,1.3333333333333333,1225,0,15,176,124,8,22
