#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,5811,2228,5413,2252,3954,7515,169,171,BLUE
2,4028,4027,3504,1781,2603,4991,213,157,RED
3,2614,5842,340,3193,1126,3138,171,175,BLUE
4,3260,3484,4467,2641,2399,378,173,135,RED
5,5811,2228,5413,1781,2603,4991,171,209,BLUE
6,2614,5842,340,2641,2399,378,225,150,RED
7,2252,3954,7515,4028,4027,3504,154,187,BLUE
8,3193,1126,3138,3260,3484,4467,117,195,BLUE
9,2252,3954,7515,2614,5842,340,140,216,BLUE
10,3193,1126,3138,1781,2603,4991,129,156,BLUE
11,4028,4027,3504,3260,3484,4467,190,203,BLUE
12,1781,2603,4991,2614,5842,340,184,212,BLUE
13,4028,4027,3504,2614,5842,340,190,212,BLUE
14,3260,3484,4467,2614,5842,340,174,206,BLUE
15,3260,3484,4467,2614,5842,340,207,221,BLUE
