#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,7274,9415,340,3484,578,9022,54•,118•,BLUE,0,1.0,8,6,0,2,1,0.1,32,6,0,2
2,2252,5842,6032,4050,378,1126,107•,98•,RED,0,-0.06666666666666667,13,14,0,2,1,0.3333333333333333,16,8,0,2
3,1708,2641,2172,2399,3492,9004,78•,70•,RED,0,1.0333333333333334,22,5,0,2,0,0.9,11,7,0,2
4,4930,677,4467,5811,4028,3954,119•,151•,BLUE,1,1.5666666666666667,11,12,1,2,1,1.3333333333333335,12,17,1,2
5,10089,2656,7515,8705,1781,117,64•,81•,BLUE,0,1.1666666666666667,13,6,0,2,0,2.066666666666667,17,5,1,2
6,128,10035,2053,3504,3260,3181,83•,115•,BLUE,1,0.16666666666666666,11,9,0,2,1,0.3,18,12,0,2
7,5413,1559,8393,3138,10187,2614,92•,126•,BLUE,1,0.9666666666666667,12,9,0,2,1,3.933333333333333,10,10,1,2
8,2228,291,4085,10191,4150,4991,101•,92,RED,0,2.8,29,7,0,2,0,1.2000000000000002,19,11,0,1
9,9475,2603,5740,4027,3193,9653,95,88,RED,0,1.1333333333333335,16,11,0,1,0,1.2000000000000002,16,8,0,1
10,1708,6032,3954,5842,5811,9022,93•,134•,BLUE,1,1.0,21,6,0,2,1,0.06666666666666667,24,10,1,2
11,128,3504,4467,2399,340,3484,112•,132•,BLUE,1,1.6333333333333333,12,13,0,2,0,0.13333333333333333,31,10,0,2
12,2172,4028,7274,3138,9415,4930,88•,69•,RED,0,1.3000000000000003,18,5,1,2,0,1.9,10,10,0,2
13,1126,1781,5413,578,4050,2053,130•,77•,RED,1,2.066666666666667,12,15,0,2,0,1.2333333333333334,15,8,0,2
14,3193,2228,7515,10089,8393,8705,131••,93•,RED,1,3.9000000000000004,26,10,0,2,0,1.8333333333333335,10,10,1,2
15,10191,2603,1559,677,9475,4150,66•,65•,RED,0,1.0333333333333334,14,6,0,2,1,0.23333333333333334,15,3,0,2
16,291,9653,2252,10187,4027,3492,98•,125•,BLUE,1,1.0,20,6,0,2,0,0.9666666666666667,17,13,1,2
