Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,5811,10,1,0,11,31,2.8181818181818183,1282,4,5,169,127,10,22
2,2614,9,2,0,11,29,2.6363636363636362,1446,5,24,163,132,16,22
3,3260,9,2,0,11,29,2.6363636363636362,1291,4,6,197,114,11,22
4,5842,9,2,0,11,29,2.6363636363636362,1223,2,8,246,111,4,22
5,4028,8,3,0,11,27,2.4545454545454546,1367,6,20,172,125,10,22
6,1781,8,3,0,11,27,2.4545454545454546,1313,6,11,184,119,8,22
7,2641,8,3,0,11,27,2.4545454545454546,1060,5,13,223,72,4,22
8,3193,8,3,0,11,27,2.4545454545454546,1170,5,11,200,99,3,21
9,3484,8,3,0,11,27,2.4545454545454546,1321,4,10,263,103,2,22
10,2252,8,3,0,11,27,2.4545454545454546,1247,2,9,185,117,9,22
11,378,7,3,1,11,26,2.3636363636363638,1046,4,8,185,100,2,22
12,10187,8,3,0,11,26,2.3636363636363638,1135,3,6,127,119,8,21
13,1126,7,4,0,11,25,2.272727272727273,1233,6,13,196,114,2,22
14,4467,7,4,0,11,25,2.272727272727273,1192,5,11,139,121,13,22
15,4027,8,3,0,11,24,2.1818181818181817,1373,5,7,206,129,9,19
16,2228,6,5,0,11,24,2.1818181818181817,1259,4,22,252,102,1,22
17,2603,8,3,0,11,24,2.1818181818181817,1236,3,15,188,128,2,19
18,8705,6,4,1,11,24,2.1818181818181817,917,3,14,178,76,4,22
19,2399,7,4,0,11,24,2.1818181818181817,1175,1,8,194,119,3,21
20,578,6,5,0,11,23,2.090909090909091,994,3,6,191,90,0,22
21,3504,6,5,0,11,22,2.0,1100,5,10,160,119,2,21
22,4085,6,5,0,11,22,2.0,1013,2,7,180,95,2,21
23,128,5,6,0,11,21,1.9090909090909092,1025,8,6,149,95,2,22
24,3954,5,6,0,11,21,1.9090909090909092,1093,5,11,209,93,2,22
25,5413,6,5,0,11,21,1.9090909090909092,1038,5,9,186,91,3,20
26,9022,5,6,0,11,21,1.9090909090909092,886,5,7,194,64,3,22
27,677,5,6,0,11,21,1.9090909090909092,1007,5,6,197,79,3,22
28,3138,6,5,0,11,21,1.9090909090909092,1084,3,16,177,100,5,20
29,2172,5,6,0,11,21,1.9090909090909092,883,3,8,196,61,1,22
30,6032,5,6,0,11,20,1.8181818181818181,961,5,10,144,100,3,21
31,7515,4,7,0,11,20,1.8181818181818181,1076,4,15,190,100,2,22
32,2656,4,6,1,11,20,1.8181818181818181,957,4,10,197,75,2,22
33,2053,4,6,1,11,20,1.8181818181818181,951,2,7,167,97,2,22
34,3181,4,7,0,11,19,1.7272727272727273,985,7,9,196,73,0,22
35,8393,4,7,0,11,19,1.7272727272727273,1094,6,7,164,98,6,22
36,1708,4,7,0,11,19,1.7272727272727273,965,3,6,213,79,2,22
37,291,4,7,0,11,19,1.7272727272727273,936,2,12,226,68,2,22
38,340,4,6,1,11,19,1.7272727272727273,1004,2,6,217,80,1,21
39,9415,4,7,0,11,19,1.7272727272727273,712,1,12,145,55,2,22
40,5740,4,6,1,11,18,1.6363636363636365,1011,5,9,184,82,4,20
41,1559,4,7,0,11,18,1.6363636363636365,924,5,6,177,79,2,21
42,117,4,7,0,11,18,1.6363636363636365,870,4,9,173,73,2,21
43,4150,4,7,0,11,18,1.6363636363636365,965,4,8,203,81,2,21
44,3492,4,7,0,11,18,1.6363636363636365,977,3,8,164,95,2,21
45,4930,3,8,0,11,17,1.5454545454545454,967,3,11,126,121,2,22
46,9475,4,7,0,11,17,1.5454545454545454,889,2,10,165,75,4,20
47,4991,4,7,0,11,17,1.5454545454545454,1066,2,6,174,113,4,20
48,10035,3,8,0,11,17,1.5454545454545454,789,1,8,153,73,2,22
49,9653,3,8,0,11,16,1.4545454545454546,849,5,7,161,66,1,21
50,4050,3,8,0,11,16,1.4545454545454546,969,3,9,177,87,5,21
51,7274,3,8,0,11,16,1.4545454545454546,830,1,5,170,65,3,21
52,10089,3,8,0,11,15,1.3636363636363635,865,1,10,148,76,6,20
53,10191,2,9,0,11,14,1.2727272727272727,851,1,6,155,82,4,21
54,9004,1,10,0,11,13,1.1818181818181819,816,4,3,145,69,4,22
