#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,3990,4947,5443,8132,6622,5618,150,130,RED
2,3996,9624,5440,6929,5439,5910,164,168,BLUE
3,7605,9406,6872,3986,3544,4952,191,117,RED
4,3550,5528,8152,3360,8067,2626,137,158,BLUE
5,8132,6622,5618,3996,9624,5440,163,145,RED
6,3986,3544,4952,3550,5528,8152,157,124,RED
7,3990,4947,5443,6929,5439,5910,155,186,BLUE
8,7605,9406,6872,3360,8067,2626,155,171,BLUE
9,3990,4947,5443,3986,3544,4952,174,138,RED
10,7605,9406,6872,8132,6622,5618,182,98,RED
11,6929,5439,5910,3360,8067,2626,125,158,BLUE
12,7605,9406,6872,3990,4947,5443,153,158,BLUE
13,6929,5439,5910,3990,4947,5443,149,114,RED
14,3360,8067,2626,6929,5439,5910,160,135,RED
15,3360,8067,2626,6929,5439,5910,150,128,RED
