#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,9624,10032,6869,9623,2626,3996,48•,59•,BLUE,0,1.1,12,3,0,2,0,1.9333333333333333,12,5,0,2
2,3532,5910,296,8152,3985,6872,66•,47•,RED,1,0.03333333333333333,11,4,0,2,0,0.9666666666666667,10,4,0,2
3,7700,5439,4952,8224,3986,5528,81•,89•,BLUE,1,1.0666666666666667,17,5,0,2,0,0.9666666666666667,30,4,0,2
4,3533,5618,8132,3990,5443,9076,67•,90•,BLUE,1,0.19999999999999998,11,5,0,2,0,1.1333333333333333,9,10,1,2
5,7605,9406,4955,4947,3360,5440,105•,93•,RED,0,2.2666666666666666,17,8,1,2,1,1.9333333333333333,16,7,0,2
6,3117,10150,3550,8067,3975,9234,68,63•,RED,0,0.16666666666666666,12,8,0,1,0,1.9333333333333333,18,4,0,2
7,6929,3544,6622,7471,6540,9102,75•,23•,RED,0,1.9,19,5,0,2,0,0.9666666666666667,4,2,0,2
8,5443,6872,4952,8224,9076,10032,71•,40•,RED,1,0.09999999999999999,11,7,0,2,0,0.03333333333333333,12,3,0,2
9,3117,3360,5618,9406,5528,8132,94•,111•,BLUE,1,2.2,12,8,0,2,0,1.0333333333333334,23,10,0,2
10,3550,3544,6540,9623,3532,8152,61•,55•,RED,0,0.9333333333333333,15,6,0,2,0,1.9333333333333333,10,6,0,2
11,4947,6869,3985,3975,5439,5910,53•,65•,BLUE,0,0.9666666666666667,14,4,0,2,0,1.9333333333333333,18,4,0,2
12,3996,7471,4955,5440,9102,7700,70•,25•,RED,1,0.9666666666666667,8,7,0,2,0,1.9333333333333333,5,2,0,2
13,296,3533,9234,10150,7605,3990,56•,110•,BLUE,0,0.03333333333333333,11,6,0,2,0,0.5,7,18,0,2
14,3986,2626,6929,6622,8067,9624,63•,82•,BLUE,0,-0.03333333333333333,15,6,0,2,0,2.033333333333333,25,5,0,2
15,3550,10032,9102,5439,7471,9076,64•,47•,RED,0,1.0,17,4,0,2,0,0.9666666666666667,10,5,0,2
