Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,3990,12,0,0,12,36,3.0,1359,60,21,362,661,50,24
2,7605,10,2,0,12,31,2.5833333333333335,1054,0,25,392,485,10,23
3,3550,10,2,0,12,30,2.5,1005,15,12,366,460,20,22
4,3996,9,3,0,12,29,2.4166666666666665,1035,75,32,442,366,0,22
5,6929,9,3,0,12,29,2.4166666666666665,945,30,13,432,327,20,23
6,9406,9,3,0,12,29,2.4166666666666665,1192,15,28,400,509,80,23
7,9624,8,4,0,12,28,2.3333333333333335,987,15,20,526,314,0,24
8,3360,8,4,0,12,27,2.25,1009,90,27,396,382,0,23
9,3986,8,4,0,12,27,2.25,995,60,29,476,329,0,23
10,5528,8,4,0,12,27,2.25,979,45,19,562,267,0,22
11,4947,7,5,0,12,26,2.1666666666666665,1122,60,16,560,356,10,24
12,8132,7,5,0,12,25,2.0833333333333335,948,90,18,340,370,10,23
13,5439,7,5,0,12,25,2.0833333333333335,1008,45,32,512,325,0,23
14,5910,7,5,0,12,25,2.0833333333333335,922,45,12,378,391,0,23
15,2626,6,5,1,12,25,2.0833333333333335,840,30,10,388,308,10,24
16,8067,8,4,0,12,25,2.0833333333333335,907,15,30,454,298,10,21
17,3544,7,5,0,12,25,2.0833333333333335,969,15,27,486,324,20,23
18,4955,6,6,0,12,24,2.0,764,60,11,318,271,10,24
19,9102,6,6,0,12,23,1.9166666666666667,792,60,29,372,217,10,23
20,6622,6,6,0,12,23,1.9166666666666667,849,45,30,434,236,10,23
21,3117,6,6,0,12,23,1.9166666666666667,786,30,18,304,321,0,23
22,7471,5,7,0,12,22,1.8333333333333333,768,75,17,252,314,0,24
23,5618,5,7,0,12,22,1.8333333333333333,888,45,20,412,299,0,24
24,3533,5,7,0,12,22,1.8333333333333333,796,45,11,304,321,10,24
25,6869,5,7,0,12,22,1.8333333333333333,772,30,27,310,310,0,24
26,5443,5,6,1,12,22,1.8333333333333333,779,30,16,356,273,10,23
27,3532,5,7,0,12,22,1.8333333333333333,758,30,13,300,316,0,24
28,6872,5,7,0,12,22,1.8333333333333333,837,15,14,306,355,20,24
29,5440,5,7,0,12,21,1.75,832,45,36,316,348,10,23
30,9234,5,7,0,12,21,1.75,764,45,15,344,264,0,23
31,8152,5,7,0,12,21,1.75,827,15,26,366,304,0,23
32,8224,5,7,0,12,19,1.5833333333333333,738,15,15,380,246,10,21
33,10032,4,8,0,12,19,1.5833333333333333,757,0,17,384,246,10,23
34,4952,4,8,0,12,18,1.5,851,30,18,408,293,0,22
35,7700,4,8,0,12,18,1.5,701,30,14,340,225,10,22
36,3975,3,9,0,12,18,1.5,776,15,26,368,258,10,24
37,3985,3,8,1,12,17,1.4166666666666667,682,15,12,320,243,10,22
38,6540,2,9,1,12,17,1.4166666666666667,543,15,9,280,169,10,24
39,9076,2,9,1,12,17,1.4166666666666667,699,0,14,312,268,10,24
40,296,2,9,1,12,15,1.25,703,45,13,336,213,0,21
41,9623,3,9,0,12,15,1.25,661,15,33,272,229,0,21
42,10150,3,9,0,12,14,1.1666666666666667,803,30,21,334,306,0,20
