#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,2974,1102,8137,1287,5130,5109,185,156,RED
2,8575,3490,1539,4926,281,6167,137,154,BLUE
3,6366,4451,3976,2815,3489,1051,143,135,RED
4,190,4533,10017,6925,343,342,171,208,BLUE
5,1287,5130,5109,8575,3490,1539,161,140,RED
6,2815,3489,1051,190,4533,10017,151,157,BLUE
7,2974,1102,8137,4926,281,6167,208,142,RED
8,6366,4451,3976,6925,343,342,155,153,RED
9,4926,281,6167,190,4533,10017,136,158,BLUE
10,6925,343,342,1287,5130,5109,195,161,RED
11,2974,1102,8137,6366,4451,3976,210,135,RED
12,6925,343,342,190,4533,10017,219,157,RED
13,6366,4451,3976,6925,343,342,137,183,BLUE
14,2974,1102,8137,6925,343,342,224,196,RED
15,2974,1102,8137,6925,343,342,255,201,RED
