#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,6932,4451,1051,3489,9571,2815,96•,83•,RED,0,1.0666666666666667,25,5,0,2,0,0.06666666666666667,19,8,0,2
2,10195,6961,343,1758,3976,3490,77•,66,RED,0,2.0,7,8,1,2,0,1.1666666666666667,19,4,0,1
3,342,281,9315,6366,5109,1539,79•,105•,BLUE,0,0.1,14,9,0,2,0,1.0333333333333334,25,6,1,2
4,8575,1287,10017,1102,6167,190,96•,124•,BLUE,0,0.13333333333333333,27,7,0,2,1,0.16666666666666666,30,8,0,2
5,4926,5130,6925,4533,8137,1293,130•,62•,RED,0,1.8333333333333335,22,8,2,2,0,1.9333333333333333,11,6,0,2
6,2974,7085,1102,1539,1319,5109,163•,58•,RED,0,-0.03333333333333334,23,11,3,2,0,1.0666666666666667,19,2,0,2
7,10017,1293,3976,343,6167,4451,38,145•,BLUE,0,1.0333333333333334,9,3,0,1,0,1.0999999999999999,18,11,2,2
8,9571,4926,7085,6961,8137,1287,38•,60•,BLUE,0,0.06666666666666667,10,3,0,2,0,0.06666666666666667,12,5,0,2
9,10195,5130,1758,281,190,1051,55•,104,BLUE,0,0.9,14,4,0,2,0,1.0333333333333334,23,10,0,1
10,8575,2815,3490,1319,3489,342,85•,63•,RED,0,0.2,25,4,0,2,1,0.1,14,3,0,2
11,6366,9315,6932,6925,2974,4533,76•,196•,BLUE,1,0.03333333333333333,14,4,0,2,0,2.8,29,16,3,2
12,1051,2815,3976,1319,4926,6961,59,53•,RED,0,2.033333333333333,17,2,0,0,0,1.1,9,5,0,2
13,3490,10017,10195,1287,1102,3489,40•,147•,BLUE,0,0.16666666666666666,8,3,0,2,0,0.13333333333333333,26,16,0,2
14,342,6366,9571,5130,1293,343,89,107•,BLUE,0,0.03333333333333333,17,10,0,1,1,2.7333333333333334,16,10,0,2
15,9315,8575,2974,1539,281,8137,126•,71•,RED,0,0.9666666666666667,17,9,2,2,0,1.0,18,4,0,2
16,6925,6932,7085,1758,190,4451,82•,108•,BLUE,0,1.0,20,3,1,2,0,0.16666666666666666,24,8,0,2
17,6167,4533,9571,5109,2974,2815,60•,165•,BLUE,0,1.0333333333333334,11,7,0,2,1,1.9666666666666668,22,12,2,2
18,281,343,3490,6925,190,6366,136•,163•,BLUE,0,2.0666666666666664,14,14,1,2,1,1.0,14,15,2,2
19,1102,5109,8137,1287,10195,1051,99•,74,RED,0,0.13333333333333333,25,8,0,2,0,1.0333333333333334,17,7,0,1
20,3489,1539,10017,1758,342,4926,73•,85,BLUE,1,1.0333333333333334,16,3,0,2,0,0.1,14,8,1,1
