Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,2974,12,0,0,12,34,2.8333333333333335,1914,60,17,524,719,310,22
2,1102,10,2,0,12,31,2.5833333333333335,1581,45,8,678,630,50,23
3,6366,9,3,0,12,29,2.4166666666666665,1428,60,12,476,573,120,23
4,4451,9,3,0,12,29,2.4166666666666665,1480,45,14,654,444,110,22
5,190,9,3,0,12,29,2.4166666666666665,1322,45,9,636,418,50,23
6,8575,9,3,0,12,29,2.4166666666666665,1198,15,12,616,338,60,23
7,4926,9,3,0,12,28,2.3333333333333335,1327,15,17,548,444,150,22
8,6925,9,3,0,12,27,2.25,1325,30,34,530,422,150,20
9,2815,7,5,0,12,25,2.0833333333333335,1180,45,15,586,356,60,22
10,1287,7,5,0,12,24,2.0,1184,60,15,480,432,30,22
11,343,6,6,0,12,24,2.0,1264,45,47,330,555,90,24
12,1051,8,4,0,12,24,2.0,1080,30,30,496,331,70,19
13,5130,6,6,0,12,23,1.9166666666666667,1035,45,20,580,260,20,23
14,5109,6,6,0,12,23,1.9166666666666667,1048,15,15,544,289,50,23
15,1758,6,6,0,12,22,1.8333333333333333,982,45,8,386,364,40,22
16,6961,5,7,0,12,22,1.8333333333333333,899,30,17,374,316,30,24
17,4533,5,7,0,12,21,1.75,1345,30,38,602,483,50,23
18,3490,6,6,0,12,21,1.75,1146,15,18,604,344,40,21
19,1319,5,7,0,12,20,1.6666666666666667,969,45,18,398,327,50,21
20,6932,5,7,0,12,20,1.6666666666666667,1019,45,14,404,328,80,22
21,8137,4,8,0,12,20,1.6666666666666667,941,30,13,416,289,50,24
22,6167,4,8,0,12,20,1.6666666666666667,953,30,11,514,258,30,24
23,342,6,6,0,12,20,1.6666666666666667,1051,30,8,494,356,40,18
24,3489,5,7,0,12,19,1.5833333333333333,1168,30,14,552,383,40,21
25,1539,4,8,0,12,19,1.5833333333333333,944,15,32,466,256,40,23
26,10195,4,8,0,12,18,1.5,884,15,19,338,355,30,22
27,1293,5,7,0,12,17,1.4166666666666667,808,15,35,346,286,20,19
28,281,5,7,0,12,17,1.4166666666666667,1251,0,15,484,537,50,19
29,10017,3,9,0,12,16,1.3333333333333333,1000,30,9,456,325,50,22
30,7085,2,10,0,12,15,1.25,895,30,11,408,242,60,23
31,9571,2,10,0,12,15,1.25,873,15,10,400,340,20,23
32,9315,2,10,0,12,14,1.1666666666666667,721,15,16,326,245,20,22
33,3976,4,8,0,12,14,1.1666666666666667,850,15,14,440,235,40,16
