#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,9496,343,10195,1747,1287,2640,143,192,BLUE
2,6366,3489,10218,342,281,1293,152,121,RED
3,829,4533,1758,8575,5130,1539,190,121,RED
4,4451,1102,6167,2815,3490,1051,188,134,RED
5,9496,343,10195,342,281,1293,157,99,RED
6,8575,5130,1539,2815,3490,1051,149,117,RED
7,1747,1287,2640,6366,3489,10218,167,149,RED
8,829,4533,1758,4451,1102,6167,192,198,BLUE
9,6366,3489,10218,8575,5130,1539,213,156,RED
10,829,4533,1758,9496,343,10195,174,196,BLUE
11,1747,1287,2640,4451,1102,6167,162,179,BLUE
12,9496,343,10195,6366,3489,10218,240,184,RED
13,1747,1287,2640,9496,343,10195,146,205,BLUE
14,4451,1102,6167,9496,343,10195,139,205,BLUE
15,4451,1102,6167,9496,343,10195,163,177,BLUE
