#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,1758,10218,3976,10017,5130,1747,42,87•,BLUE,0,0.13333333333333333,8,5,0,1,1,-0.13333333333333333,17,3,1,2
2,2815,3336,4451,3489,343,1293,89•,118•,BLUE,0,0.13333333333333333,16,4,1,2,0,2.933333333333333,19,13,1,2
3,8575,1539,9315,9571,6167,4533,50•,71•,BLUE,0,1.0666666666666669,16,2,0,2,1,1.0333333333333334,13,4,0,2
4,1287,2640,6961,829,281,9496,72•,157•,BLUE,0,0.06666666666666667,17,6,0,2,0,0.26666666666666666,24,12,3,2
5,6366,1051,5727,7085,3490,342,75•,54•,RED,0,0.9666666666666667,14,7,1,2,0,1.166666666666667,18,2,0,2
6,1225,1102,1319,343,8137,10195,83•,104•,BLUE,0,0.1,11,11,0,2,0,1.9666666666666666,9,12,1,2
7,7085,4533,3489,10017,2640,3490,91•,46,RED,0,2.033333333333333,19,7,0,2,0,0.13333333333333333,12,2,0,1
8,1539,342,1051,829,1225,3976,80•,85,BLUE,1,1.9666666666666668,23,2,0,2,0,0.19999999999999998,15,6,1,1
9,3336,1747,9571,4451,1758,10195,68•,102•,BLUE,0,0.0,13,6,1,2,0,1.166666666666667,21,7,0,2
10,10218,1319,5130,8575,2815,6961,53•,75,BLUE,0,0.9333333333333333,16,3,0,2,0,0.13333333333333333,21,4,0,1
11,9496,8137,6366,1293,1102,9315,160•,73•,RED,1,0.06666666666666667,30,10,1,2,0,1.0666666666666669,14,6,0,2
12,281,6167,3489,1287,5130,5727,115•,73•,RED,0,0.13333333333333333,28,10,0,2,0,-0.13333333333333333,15,8,0,2
13,1758,6366,1225,7085,3336,10017,78,26•,RED,0,0.03333333333333333,3,13,0,0,0,0.06666666666666667,6,2,0,2
14,9571,1539,3490,342,8575,829,56,108•,BLUE,0,1.0666666666666667,15,3,0,1,0,1.2666666666666666,21,5,1,2
15,3976,6961,8137,281,10195,2815,22•,106•,BLUE,0,0.06666666666666667,8,0,0,2,0,1.1,19,10,0,2
16,343,1102,4451,1747,1051,9315,167•,76•,RED,1,2.0999999999999996,15,17,2,2,0,1.0,13,4,1,2
17,1287,9496,6167,4533,10218,2640,130•,101•,RED,0,0.16666666666666669,25,8,2,2,0,1.0333333333333334,21,9,0,2
18,3976,1293,5727,829,1319,7085,38•,61•,BLUE,0,1.0,9,3,0,2,0,0.2333333333333333,13,3,0,2
19,1225,5130,1539,343,2815,1287,63•,159•,BLUE,0,1.8,21,3,0,2,1,2.0,19,15,1,2
