Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,9496,12,0,0,12,35,2.9166666666666665,1645,1,5,274,126,21,23
2,343,10,2,0,12,32,2.6666666666666665,1566,4,22,158,164,16,24
3,829,10,2,0,12,30,2.5,1407,4,8,252,93,13,22
4,4451,9,3,0,12,29,2.4166666666666665,1471,3,9,248,107,13,23
5,6366,9,3,0,12,28,2.3333333333333335,1468,4,3,216,127,13,21
6,4533,8,3,1,12,28,2.3333333333333335,1283,3,14,252,104,3,23
7,342,8,4,0,12,26,2.1666666666666665,1065,3,4,242,67,5,22
8,3489,7,5,0,12,26,2.1666666666666665,1147,1,7,270,85,4,24
9,1102,8,4,0,12,25,2.0833333333333335,1421,4,6,239,134,5,21
10,2815,7,5,0,12,25,2.0833333333333335,1189,3,6,252,75,5,23
11,8575,7,5,0,12,25,2.0833333333333335,1055,2,4,224,85,2,23
12,5130,7,5,0,12,24,2.0,1123,4,5,255,82,3,22
13,1747,7,5,0,12,24,2.0,1330,3,5,221,98,15,22
14,6167,6,6,0,12,24,2.0,959,2,5,223,61,4,24
15,281,7,5,0,12,24,2.0,1235,2,3,209,123,4,22
16,10017,6,6,0,12,22,1.8333333333333333,939,2,4,199,66,4,22
17,5727,5,7,0,12,22,1.8333333333333333,858,2,3,161,77,4,24
18,1287,5,7,0,12,22,1.8333333333333333,1170,1,7,214,111,4,24
19,1051,5,7,0,12,21,1.75,986,4,13,209,69,4,23
20,3490,5,6,1,12,21,1.75,1085,2,4,286,61,3,22
21,7085,5,7,0,12,21,1.75,835,1,9,160,70,2,23
22,1758,6,6,0,12,21,1.75,996,1,5,167,104,2,20
23,6961,4,7,1,12,20,1.6666666666666667,752,1,2,155,57,4,23
24,1225,5,6,1,12,20,1.6666666666666667,859,0,2,157,80,3,20
25,8137,4,8,0,12,19,1.5833333333333333,907,3,3,207,59,2,23
26,9315,4,8,0,12,19,1.5833333333333333,799,1,6,163,56,5,23
27,10195,5,7,0,12,19,1.5833333333333333,883,0,5,174,84,1,21
28,9571,4,8,0,12,18,1.5,840,3,9,149,75,4,22
29,1539,4,8,0,12,18,1.5,995,1,14,225,63,6,22
30,10218,5,7,0,12,18,1.5,1010,1,8,210,82,5,20
31,3976,5,7,0,12,18,1.5,829,1,4,173,62,4,20
32,1293,3,8,1,12,17,1.4166666666666667,901,1,12,171,75,4,22
33,2640,3,9,0,12,17,1.4166666666666667,995,0,4,204,87,3,23
34,1319,2,10,0,12,15,1.25,909,0,4,171,81,3,23
35,3336,0,11,1,12,13,1.0833333333333333,741,1,4,173,53,2,24
