#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,7525,1466,1592,1014,4576,4150,150,128,RED
2,4020,2393,120,5002,2556,3140,194,155,RED
3,6517,3984,4306,7431,8214,6184,132,156,BLUE
4,4265,2872,9152,7072,4462,2641,159,114,RED
5,1014,4576,4150,5002,2556,3140,152,151,RED
6,6517,3984,4306,7072,4462,2641,206,139,RED
7,7525,1466,1592,4020,2393,120,245,191,RED
8,7431,8214,6184,4265,2872,9152,168,140,RED
9,4020,2393,120,6517,3984,4306,178,191,BLUE
10,4265,2872,9152,1014,4576,4150,155,139,RED
11,7525,1466,1592,7431,8214,6184,173,137,RED
12,4265,2872,9152,6517,3984,4306,173,160,RED
13,7431,8214,6184,4265,2872,9152,139,136,RED
14,7525,1466,1592,7431,8214,6184,153,152,RED
15,7525,1466,1592,7431,8214,6184,165,142,RED
