Team#,Total,Rank,Selection,Elims
34,4,4,0,0
120,17,13,4,0
538,9,9,0,0
1014,25,16,9,0
1466,65,19,16,30
1592,42,11,1,30
2393,28,15,13,0
2556,27,15,12,0
2641,18,12,6,0
2872,41,14,14,13
3139,9,9,0,0
3140,13,8,5,0
3821,6,6,0,0
3824,5,5,0,0
3966,9,9,0,0
3984,42,20,15,7
4013,7,7,0,0
4020,31,18,13,0
4150,22,14,8,0
4265,45,18,14,13
4306,22,13,2,7
4462,25,14,11,0
4504,12,12,0,0
4576,25,16,9,0
4630,11,11,0,0
5002,29,17,12,0
5744,4,4,0,0
6107,7,7,0,0
6184,40,13,7,20
6302,11,11,0,0
6517,43,21,15,7
7072,28,17,11,0
7111,10,10,0,0
7431,46,16,10,20
7525,68,22,16,30
8214,45,15,10,20
8624,8,8,0,0
9073,12,12,0,0
9152,26,10,3,13
9313,10,10,0,0
9668,8,8,0,0
10166,6,6,0,0
