#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,4013,538,9073,1466,9152,7431,64•,110•,BLUE,0,1.1,12,7,0,2,0,0.9333333333333333,19,13,0,2
2,6302,2872,4576,2556,2641,3984,98•,102•,BLUE,0,1.1333333333333333,15,9,0,2,1,2.8666666666666663,30,2,0,2
3,7111,3966,9313,4306,10166,1592,42•,74•,BLUE,0,1.0333333333333334,11,3,0,2,0,1.0333333333333334,16,7,0,2
4,5744,5002,4150,4265,9668,120,77•,117•,BLUE,0,1.3666666666666667,12,9,0,2,1,1.8,11,11,1,2
5,2393,3140,4630,7072,1014,8214,62•,95•,BLUE,0,0.0,19,4,0,2,0,0.13333333333333333,14,10,1,2
6,34,4020,3824,3139,8624,3821,107•,60,RED,0,2.3666666666666667,18,9,1,2,0,1.0,8,8,0,1
7,6184,4504,4462,7525,6107,6517,52•,168,BLUE,0,1.0666666666666667,15,3,0,2,0,1.2,26,15,2,1
8,4576,2641,7072,9668,9073,7111,79•,64•,RED,0,2.233333333333333,15,7,0,2,0,0.1,8,9,0,2
9,2556,120,3966,8214,5002,2393,75•,94•,BLUE,0,1.8333333333333335,16,6,0,2,0,1.2666666666666666,10,11,0,2
10,3984,3139,9152,6517,9313,1466,88•,108•,BLUE,0,1.0,28,5,0,2,0,3.0999999999999996,11,10,1,2
11,4504,3824,4013,4020,538,3821,63•,82•,BLUE,0,2.8666666666666663,15,5,0,2,0,1.4000000000000001,12,7,1,2
12,6107,4265,1014,4306,34,2872,94•,77,RED,0,1.8333333333333335,7,12,1,2,0,1.1,17,6,0,1
13,1592,6302,5744,4462,3140,7525,76•,103•,BLUE,0,0.9666666666666667,13,8,0,2,0,0.06666666666666667,20,8,1,2
14,8624,4630,7431,4150,10166,6184,70•,68•,RED,1,0.9666666666666667,15,4,0,2,0,0.3,16,7,0,2
15,9313,6107,3139,3966,2872,4265,39•,95•,BLUE,0,1.9333333333333333,6,4,0,2,0,0.9,17,10,0,2
16,120,7525,1466,2641,3824,3821,151•,43•,RED,0,0.9,27,12,1,2,0,1.9,9,4,0,2
17,538,2556,6302,1014,4630,3984,62,85•,BLUE,0,1.0333333333333332,20,3,0,1,0,0.9666666666666667,25,5,0,2
18,4150,7431,2393,4576,3140,5744,119•,97•,RED,1,1.1333333333333333,35,5,0,2,0,1.1,19,10,0,2
19,10166,7072,9668,4306,4462,4013,56,61•,BLUE,0,0.2,12,5,0,1,0,1.9333333333333333,16,4,0,2
20,7111,5002,4020,9152,34,4504,109•,42,RED,0,1.6333333333333333,15,9,1,2,0,1.1,9,4,0,1
21,1592,6184,6517,8624,8214,9073,118•,98•,RED,0,0.3,17,14,1,2,0,1.0,8,12,1,2
22,120,4013,7431,1014,3966,6302,112•,48•,RED,1,1.8666666666666667,24,8,0,2,0,0.0,10,5,0,2
23,34,5744,4462,9313,7525,4306,48,110•,BLUE,0,1.1,12,4,0,1,1,2.0,18,7,1,2
24,3140,7111,8624,1466,4265,5002,76,130•,BLUE,0,1.0333333333333334,20,6,0,1,0,2.1,6,18,1,2
25,7072,9073,3139,538,2393,2641,64•,79•,BLUE,0,0.19999999999999998,11,9,0,2,1,1.0666666666666667,22,2,0,2
26,4630,2872,6517,4020,9152,9668,130•,73,RED,0,1.2,27,9,1,2,0,0.3,15,5,1,1
27,4504,8214,2556,10166,3824,6107,91•,51•,RED,0,1.9,16,9,0,2,0,1.9333333333333333,8,6,0,2
28,4150,3821,1592,3984,4576,6184,84,110•,BLUE,0,1.1333333333333333,21,8,0,1,1,1.2000000000000002,25,7,0,2
29,4020,4013,8624,6302,4265,7525,92•,130•,BLUE,1,2.2333333333333334,13,6,0,2,1,0.9666666666666667,11,10,2,2
30,4504,5002,10166,9073,7431,5744,54•,54•,TIE,0,1.3,8,7,0,2,0,1.0,10,6,0,2
31,9313,3821,9668,2393,1014,7111,29•,68•,BLUE,0,0.9666666666666667,3,4,0,2,0,0.06666666666666667,19,4,0,2
32,2872,2641,1466,4630,3824,6184,114•,52,RED,1,1.9,18,10,0,2,0,1.0333333333333334,12,4,0,1
33,3984,6107,4462,1592,538,3140,94•,88•,RED,1,1.9,25,3,0,2,1,0.09999999999999999,13,8,0,2
34,34,3966,4576,9152,7072,6517,52•,106•,BLUE,0,0.26666666666666666,9,6,0,2,0,0.3333333333333333,18,11,1,2
35,120,8214,4150,2556,3139,4306,151•,81•,RED,1,1.0333333333333334,23,13,1,2,0,1.9333333333333333,22,5,0,2
36,2393,6184,9668,7111,1466,3984,66•,105•,BLUE,0,0.09999999999999999,12,7,0,2,0,1.9666666666666668,19,12,0,2
37,34,3821,3140,3966,4013,5002,70•,71•,BLUE,0,0.13333333333333333,18,6,0,2,0,0.23333333333333334,16,6,0,2
38,6302,4306,8214,2872,7525,9073,97•,122•,BLUE,0,0.9666666666666667,12,11,1,2,0,0.1,24,12,0,2
39,5744,9152,3824,7072,4020,4150,41,123•,BLUE,0,1.9,10,3,0,1,1,0.5666666666666667,21,9,1,2
40,3139,1592,120,4630,9313,10166,69•,42•,RED,0,0.9333333333333333,12,7,0,2,0,1.0333333333333334,4,6,0,2
41,7431,6517,2641,4462,4265,2556,116•,84•,RED,1,1.1666666666666667,14,10,1,2,0,1.8333333333333335,21,6,0,2
42,1014,8624,4576,538,4504,6107,75•,54,RED,0,1.1,10,9,0,2,0,3.0,12,4,0,1
43,9152,1592,9073,3824,7111,120,77,71,RED,0,0.03333333333333333,11,10,0,1,0,1.9,15,4,0,1
44,3140,4306,3966,6184,2556,1466,53•,133•,BLUE,0,0.9666666666666667,14,4,0,2,1,1.9666666666666666,24,12,0,2
45,4265,4504,4576,4630,3139,6302,116•,46•,RED,0,2.0,12,13,1,2,0,0.03333333333333333,9,5,0,2
46,10166,4020,5744,6517,1014,34,93•,68•,RED,0,2.333333333333333,20,8,0,2,0,0.3333333333333333,11,5,1,2
47,5002,3984,7431,2641,8214,9313,79•,79,TIE,0,1.2333333333333334,12,8,0,2,0,1.9333333333333333,15,5,1,1
48,9668,4150,6107,538,7525,7072,52•,104•,BLUE,0,1.0666666666666667,7,6,0,2,1,0.3,20,6,1,2
49,2872,4462,8624,3821,2393,4013,92•,75,RED,0,0.9666666666666667,29,4,0,2,0,0.9666666666666667,18,6,0,1
50,3140,3984,4020,4504,120,4306,136•,67•,RED,0,1.2666666666666666,37,8,1,2,0,1.8333333333333335,15,5,0,2
51,538,1014,4150,10166,34,2641,65•,60•,RED,1,0.23333333333333334,8,6,0,2,0,1.1666666666666667,19,3,0,2
52,7525,2556,9152,6184,7111,4265,109•,105•,RED,0,1.0,24,6,1,2,0,1.0666666666666667,15,10,1,2
53,1592,7431,7072,3139,6517,5002,66•,109•,BLUE,0,0.13333333333333333,10,9,0,2,1,0.5,14,11,0,2
54,2393,9073,9313,6107,4013,2872,54,53•,RED,0,1.0,8,8,0,1,0,1.9,12,3,0,2
55,3824,3966,8624,4462,4576,4630,47,82•,BLUE,0,1.9,11,3,0,0,0,0.13333333333333333,20,8,0,2
56,3821,1466,6302,9668,5744,8214,78•,67•,RED,0,0.9333333333333333,7,12,0,2,0,0.9666666666666667,10,7,1,2
57,4265,9073,7072,7431,10166,1014,99•,72•,RED,0,1.0666666666666667,12,11,1,2,0,0.06666666666666667,19,5,0,2
58,2872,2556,9313,3966,1592,4020,73•,92•,BLUE,0,1.9,25,2,0,2,0,0.3,18,6,1,2
59,4462,9668,3139,8624,120,9152,74•,49•,RED,0,0.03333333333333333,18,8,0,2,0,1.8666666666666667,10,4,0,2
60,6107,1466,2393,3140,6517,4504,102,124•,BLUE,0,1.8666666666666667,19,10,0,1,0,1.1666666666666667,23,11,1,2
61,7111,3821,8214,4150,6302,2641,93•,89•,RED,0,0.06666666666666667,13,9,1,2,1,1.1,24,4,0,2
62,4013,4630,34,5744,3984,7525,56,120•,BLUE,0,0.1,12,6,0,1,0,2.0,28,6,1,2
63,3824,4576,538,5002,4306,6184,87•,89•,BLUE,0,1.1666666666666667,17,9,0,2,0,2.3333333333333335,15,9,0,2
64,4020,9313,4504,9073,4150,3140,74•,50•,RED,1,2.2333333333333334,5,5,1,2,0,0.16666666666666666,12,5,0,2
65,8214,10166,4265,1466,1592,34,150,114•,RED,0,0.9666666666666667,17,15,2,1,0,1.0666666666666667,11,16,0,2
66,2641,7111,3139,6517,2393,4462,64•,111•,BLUE,0,1.0666666666666669,14,6,0,2,1,0.19999999999999998,22,10,0,2
67,6107,4306,4630,3821,7431,2556,47•,92•,BLUE,0,1.9,9,4,0,2,1,0.9333333333333333,22,5,0,2
68,7525,4576,5002,2872,120,1014,121•,119•,RED,0,1.4666666666666668,19,10,1,2,1,0.9,21,10,0,2
69,4013,6184,9152,9668,6302,3824,50•,51•,BLUE,0,1.0666666666666667,12,4,0,2,0,-0.06666666666666667,12,5,0,2
70,3966,5744,538,8624,7072,3984,52•,76•,BLUE,0,1.0666666666666667,15,3,0,2,0,2.0666666666666664,23,4,0,2
71,5002,4630,2641,4576,4020,2393,89•,148•,BLUE,1,1.2333333333333334,19,6,0,2,1,0.43333333333333335,30,11,0,2
72,1014,4462,1592,1466,4150,4504,90•,99•,BLUE,1,0.0,12,9,0,2,1,2.033333333333333,20,8,0,2
73,6302,6184,120,7072,9313,34,89•,46•,RED,1,1.0,11,10,0,2,0,1.2333333333333334,10,5,0,2
74,2556,6107,7111,3139,5744,4013,81•,51,RED,0,1.9333333333333333,22,5,0,2,0,1.9666666666666668,10,5,0,1
