Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,7525,11,1,0,12,33,2.75,1418,45,20,594,502,120,23
2,6517,11,1,0,12,33,2.75,1370,45,19,476,559,110,23
3,3984,9,2,1,12,31,2.5833333333333335,1183,45,32,666,308,30,24
4,1466,10,2,0,12,31,2.5833333333333335,1386,45,32,434,697,40,23
5,4265,10,2,0,12,30,2.5,1314,30,30,368,617,110,22
6,4020,9,3,0,12,29,2.4166666666666665,1233,60,26,506,414,80,23
7,5002,7,3,2,12,28,2.3333333333333335,1062,30,26,332,497,30,24
8,7072,8,4,0,12,27,2.25,1023,30,13,414,407,50,23
9,7431,6,4,2,12,26,2.1666666666666665,997,75,15,434,347,10,24
10,1014,7,5,0,12,26,2.1666666666666665,951,60,8,364,365,30,24
11,4576,7,5,0,12,26,2.1666666666666665,1152,30,22,450,502,20,24
12,8214,8,3,1,12,26,2.1666666666666665,1280,15,16,364,649,100,20
13,2393,8,4,0,12,25,2.0833333333333335,1107,60,15,536,373,10,21
14,2556,7,5,0,12,25,2.0833333333333335,1048,45,34,568,281,10,23
15,4462,7,5,0,12,25,2.0833333333333335,995,45,16,504,325,10,23
16,2872,7,5,0,12,24,2.0,1205,30,18,556,464,10,21
17,4150,6,6,0,12,23,1.9166666666666667,1097,90,19,460,380,30,23
18,120,6,6,0,12,23,1.9166666666666667,1122,75,27,428,405,30,23
19,6184,6,6,0,12,23,1.9166666666666667,1041,45,19,450,401,20,23
20,4306,6,6,0,12,23,1.9166666666666667,920,30,29,376,338,30,23
21,2641,5,6,1,12,22,1.8333333333333333,973,90,33,452,277,20,23
22,9073,5,6,1,12,21,1.75,942,0,14,328,468,30,22
23,4504,5,6,1,12,20,1.6666666666666667,896,30,41,342,342,30,21
24,4630,5,7,0,12,20,1.6666666666666667,903,30,14,396,344,20,22
25,1592,5,7,0,12,20,1.6666666666666667,1007,30,11,366,459,20,22
26,6302,4,8,0,12,19,1.5833333333333333,904,45,14,320,384,30,23
27,9313,4,7,1,12,19,1.5833333333333333,753,30,33,276,285,40,22
28,9152,6,6,0,12,19,1.5833333333333333,940,15,16,402,371,30,18
29,7111,5,7,0,12,19,1.5833333333333333,938,0,24,414,339,30,21
30,3966,4,8,0,12,19,1.5833333333333333,806,0,15,378,285,20,22
31,538,4,8,0,12,18,1.5,839,60,20,362,276,20,22
32,3139,4,8,0,12,18,1.5,844,15,19,362,326,10,22
33,3140,4,8,0,12,18,1.5,981,15,13,456,356,30,22
34,9668,4,8,0,12,18,1.5,764,15,10,300,301,30,22
35,8624,4,8,0,12,17,1.4166666666666667,875,30,29,388,306,10,20
36,4013,4,8,0,12,17,1.4166666666666667,813,30,29,372,262,0,21
37,6107,4,8,0,12,17,1.4166666666666667,875,15,36,342,324,30,21
38,3821,4,8,0,12,17,1.4166666666666667,852,15,16,348,344,20,21
39,10166,3,8,1,12,17,1.4166666666666667,888,0,20,370,362,20,22
40,3824,4,8,0,12,15,1.25,777,0,33,330,279,20,18
41,5744,2,9,1,12,13,1.0833333333333333,836,0,30,366,317,20,20
42,34,1,11,0,12,10,0.8333333333333334,792,0,18,330,320,20,20
