#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,6459,9483,9025,9750,8557,9692,240,143,RED
2,9231,6417,9001,8054,9469,6436,112,127,BLUE
3,2905,7539,9585,7050,6985,6024,151,117,RED
4,7536,9233,7439,9089,8500,1797,104,111,BLUE
5,9750,8557,9692,9231,6417,9001,182,121,RED
6,7050,6985,6024,7536,9233,7439,125,136,BLUE
7,6459,9483,9025,8054,9469,6436,256,109,RED
8,2905,7539,9585,9089,8500,1797,162,115,RED
9,8054,9469,6436,7536,9233,7439,126,110,RED
10,9089,8500,1797,9750,8557,9692,92,214,BLUE
11,6459,9483,9025,2905,7539,9585,228,162,RED
12,9750,8557,9692,8054,9469,6436,165,111,RED
13,2905,7539,9585,9750,8557,9692,201,128,RED
14,6459,9483,9025,2905,7539,9585,226,177,RED
15,6459,9483,9025,2905,7539,9585,224,157,RED
