#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,8153,9231,8780,9095,8263,9547,79•,32•,RED,0,1.7333333333333334,19,6,0,2,0,0.06666666666666667,11,1,0,2
2,8799,4191,8557,8054,8209,7292,36•,58•,BLUE,0,0.06666666666666667,11,2,0,2,0,0.03333333333333333,13,5,0,2
3,8777,1797,8783,6430,9025,6024,37,71•,BLUE,0,0.9,9,2,0,1,0,0.9666666666666667,18,7,0,2
4,9185,9464,9440,7840,9001,9422,27,48•,BLUE,0,0.9666666666666667,9,1,0,1,0,0.0,14,3,0,2
5,6459,9030,7050,6436,9610,9469,81•,65•,RED,0,1.1666666666666667,15,7,0,2,1,0.0,20,0,0,2
6,6985,7228,9585,6417,9132,7729,55•,51•,RED,0,1.5,8,5,0,2,0,0.9666666666666667,21,1,0,2
7,7576,9523,9502,9750,9070,7611,48•,57•,BLUE,0,0.03333333333333333,14,3,0,2,1,0.0,7,5,0,2
8,9692,9233,8500,8166,8146,9483,104•,104•,TIE,0,1.1666666666666667,18,11,1,2,0,0.9,12,10,1,2
9,2905,10114,5883,9160,8795,7575,81•,36,RED,0,0.03333333333333333,9,10,1,2,0,0.0,7,4,0,1
10,7539,7439,7536,9436,9583,9124,117•,32•,RED,0,0.0,37,5,0,2,0,1.0,7,3,0,2
11,7292,9089,8308,9030,10210,9565,45,34•,RED,0,1.0,10,3,0,1,0,0.1,10,2,0,2
12,9185,6024,9585,7228,6436,8557,42•,64,BLUE,0,0.06666666666666667,16,1,0,2,0,0.0,17,5,0,1
13,9610,9233,8146,9001,9025,8209,42•,44•,BLUE,0,0.03333333333333333,14,2,0,2,0,0.0,13,3,0,2
14,9547,9483,4191,8777,9464,6459,82,91•,BLUE,0,1.0333333333333334,20,2,1,1,0,0.9666666666666667,19,7,0,2
15,6985,7536,10114,9095,8799,9523,94•,32•,RED,0,0.4666666666666667,26,6,0,2,0,0.0,11,1,0,2
16,9502,8263,9124,8795,7729,9422,30•,27,RED,0,0.0,10,1,0,2,0,0.9666666666666667,9,1,0,1
17,8500,10210,5883,9440,8780,6430,66•,33,RED,0,0.03333333333333333,19,4,0,2,0,1.9,8,2,0,0
18,8783,9160,9436,9231,6417,9583,13,88•,BLUE,0,0.9666666666666667,5,0,0,1,0,0.03333333333333333,29,5,0,2
19,8054,7840,7575,9692,9469,7576,75•,96•,BLUE,0,0.03333333333333333,10,11,0,2,0,0.16666666666666666,13,11,1,2
20,8166,9750,8153,7611,7539,8308,69,77•,BLUE,0,0.8,12,9,0,1,0,0.03333333333333333,18,7,0,2
21,9132,9070,9565,1797,7050,2905,52•,124•,BLUE,0,0.0,10,6,0,2,1,1.0,13,14,1,2
22,6024,7439,9440,7228,8799,9089,50,52,BLUE,0,0.0,16,1,0,1,0,0.9666666666666667,5,7,0,1
23,8500,9160,6459,8209,8777,7729,88•,39•,RED,0,0.0,18,7,1,2,0,0.9666666666666667,13,2,0,2
24,9025,9422,9692,9095,9585,9030,81,44•,RED,0,0.13333333333333333,5,12,1,1,0,0.13333333333333333,16,1,0,2
25,9464,9436,9610,5883,8153,8054,29•,92•,BLUE,0,1.9333333333333333,9,1,0,2,0,0.8333333333333334,22,7,0,2
26,8263,8783,6436,9070,9483,8308,40,141•,BLUE,0,0.0,8,4,0,1,0,0.9333333333333333,17,13,2,2
27,6430,10114,9583,9547,7576,8557,62•,65•,BLUE,0,1.0333333333333334,15,6,0,2,0,0.1,18,4,0,2
28,9089,9132,9231,7536,9750,8146,54•,74•,BLUE,0,0.9666666666666667,10,5,0,2,0,0.0,22,5,0,2
29,7050,9565,9001,7575,9502,6417,48•,42•,RED,0,0.09999999999999999,13,4,0,2,0,0.0,14,2,0,2
30,7611,6985,8795,9233,9185,7539,50•,93,BLUE,0,0.43333333333333335,10,5,0,2,0,0.03333333333333333,22,8,0,1
31,8780,8166,10210,9469,2905,9523,63,97•,BLUE,0,0.9666666666666667,15,6,0,1,0,0.0,19,7,1,2
32,9124,7840,7439,1797,7292,4191,42,43,BLUE,0,0.0,10,3,0,1,0,0.9666666666666667,10,3,0,1
33,9025,8153,7576,6459,7536,9422,86•,111•,BLUE,0,0.8333333333333334,8,12,0,2,1,0.0,20,10,0,2
34,6024,9583,9095,7729,9565,9610,52•,27•,RED,0,0.03333333333333333,18,2,0,2,0,0.9666666666666667,9,1,0,2
35,7575,6430,9185,9436,8799,9233,41,40•,RED,0,0.9666666666666667,10,3,0,0,0,1.0,11,3,0,2
36,8209,9089,9483,9001,7539,6985,142•,104•,RED,0,1.8666666666666667,18,12,2,2,0,1.4333333333333333,32,6,0,2
