Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,3835,8,1,0,9,24,2.6666666666666665,621,1,3,167,38,0,17
2,10015,8,1,0,9,23,2.5555555555555554,556,2,4,115,51,0,16
3,6429,8,1,0,9,22,2.4444444444444446,675,1,2,161,55,0,15
4,7444,7,2,0,9,22,2.4444444444444446,685,1,1,167,54,0,17
5,5553,8,1,0,9,22,2.4444444444444446,557,0,1,162,33,0,15
6,8079,7,2,0,9,21,2.3333333333333335,491,1,3,112,41,0,16
7,7682,7,2,0,9,20,2.2222222222222223,582,0,8,152,44,0,15
8,9468,6,3,0,9,19,2.111111111111111,512,2,6,125,32,0,16
9,10126,6,3,0,9,19,2.111111111111111,521,1,1,134,37,0,16
10,1884,7,2,0,9,19,2.111111111111111,614,0,2,196,30,0,14
11,5993,7,2,0,9,19,2.111111111111111,503,0,2,120,46,0,14
12,9155,6,3,0,9,19,2.111111111111111,455,0,0,104,44,0,16
13,6948,6,3,0,9,18,2.0,616,3,3,166,31,0,15
14,7201,6,3,0,9,18,2.0,521,2,1,120,42,0,15
15,6064,6,2,1,9,18,2.0,507,1,5,121,42,0,14
16,8084,5,4,0,9,18,2.0,650,1,3,152,50,0,17
17,7672,5,4,0,9,18,2.0,436,1,2,114,27,0,17
18,9451,6,3,0,9,18,2.0,512,1,0,128,42,0,15
19,10081,6,3,0,9,18,2.0,419,0,2,99,33,0,15
20,9479,5,4,0,9,18,2.0,440,0,1,150,15,0,17
21,9447,5,4,0,9,18,2.0,414,0,1,120,25,0,17
22,6402,5,4,0,9,17,1.8888888888888888,497,1,2,130,35,0,16
23,10197,5,4,0,9,17,1.8888888888888888,476,0,2,95,45,0,16
24,10068,6,3,0,9,17,1.8888888888888888,572,0,1,126,52,0,14
25,6014,6,3,0,9,17,1.8888888888888888,608,0,1,109,61,0,13
26,8182,5,4,0,9,17,1.8888888888888888,372,0,1,93,29,0,16
27,8798,4,5,0,9,17,1.8888888888888888,414,0,0,116,24,0,18
28,7758,4,5,0,9,16,1.7777777777777777,464,2,2,108,39,0,17
29,3390,4,5,0,9,16,1.7777777777777777,353,1,2,86,25,0,17
30,9467,4,4,1,9,16,1.7777777777777777,350,1,0,87,26,0,16
31,7035,5,4,0,9,16,1.7777777777777777,541,0,2,134,46,0,15
32,9024,5,4,0,9,16,1.7777777777777777,566,0,1,172,31,0,15
33,8795,4,4,1,9,16,1.7777777777777777,377,0,1,84,33,0,16
34,6038,4,5,0,9,15,1.6666666666666667,462,2,1,119,30,0,16
35,8220,3,6,0,9,15,1.6666666666666667,397,0,8,101,29,0,18
36,8056,4,5,0,9,15,1.6666666666666667,414,0,5,78,43,0,16
37,6232,3,6,0,9,15,1.6666666666666667,422,0,1,117,30,0,18
38,10167,5,4,0,9,15,1.6666666666666667,427,0,0,107,35,0,14
39,7683,3,6,0,9,14,1.5555555555555556,389,2,0,108,16,0,17
40,8796,4,5,0,9,14,1.5555555555555556,470,1,1,111,34,0,15
41,10110,4,5,0,9,14,1.5555555555555556,429,1,1,104,30,0,15
42,9159,5,4,0,9,14,1.5555555555555556,395,0,7,99,27,0,13
43,10063,4,5,0,9,14,1.5555555555555556,461,0,1,102,43,0,15
44,9591,4,5,0,9,13,1.4444444444444444,441,1,10,110,26,0,14
45,6431,4,5,0,9,13,1.4444444444444444,332,0,3,89,19,0,14
46,9441,2,6,1,9,13,1.4444444444444444,415,0,2,105,34,0,17
47,9174,4,5,0,9,13,1.4444444444444444,344,0,1,109,16,0,14
48,9546,4,4,1,9,13,1.4444444444444444,425,0,1,105,40,0,12
49,9247,3,6,0,9,13,1.4444444444444444,368,0,0,114,15,0,16
50,9093,4,5,0,9,12,1.3333333333333333,403,1,3,100,29,0,12
51,10180,4,5,0,9,12,1.3333333333333333,414,1,0,99,32,0,12
52,9020,2,7,0,9,12,1.3333333333333333,390,0,5,116,20,0,16
53,8127,3,6,0,9,12,1.3333333333333333,503,0,2,110,49,0,15
54,8863,4,5,0,9,12,1.3333333333333333,427,0,1,112,33,0,12
55,7570,3,6,0,9,12,1.3333333333333333,357,0,0,83,34,0,15
56,4972,2,7,0,9,11,1.2222222222222223,399,0,3,109,23,0,16
57,9220,2,7,0,9,11,1.2222222222222223,422,0,2,95,38,0,16
58,9281,1,7,1,9,11,1.2222222222222223,333,0,0,72,30,0,17
59,9694,2,7,0,9,10,1.1111111111111112,416,1,2,101,30,0,15
60,9029,2,7,0,9,10,1.1111111111111112,423,0,2,122,25,0,14
61,10021,2,7,0,9,9,1.0,411,0,1,98,35,0,13
62,9473,1,8,0,9,8,0.8888888888888888,311,0,0,82,19,0,15
63,9043,1,8,0,9,7,0.7777777777777778,345,0,0,103,18,0,14
64,8151,0,9,0,9,6,0.6666666666666666,267,0,0,60,20,0,14
65,10200,0,0,0,0,0,0.0,0,0,0,0,0,0,0
