#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,3847,3310,8512,5417,6768,4734,224,117,RED
2,4192,4641,8528,9105,9655,1164,190,129,RED
3,3676,4206,7540,9080,1745,4153,209,109,RED
4,9136,4063,10159,5414,8874,3481,205,142,RED
5,5417,6768,4734,9105,9655,1164,130,154,BLUE
6,9080,1745,4153,5414,8874,3481,114,159,BLUE
7,3847,3310,8512,4192,4641,8528,228,190,RED
8,3676,4206,7540,9136,4063,10159,223,176,RED
9,4192,4641,8528,5414,8874,3481,180,152,RED
10,9136,4063,10159,9105,9655,1164,204,120,RED
11,3847,3310,8512,3676,4206,7540,194,221,BLUE
12,9136,4063,10159,4192,4641,8528,178,182,BLUE
13,3847,3310,8512,4192,4641,8528,223,163,RED
14,3676,4206,7540,3847,3310,8512,208,202,RED
15,3676,4206,7540,3847,3310,8512,242,222,RED
