#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,9620,7492,4734,8512,3481,9457,37,55•,BLUE,0,0.9666666666666667,12,2,0,1,0,0.9,12,6,0,2
2,4063,4153,9080,1164,10159,5613,113•,60•,RED,0,0.2333333333333333,21,10,1,2,0,1.0333333333333334,16,5,0,2
3,4251,8408,7271,9105,4641,6768,31,141,BLUE,0,0.9666666666666667,12,0,0,1,0,0.13333333333333333,17,14,2,1
4,6974,8874,3847,4206,1745,5783,134•,131•,RED,1,2.1,16,10,1,2,0,-0.16666666666666666,17,13,1,2
5,9786,9655,8528,4717,9136,5414,66,92•,BLUE,0,2.8666666666666663,11,7,0,1,0,2.8666666666666667,8,8,2,2
6,3310,2657,10170,4192,5417,3676,90,156•,BLUE,0,1.9000000000000001,14,8,1,1,0,1.9666666666666668,14,18,1,2
7,8512,7534,5866,7125,6974,7540,40•,44•,BLUE,0,0.0,5,6,0,2,0,0.0,15,2,0,2
8,9080,4717,1745,3481,5613,8408,70•,55•,RED,0,1.0,16,6,0,2,0,0.9333333333333333,18,2,0,2
9,4206,4251,9457,3310,1164,7271,100•,111•,BLUE,0,0.7666666666666667,19,8,0,2,0,2.833333333333333,13,10,1,2
10,5417,7540,9786,7492,9655,4153,53,72•,BLUE,0,0.9666666666666667,12,5,0,1,1,0.9666666666666667,12,6,0,2
11,4734,2657,6768,9620,5414,7534,72•,76,BLUE,0,1.0,16,8,0,2,0,0.9333333333333333,8,8,1,1
12,9105,9136,7125,10170,10159,5783,109•,56,RED,0,1.0666666666666667,21,8,1,2,0,0.06666666666666667,15,4,0,0
13,4063,3847,4192,5866,8528,8874,197•,81•,RED,0,3.166666666666667,21,18,3,2,0,1.1,14,9,0,2
14,7492,4641,5414,3676,9457,1164,142•,139•,RED,1,0.9333333333333333,20,10,1,2,1,0.9333333333333333,11,16,1,2
15,5783,8408,6768,7540,8512,10170,54•,30•,RED,0,0.03333333333333333,10,7,0,2,0,0.03333333333333333,6,2,0,2
16,5866,5613,5417,8528,4251,4717,52,66•,BLUE,0,0.06666666666666667,6,8,0,1,0,2.9,14,5,0,2
17,3310,6974,3676,7271,4063,7534,187•,71•,RED,1,2.833333333333333,10,19,4,2,0,1.2333333333333334,13,6,0,2
18,4641,9080,9136,2657,9620,4206,125•,86•,RED,0,0.9666666666666667,19,11,1,2,0,0.8,12,8,1,2
19,4734,9786,10159,1745,8874,4192,35•,126•,BLUE,0,2.9333333333333336,11,1,0,2,1,1.1333333333333333,22,9,1,2
20,3481,7125,4153,9655,9105,3847,57•,173•,BLUE,0,0.9,12,5,0,2,1,3.033333333333333,21,14,2,2
21,7534,5783,5613,7492,7271,5417,38,52,BLUE,0,0.03333333333333333,12,2,0,0,0,0.03333333333333333,7,7,0,1
22,8408,6974,5414,4251,9080,3310,69•,92•,BLUE,0,0.9333333333333333,10,7,1,2,0,2.8333333333333335,18,5,1,2
23,3847,6768,10159,2657,3676,9786,125•,127,BLUE,1,2.033333333333333,18,11,1,2,0,1.9,8,16,1,1
24,7540,4192,9105,4717,9620,4063,134•,73•,RED,1,1.0666666666666667,18,10,1,2,1,1.2,10,5,1,2
25,9655,4206,8874,4153,5866,10170,137•,50•,RED,1,1.9,18,12,1,2,0,0.03333333333333333,9,6,0,2
26,8512,1164,9136,4734,4641,3481,114•,107•,RED,1,1.9333333333333333,16,9,1,2,1,0.8666666666666667,21,5,1,2
27,1745,9457,7271,6768,7125,8528,42•,61,BLUE,0,0.03333333333333333,11,3,0,2,0,1.0,10,6,0,0
28,9655,5414,5783,5866,4717,7492,85,41•,RED,0,1.9,16,7,0,1,0,0.9666666666666667,9,4,0,2
29,4192,4153,3310,9080,10159,3481,139•,57•,RED,0,2.8333333333333335,17,11,2,2,0,0.9333333333333333,11,6,0,2
30,8874,9136,7540,9105,1164,2657,85•,77•,RED,0,1.1,22,4,0,2,0,1.0666666666666667,11,6,1,2
31,3676,10170,4206,7534,4734,9457,150•,39,RED,0,0.8,13,16,2,2,0,0.9666666666666667,12,2,0,1
32,5417,4641,4063,7125,8408,9786,120•,31•,RED,0,0.26666666666666666,15,14,1,2,0,0.9333333333333333,9,2,0,2
33,6974,8512,4251,5613,9620,3847,43•,96•,BLUE,0,0.9666666666666667,10,4,0,2,0,2.0,9,12,1,2
34,3310,8528,9105,1745,4734,3676,160•,138•,RED,1,2.933333333333333,17,9,2,2,0,1.9666666666666668,16,12,2,2
35,5414,4192,7125,7540,5783,2657,120•,56,RED,0,1.9,12,13,1,2,0,0.0,15,4,0,1
36,9457,4717,5613,6974,10159,4641,42,95•,BLUE,0,1.0,12,3,0,1,0,0.03333333333333333,23,5,1,2
37,1164,8874,9620,5417,9655,1745,60•,90,BLUE,0,1.1,16,4,0,2,0,1.0333333333333334,10,13,0,1
38,4153,9136,7534,8408,9080,8528,70•,73•,BLUE,0,0.9666666666666667,18,3,0,2,0,0.9666666666666667,18,6,0,2
39,10170,3847,7271,3481,6768,5866,124,83•,RED,0,2.0,13,12,2,1,0,0.9333333333333333,13,10,0,2
40,4206,7492,8512,4063,9786,4251,96•,64,RED,0,0.8,15,8,1,2,0,2.133333333333333,8,6,0,1
41,3676,7540,9655,9136,9457,10159,114•,92•,RED,0,1.9333333333333333,11,15,0,2,0,0.0,21,6,1,2
42,7271,5613,8528,9080,5783,1164,61•,67•,BLUE,0,1.0,17,2,0,2,0,0.9666666666666667,11,9,0,2
43,10170,4192,4641,7125,1745,7492,109•,60,RED,0,1.0,22,6,2,2,0,0.03333333333333333,9,8,0,1
44,5414,4734,4251,4153,4206,3847,98•,219•,BLUE,0,2.8666666666666663,21,5,1,2,1,1.7666666666666666,22,20,3,2
45,6768,3310,4717,8874,4063,8512,88•,99•,BLUE,0,1.8666666666666667,10,11,0,2,0,0.36666666666666664,20,10,0,2
46,9786,9620,5866,7534,5417,9105,27,77•,BLUE,0,0.9333333333333333,6,3,0,1,0,0.13333333333333333,16,8,0,2
47,6974,3481,4206,8408,9655,2657,116•,37•,RED,0,1.7000000000000002,18,11,0,2,0,0.9666666666666667,9,3,0,2
48,9136,4063,1745,5414,8512,6768,179•,123•,RED,1,1.2333333333333334,25,13,2,2,0,0.9666666666666667,16,13,1,2
49,9457,9620,10170,10159,7534,4192,38•,88•,BLUE,0,0.03333333333333333,12,2,0,2,0,1.0,19,5,1,2
50,4734,7125,9080,7492,4251,3676,49•,104•,BLUE,0,0.9666666666666667,13,4,0,2,0,1.9333333333333333,12,10,1,2
51,2657,7271,8874,8408,4153,4717,42•,37,RED,0,0.13333333333333333,11,3,0,2,0,0.9666666666666667,14,1,0,1
52,1164,3847,5417,5613,9105,6974,153•,76,RED,0,2.966666666666667,19,16,1,2,0,0.13333333333333333,11,6,1,1
53,5783,9786,4641,7540,3481,3310,58•,115•,BLUE,0,0.9333333333333333,13,2,1,2,1,2.7666666666666666,19,4,1,2
54,8528,3676,9620,5866,4206,8408,86•,60•,RED,0,1.9333333333333333,14,5,1,2,0,0.8,9,6,0,2
55,4717,5417,6974,6768,10170,1164,50•,87•,BLUE,0,1.0,7,7,0,2,1,1.0333333333333334,14,9,0,2
56,3847,8512,9080,4641,9457,7540,118•,78•,RED,0,1.9666666666666668,10,15,1,2,0,0.0,18,5,1,2
57,10159,4063,9655,5783,8528,7492,83•,57•,RED,0,1.2333333333333334,7,10,1,2,0,0.9666666666666667,15,4,0,2
58,4153,9105,4734,4192,7271,9136,89•,89•,TIE,0,1.0666666666666667,17,7,1,2,0,1.9333333333333333,9,7,2,2
59,5414,3481,1745,8874,4251,7534,110•,36•,RED,0,0.8666666666666667,18,8,1,2,0,1.1,13,0,0,2
60,7125,2657,5866,5613,3310,9786,58•,88,BLUE,0,0.0,11,7,0,2,0,2.833333333333333,13,8,1,1
61,1164,7492,4192,9136,6768,6974,69•,93•,BLUE,0,1.9333333333333333,14,4,1,2,0,1.0,11,9,1,2
62,8528,4206,10159,4641,4153,8512,122•,93,RED,0,0.8,16,12,0,2,0,0.0,17,10,0,1
63,9457,2657,9080,7271,5866,9105,44•,91•,BLUE,0,0.0,10,4,0,2,0,0.09999999999999999,12,10,1,2
64,4717,7534,9655,3847,3310,4734,23•,176•,BLUE,0,1.9333333333333333,4,2,0,2,0,4.800000000000001,20,17,3,2
65,3676,7125,4063,9786,8874,3481,167•,63•,RED,0,1.2,13,18,3,2,0,1.9666666666666668,17,5,0,2
66,9620,7540,8408,10170,5414,5613,50•,83,BLUE,0,0.0,19,1,0,2,0,1.0,12,6,1,1
67,5417,5783,9457,4251,1745,4153,70,60•,RED,0,0.03333333333333333,13,9,0,1,0,1.0,10,7,0,2
68,7534,8528,4641,4192,9786,6974,102•,67•,RED,0,0.9666666666666667,17,8,0,2,0,0.9,8,5,1,2
69,9080,6768,9620,8874,4717,7125,68,54,RED,0,0.03333333333333333,9,11,0,1,0,1.1,15,4,0,1
