Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,3847,11,1,0,12,32,2.6666666666666665,1801,60,56,446,802,220,22
2,3676,10,2,0,12,31,2.5833333333333335,1602,45,31,308,825,190,23
3,9136,9,2,1,12,30,2.5,1348,30,33,444,450,160,23
4,4192,8,3,1,12,29,2.4166666666666665,1375,30,33,422,522,170,24
5,4063,9,3,0,12,28,2.3333333333333335,1392,30,22,402,607,140,22
6,4206,8,4,0,12,28,2.3333333333333335,1406,30,21,402,618,100,24
7,9105,8,3,1,12,27,2.25,1332,60,24,414,523,140,22
8,3310,9,3,0,12,27,2.25,1472,45,60,376,559,200,21
9,5414,9,3,0,12,27,2.25,1218,30,26,386,460,120,21
10,9080,8,4,0,12,26,2.1666666666666665,940,0,15,360,392,40,22
11,9655,8,4,0,12,25,2.0833333333333335,1073,45,41,316,470,60,21
12,5417,9,3,0,12,25,2.0833333333333335,1026,0,17,312,515,30,19
13,8528,7,5,0,12,24,2.0,1005,15,31,394,388,30,21
14,8874,6,6,0,12,23,1.9166666666666667,980,60,22,406,326,30,23
15,8512,6,6,0,12,23,1.9166666666666667,1017,30,12,318,439,70,23
16,4641,7,5,0,12,23,1.9166666666666667,1227,30,7,484,442,110,21
17,1164,5,7,0,12,22,1.8333333333333333,1058,45,33,350,417,60,24
18,3481,5,7,0,12,22,1.8333333333333333,962,30,24,414,316,30,24
19,6974,6,6,0,12,22,1.8333333333333333,1038,30,19,328,404,100,22
20,4153,5,6,1,12,21,1.75,1092,45,17,386,413,70,22
21,6768,6,6,0,12,21,1.75,1055,30,19,334,481,50,20
22,7271,6,5,1,12,21,1.75,880,0,20,300,353,70,20
23,7125,6,6,0,12,21,1.75,918,0,17,326,387,60,20
24,7492,6,6,0,12,20,1.6666666666666667,971,45,17,332,371,70,20
25,10159,5,7,0,12,20,1.6666666666666667,1010,30,21,378,350,70,21
26,7540,5,7,0,12,19,1.5833333333333333,901,30,16,404,286,30,21
27,1745,5,7,0,12,19,1.5833333333333333,1128,30,16,398,451,70,21
28,10170,5,7,0,12,17,1.4166666666666667,977,30,16,338,367,90,18
29,4717,4,8,0,12,17,1.4166666666666667,745,15,31,270,295,40,21
30,2657,4,8,0,12,17,1.4166666666666667,889,0,15,320,363,60,21
31,7534,4,8,0,12,17,1.4166666666666667,710,0,15,316,241,20,20
32,8408,3,9,0,12,16,1.3333333333333333,685,30,9,304,215,30,22
33,4251,3,9,0,12,16,1.3333333333333333,850,15,33,348,289,40,22
34,5783,5,7,0,12,16,1.3333333333333333,852,0,7,348,348,30,16
35,4734,2,9,1,12,15,1.25,990,15,36,388,359,80,22
36,9620,4,8,0,12,15,1.25,754,15,15,296,296,50,19
37,9457,3,9,0,12,15,1.25,847,15,9,346,320,40,21
38,9786,3,9,0,12,12,1.0,788,0,33,286,321,50,18
39,5866,2,10,0,12,12,1.0,786,0,9,242,388,30,20
40,5613,3,9,0,12,11,0.9166666666666666,783,0,20,326,293,40,16
