#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,9128,2468,5052,457,5503,6377,187,115,RED
2,2714,2881,8819,3735,418,2789,171,138,RED
3,6800,8088,10105,8114,3679,8879,140,87,RED
4,7312,9140,2158,2583,2687,2689,170,171,BLUE
5,457,5503,6377,3735,418,2789,128,129,BLUE
6,8114,3679,8879,7312,9140,2158,143,149,BLUE
7,9128,2468,5052,2714,2881,8819,228,156,RED
8,6800,8088,10105,2583,2687,2689,217,141,RED
9,2714,2881,8819,7312,9140,2158,144,156,BLUE
10,2583,2687,2689,3735,418,2789,168,156,RED
11,9128,2468,5052,6800,8088,10105,177,192,BLUE
12,2583,2687,2689,7312,9140,2158,102,149,BLUE
13,9128,2468,5052,7312,9140,2158,192,200,BLUE
14,6800,8088,10105,7312,9140,2158,221,171,RED
15,6800,8088,10105,7312,9140,2158,232,146,RED
