#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,7621,6377,10174,9128,9577,2468,72,139•,BLUE,0,0.1,7,11,0,1,0,1.5,22,11,2,2
2,10105,7138,2789,8819,2687,8088,42•,110•,BLUE,0,0.03333333333333333,14,2,0,2,0,1.9,30,7,0,2
3,10136,6357,418,8114,2881,5503,75•,104•,BLUE,0,0.06666666666666667,11,9,0,2,1,1.9333333333333333,31,3,0,2
4,6155,2689,7088,5052,2158,3679,61•,93•,BLUE,0,0.8666666666666667,13,6,0,2,0,2.8,24,7,0,2
5,2714,10113,7312,5103,9506,4610,154•,43•,RED,0,0.23333333333333334,23,14,2,2,0,1.9333333333333333,8,4,0,2
6,457,9140,8879,9054,6800,10181,82•,77•,RED,0,1.0,28,3,0,2,0,0.13333333333333333,12,7,1,2
7,5052,3735,2583,5726,2687,10213,100•,60•,RED,1,0.9666666666666667,11,8,1,2,0,0.06666666666666667,12,6,0,2
8,4610,8819,5503,9577,7088,7621,63•,38•,RED,0,1.9,13,6,0,2,0,0.0,2,7,0,2
9,2881,2158,2789,10105,6800,10113,75,113•,BLUE,0,1.8666666666666667,21,4,0,1,1,0.13333333333333333,18,8,1,2
10,8088,9506,2468,6357,6155,6377,100•,52•,RED,0,1.3333333333333335,19,12,0,2,0,0.06666666666666667,9,5,0,2
11,8114,3679,418,10174,7312,2689,83•,102•,BLUE,0,0.9666666666666667,23,6,0,2,0,1.0666666666666667,17,10,1,2
12,9128,10136,9140,8879,3735,10213,106•,63•,RED,0,0.16666666666666669,21,8,1,2,0,0.9666666666666667,12,7,0,2
13,2714,7138,2583,457,5103,10181,109•,63•,RED,1,0.03333333333333333,16,6,1,2,1,1.0,8,5,0,2
14,5726,5503,2689,4610,7312,9054,71•,106•,BLUE,0,1.8333333333333335,13,6,0,2,0,2.1666666666666665,16,12,0,2
15,3735,2687,6155,2881,8819,10113,88•,59•,RED,0,0.03333333333333333,27,4,0,2,0,0.9666666666666667,17,4,0,2
16,418,2789,7088,2583,5103,10136,60•,79,BLUE,0,0.03333333333333333,20,2,0,2,0,1.0,13,9,0,1
17,9128,6800,2158,9577,2714,6377,174•,97•,RED,0,1.0333333333333334,17,17,3,2,0,1.1,8,14,0,2
18,10105,8879,8088,457,8114,7621,105•,57•,RED,0,1.8666666666666667,24,9,0,2,1,0.0,6,6,0,2
19,2468,10181,5726,9506,10213,3679,76,65•,RED,0,0.4666666666666667,10,10,0,1,0,0.9666666666666667,11,7,0,2
20,10174,6357,9054,7138,9140,5052,60•,58,RED,0,0.06666666666666667,12,6,0,2,0,1.0333333333333334,19,2,0,1
21,2789,3735,9577,2714,8879,4610,92•,106•,BLUE,1,0.0,12,8,1,2,0,1.9333333333333333,18,10,1,2
22,2583,10113,7088,6155,418,9128,56•,135•,BLUE,1,0.03333333333333333,5,4,0,2,1,0.1,15,10,2,2
23,7312,2468,7138,5052,8114,8819,132•,53,RED,0,2.6,22,14,1,2,0,1.9333333333333333,13,4,0,1
