Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,9128,11,1,0,12,34,2.8333333333333335,1570,30,11,484,631,170,24
2,2468,11,1,0,12,33,2.75,1452,30,28,504,621,40,23
3,6800,10,2,0,12,32,2.6666666666666665,1548,75,12,410,616,180,24
4,7312,9,3,0,12,30,2.5,1417,60,25,510,509,150,24
5,8088,10,1,1,12,30,2.5,1363,15,21,620,549,20,20
6,2714,9,3,0,12,29,2.4166666666666665,1314,30,11,500,521,90,23
7,3735,8,4,0,12,28,2.3333333333333335,1257,45,13,404,530,100,24
8,9140,8,3,1,12,28,2.3333333333333335,1170,15,16,654,305,40,23
9,2583,8,4,0,12,27,2.25,1078,60,11,372,460,30,23
10,8114,8,4,0,12,27,2.25,917,30,13,400,332,30,23
11,457,6,6,0,12,24,2.0,1010,75,11,358,371,50,24
12,9054,7,5,0,12,24,2.0,952,45,15,374,342,10,22
13,5503,6,5,1,12,24,2.0,1006,30,29,482,320,0,23
14,8879,7,5,0,12,24,2.0,967,15,28,494,282,10,22
15,2689,6,6,0,12,24,2.0,1055,0,26,422,384,40,24
16,2881,7,5,0,12,23,1.9166666666666667,1084,30,28,596,278,10,20
17,418,6,6,0,12,23,1.9166666666666667,1316,30,14,550,520,60,23
18,9577,5,7,0,12,22,1.8333333333333333,911,45,10,302,407,30,24
19,4610,6,6,0,12,22,1.8333333333333333,951,0,32,366,396,20,22
20,2789,5,7,0,12,21,1.75,962,60,10,440,276,60,23
21,3679,5,7,0,12,21,1.75,1161,15,26,478,448,30,23
22,6377,6,6,0,12,21,1.75,1099,0,18,298,561,20,21
23,2158,5,7,0,12,20,1.6666666666666667,955,0,24,402,353,40,22
24,2687,6,6,0,12,20,1.6666666666666667,988,0,14,554,276,20,20
25,10105,4,8,0,12,19,1.5833333333333333,932,45,11,384,341,30,23
26,6155,4,8,0,12,19,1.5833333333333333,793,30,12,338,284,20,23
27,7621,5,7,0,12,19,1.5833333333333333,813,30,6,238,352,50,21
28,5726,4,7,1,12,19,1.5833333333333333,980,15,12,332,424,40,22
29,6357,3,8,1,12,18,1.5,920,60,11,380,300,30,23
30,7088,3,9,0,12,18,1.5,857,60,3,364,272,30,24
31,10113,4,7,1,12,18,1.5,956,30,8,330,392,50,21
32,5052,4,8,0,12,18,1.5,755,15,32,376,226,10,22
33,10174,5,7,0,12,18,1.5,850,0,16,390,290,30,19
34,10136,5,7,0,12,18,1.5,779,0,15,284,333,20,20
35,10181,3,9,0,12,17,1.4166666666666667,831,30,15,356,297,10,23
36,10213,3,9,0,12,17,1.4166666666666667,841,15,12,310,368,10,23
37,8819,4,8,0,12,17,1.4166666666666667,877,0,32,416,287,20,21
38,5103,4,8,0,12,16,1.3333333333333333,959,45,34,376,348,40,20
39,7138,4,8,0,12,16,1.3333333333333333,862,15,16,380,302,30,20
40,9506,3,9,0,12,16,1.3333333333333333,694,0,12,296,250,10,22
