#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,6800,2881,10170,10105,4734,2687,186,83,RED
2,9418,6369,5866,9054,3679,6901,179,103,RED
3,2582,418,6357,4610,1164,8879,176,137,RED
4,2583,6377,2950,8528,10027,8749,126,130,BLUE
5,10105,4734,2687,9054,3679,6901,119,123,BLUE
6,4610,1164,8879,2583,6377,2950,138,129,RED
7,6800,2881,10170,9418,6369,5866,223,167,RED
8,2582,418,6357,8528,10027,8749,170,122,RED
9,9418,6369,5866,4610,1164,8879,197,149,RED
10,8528,10027,8749,9054,3679,6901,86,111,BLUE
11,6800,2881,10170,2582,418,6357,160,149,RED
12,9054,3679,6901,9418,6369,5866,115,177,BLUE
13,2582,418,6357,9418,6369,5866,189,178,RED
14,6800,2881,10170,2582,418,6357,187,166,RED
15,6800,2881,10170,2582,418,6357,190,191,BLUE
16,6800,2881,10170,2582,418,6357,187,151,RED
