#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,8749,6369,2950,8528,5866,2583,91•,95•,BLUE,0,0.9333333333333333,13,10,1,2,0,0.9666666666666667,14,10,0,2
2,6357,10027,4610,1164,418,3679,60,113•,BLUE,0,1.0,12,7,0,1,0,1.9333333333333333,25,10,0,2
3,2687,10174,3743,9506,9418,4364,42,93,BLUE,0,0.1,12,2,0,1,0,0.0,20,6,1,1
4,9577,10105,8769,2881,2789,9620,73•,69•,RED,1,0.1,9,8,0,2,0,0.9666666666666667,22,3,0,2
5,10177,9054,10170,4734,5783,8879,54•,49•,RED,0,0.1,6,8,0,2,0,1.9,11,4,0,2
6,9448,10213,9655,6901,2582,6377,36•,101•,BLUE,0,1.0,6,3,0,2,0,0.16666666666666669,8,15,1,2
7,8507,2789,9034,6800,4610,5613,38•,84•,BLUE,0,0.0,11,2,0,2,0,1.0666666666666669,19,8,0,2
8,8749,10027,1164,5783,10105,2583,64•,96•,BLUE,0,1.0,18,3,0,2,1,0.03333333333333333,14,9,0,2
9,10170,9655,6369,10177,9418,418,86•,125•,BLUE,0,1.9,6,10,1,2,0,0.06666666666666667,23,10,1,2
10,10213,9054,3679,2950,4364,9034,78•,50•,RED,0,1.0,14,8,0,2,0,0.03333333333333333,14,4,0,2
11,9506,6901,5613,3743,6357,8879,41•,65,BLUE,1,0.06666666666666667,7,2,0,2,0,0.9666666666666667,23,2,0,1
12,2687,2582,8507,5866,6377,8769,111,80•,RED,0,0.1,21,10,0,1,0,1.1333333333333333,5,13,0,2
13,6800,9448,9620,9577,4734,2881,88•,85•,RED,0,0.06666666666666667,11,8,2,2,0,0.9333333333333333,20,8,0,2
14,8528,6369,1164,10174,6901,2950,122•,50•,RED,1,2.833333333333333,19,10,1,2,0,0.1,14,4,0,2
15,4610,10177,9655,5866,9506,2687,65•,62•,RED,0,1.9666666666666668,10,8,0,2,0,0.03333333333333333,20,4,0,2
16,4364,8507,9054,2583,10027,2789,45•,66•,BLUE,1,0.03333333333333333,7,2,0,2,0,1.0333333333333334,19,5,0,2
17,3679,5783,10174,9577,10213,6800,82•,105•,BLUE,1,0.9666666666666667,14,7,0,2,1,0.1,10,7,1,2
18,10170,9418,9448,10105,9620,8879,81•,61,RED,0,0.03333333333333333,17,7,0,2,0,0.9666666666666667,21,3,0,0
19,6377,6357,8749,4734,5613,9034,86•,52,RED,0,0.06666666666666667,11,10,0,2,0,1.0,15,3,0,1
20,8528,8769,3743,418,2881,2582,61•,169••,BLUE,0,1.0666666666666669,12,5,0,2,1,3.066666666666667,32,12,0,2
21,9418,9577,9620,10027,10177,6369,83•,79•,RED,0,0.0,19,6,1,2,0,0.9666666666666667,16,8,0,2
22,6357,10174,10105,8879,10213,2687,62•,52•,RED,0,0.06666666666666667,18,5,0,2,0,0.0,14,3,0,2
23,6800,8528,418,9034,9506,5783,182•,38•,RED,1,1.0666666666666669,22,16,2,2,0,0.0,11,2,0,2
24,8507,6901,4734,9655,4364,3679,62•,55•,RED,0,1.0,21,3,0,2,0,1.9,14,4,0,2
