Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,6800,12,0,0,12,35,2.9166666666666665,1520,5,6,195,136,17,23
2,2582,12,0,0,12,34,2.8333333333333335,1354,1,7,179,135,12,21
3,418,10,2,0,12,32,2.6666666666666665,1248,2,7,264,96,3,23
4,2583,10,2,0,12,31,2.5833333333333335,976,2,4,180,92,2,23
5,9418,10,2,0,12,31,2.5833333333333335,1214,2,3,230,85,12,23
6,9054,7,5,0,12,26,2.1666666666666665,964,3,8,145,92,4,24
7,8528,8,4,0,12,26,2.1666666666666665,1083,2,12,192,95,4,21
8,4610,7,5,0,12,25,2.0833333333333335,837,2,12,165,82,0,23
9,10105,8,4,0,12,24,2.0,916,4,5,190,76,2,19
10,2881,7,5,0,12,24,2.0,1195,3,12,258,92,2,19
11,8749,6,6,0,12,24,2.0,954,2,3,186,79,3,24
12,10213,7,5,0,12,24,2.0,748,1,6,157,58,2,21
13,10170,7,5,0,12,24,2.0,895,1,6,155,88,4,22
14,6377,7,5,0,12,24,2.0,1089,0,7,137,145,1,22
15,6357,7,5,0,12,23,1.9166666666666667,881,3,3,180,70,3,21
16,3679,7,5,0,12,23,1.9166666666666667,1018,2,9,199,92,1,21
17,10027,6,6,0,12,23,1.9166666666666667,974,1,7,207,82,3,23
18,8879,8,4,0,12,23,1.9166666666666667,944,1,6,200,75,3,17
19,6901,6,6,0,12,22,1.8333333333333333,853,2,4,180,72,3,21
20,4734,6,6,0,12,22,1.8333333333333333,840,0,10,195,64,2,22
21,6369,6,6,0,12,21,1.75,1102,1,7,169,105,9,21
22,2687,6,6,0,12,21,1.75,860,1,2,220,66,0,21
23,8769,4,8,0,12,20,1.6666666666666667,854,2,6,165,77,2,24
24,9577,5,7,0,12,20,1.6666666666666667,837,2,2,137,90,3,22
25,9448,5,7,0,12,20,1.6666666666666667,773,1,3,160,66,3,22
26,8507,5,7,0,12,20,1.6666666666666667,730,1,3,150,67,1,22
27,9034,4,8,0,12,19,1.5833333333333333,721,3,2,165,45,2,23
28,1164,4,8,0,12,19,1.5833333333333333,916,2,11,188,84,1,23
29,5613,5,7,0,12,19,1.5833333333333333,743,1,5,175,58,1,21
30,10177,4,8,0,12,19,1.5833333333333333,762,0,3,153,74,1,23
31,2950,3,9,0,12,18,1.5,900,4,3,179,76,3,24
32,5866,4,8,0,12,18,1.5,905,3,3,163,84,3,21
33,9506,5,7,0,12,18,1.5,794,2,2,153,70,3,20
34,5783,4,8,0,12,17,1.4166666666666667,748,2,4,157,62,1,20
35,9655,3,9,0,12,17,1.4166666666666667,685,1,11,144,53,2,23
36,2789,4,8,0,12,17,1.4166666666666667,722,0,3,175,57,1,21
37,10174,4,8,0,12,14,1.1666666666666667,819,3,6,173,67,1,16
38,9620,3,9,0,12,14,1.1666666666666667,735,0,2,157,56,5,19
39,4364,2,10,0,12,13,1.0833333333333333,702,1,4,148,63,2,20
40,3743,2,10,0,12,12,1.0,600,0,6,146,36,2,19
