#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,5572,4063,7088,5726,9121,10113,144,114,RED
2,8827,8598,4219,5894,3481,2969,112,104,RED
3,8019,3035,8114,4597,8556,7521,142,84,RED
4,8573,3561,10181,8750,9419,9524,108,76,RED
5,5726,9121,10113,5894,3481,2969,119,113,RED
6,4597,8556,7521,8750,9419,9524,82,91,BLUE
7,5572,4063,7088,8827,8598,4219,135,96,RED
8,8019,3035,8114,8573,3561,10181,125,129,BLUE
9,8827,8598,4219,8750,9419,9524,125,80,RED
10,8019,3035,8114,5726,9121,10113,150,69,RED
11,5572,4063,7088,8573,3561,10181,170,127,RED
12,8019,3035,8114,8827,8598,4219,141,97,RED
13,8573,3561,10181,8019,3035,8114,126,123,RED
14,5572,4063,7088,8573,3561,10181,178,162,RED
15,5572,4063,7088,8573,3561,10181,208,146,RED
