#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,8625,4219,9051,10113,4597,7521,44,62•,BLUE,0,0.03333333333333333,6,6,0,1,0,1.0,15,6,0,2
2,5986,3561,4332,9444,9664,8598,50,27•,RED,0,1.9333333333333333,9,4,0,1,0,0.9666666666666667,8,1,0,2
3,7088,5894,5726,3029,3035,10181,48•,76•,BLUE,0,0.0,7,6,0,2,0,0.9,17,7,0,2
4,7138,8369,9524,6180,8114,8019,22•,62•,BLUE,0,0.0,6,1,0,2,1,0.16666666666666666,10,4,0,2
5,10136,8610,3481,5572,9419,7621,39•,64,BLUE,0,0.9333333333333333,9,2,0,2,0,0.9666666666666667,7,6,1,1
6,9311,9658,4063,8556,2969,6155,89•,60•,RED,1,0.26666666666666666,18,5,0,2,0,0.0,17,5,0,2
7,8827,9121,9444,9051,8573,8750,44•,55,BLUE,0,0.03333333333333333,18,0,0,2,0,0.9666666666666667,13,4,0,1
8,9419,8019,10113,8598,7138,10181,53,48•,RED,0,0.9666666666666667,11,5,0,1,0,1.0,13,3,0,2
9,7521,6180,9664,9658,3481,7621,44•,49•,BLUE,0,1.1333333333333333,7,5,0,2,0,0.9,13,4,0,2
10,4332,5726,6155,8369,5986,8573,46•,46,TIE,0,0.0,6,6,0,2,0,0.9666666666666667,9,4,0,1
11,2969,5894,10136,8114,9524,8625,58•,44•,RED,0,0.03333333333333333,8,8,0,2,0,0.0,12,3,0,2
12,5572,8610,3035,4219,9121,8556,84,64•,RED,0,0.8666666666666667,13,8,1,1,0,0.06666666666666667,14,7,0,2
13,3029,7088,4597,4063,8827,3561,38•,118•,BLUE,0,0.03333333333333333,10,3,0,2,0,1.2,24,8,1,2
14,9664,8369,8750,9311,9419,6180,39•,21•,RED,0,0.9666666666666667,12,2,0,2,0,1.1333333333333333,12,-2,0,2
