Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,5572,12,0,0,12,32,2.6666666666666665,1048,0,4,141,110,9,20
2,8019,10,2,0,12,30,2.5,804,4,1,165,65,0,21
3,3035,11,1,0,12,30,2.5,918,2,3,178,77,2,20
4,4063,10,2,0,12,29,2.4166666666666665,1015,3,5,175,82,8,21
5,8573,9,2,1,12,28,2.3333333333333335,828,2,2,161,67,1,21
6,3561,9,3,0,12,28,2.3333333333333335,861,0,9,168,73,1,22
7,8827,9,2,1,12,27,2.25,689,1,2,189,41,1,19
8,5894,7,5,0,12,26,2.1666666666666665,692,2,5,152,46,2,24
9,8750,7,5,0,12,24,2.0,723,2,11,153,55,2,22
10,9419,7,5,0,12,24,2.0,669,1,8,144,47,2,22
11,4597,7,5,0,12,24,2.0,686,1,3,157,58,1,21
12,5726,6,4,2,12,24,2.0,781,1,2,113,89,2,22
13,8369,6,4,2,12,23,1.9166666666666667,539,2,1,127,30,0,21
14,10181,7,5,0,12,23,1.9166666666666667,623,1,3,139,54,0,21
15,6155,6,5,1,12,23,1.9166666666666667,585,0,3,153,42,0,22
16,8598,5,7,0,12,22,1.8333333333333333,731,2,8,191,46,0,24
17,7138,6,6,0,12,22,1.8333333333333333,586,1,5,120,43,2,21
18,2969,5,6,1,12,22,1.8333333333333333,696,0,3,129,73,1,23
19,7621,5,6,1,12,21,1.75,596,1,3,109,62,1,22
20,8610,5,7,0,12,21,1.75,599,1,1,135,42,1,23
21,10136,6,6,0,12,21,1.75,628,0,3,131,59,0,20
22,4332,5,6,1,12,21,1.75,559,0,3,103,60,0,21
23,7088,4,8,0,12,20,1.6666666666666667,610,1,1,136,50,0,24
24,8556,4,8,0,12,19,1.5833333333333333,729,2,2,148,70,2,23
25,3481,6,6,0,12,19,1.5833333333333333,748,0,6,165,55,1,18
26,10113,6,5,1,12,19,1.5833333333333333,668,0,6,159,55,1,17
27,4219,4,7,1,12,19,1.5833333333333333,639,0,6,128,67,0,22
28,9664,4,7,1,12,19,1.5833333333333333,558,0,1,119,52,2,22
29,6180,4,7,1,12,18,1.5,585,2,6,146,32,1,20
30,8114,4,8,0,12,18,1.5,617,1,2,132,53,1,22
31,9121,5,6,1,12,18,1.5,695,0,3,165,56,1,18
32,9444,4,8,0,12,17,1.4166666666666667,531,3,2,112,28,2,20
33,9658,3,9,0,12,17,1.4166666666666667,552,1,1,121,46,0,22
34,9524,4,8,0,12,17,1.4166666666666667,686,0,1,160,58,1,21
35,9311,3,9,0,12,15,1.25,501,2,4,158,8,0,20
36,7521,3,9,0,12,15,1.25,647,1,10,125,58,1,21
37,5986,3,7,2,12,15,1.25,544,0,11,120,44,1,19
38,3029,3,9,0,12,14,1.1666666666666667,538,1,3,115,49,0,20
39,9051,3,8,1,12,14,1.1666666666666667,580,1,1,104,58,0,18
40,8625,4,8,0,12,14,1.1666666666666667,545,0,2,130,39,1,17
