#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,3005,118,7521,10027,8827,9088,245,76,RED
2,148,8576,10107,3561,5411,8858,209,164,RED
3,1477,624,9524,8515,9492,8177,199,138,RED
4,6672,2848,3743,5829,1296,5431,178,201,BLUE
5,10027,8827,9088,3561,5411,8858,92,172,BLUE
6,8515,9492,8177,6672,2848,3743,146,160,BLUE
7,3005,118,7521,148,8576,10107,213,190,RED
8,1477,624,9524,5829,1296,5431,140,184,BLUE
9,148,8576,10107,6672,2848,3743,188,153,RED
10,1477,624,9524,3561,5411,8858,176,167,RED
11,3005,118,7521,5829,1296,5431,255,206,RED
12,1477,624,9524,148,8576,10107,195,168,RED
13,5829,1296,5431,1477,624,9524,175,200,BLUE
14,3005,118,7521,1477,624,9524,237,147,RED
15,3005,118,7521,1477,624,9524,313,200,RED
