Team#,Total,Rank,Selection,Elims
118,64,18,16,30
148,39,19,13,7
624,52,17,15,20
1296,36,12,11,13
1477,56,21,15,20
2848,27,13,14,0
2950,13,13,0,0
3005,68,22,16,30
3561,30,18,12,0
3743,13,10,3,0
3802,12,12,0,0
4219,8,8,0,0
5411,26,14,12,0
5431,34,15,6,13
5829,41,17,11,13
6180,12,12,0,0
6672,34,20,14,0
7521,38,7,1,30
8177,16,9,7,0
8369,5,5,0,0
8515,26,16,10,0
8556,13,13,0,0
8576,36,16,13,7
8610,11,11,0,0
8827,13,4,9,0
8842,6,6,0,0
8858,15,10,5,0
9081,4,4,0,0
9088,22,14,8,0
9311,11,11,0,0
9444,8,8,0,0
9492,25,15,10,0
9524,33,11,2,20
9533,7,7,0,0
9664,9,9,0,0
10027,24,15,9,0
10037,6,6,0,0
10107,20,9,4,7
10177,12,12,0,0
