#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,9533,8369,9088,6672,2848,6180,29•,127•,BLUE,0,0.9666666666666667,10,0,0,2,0,0.19999999999999998,26,9,1,2
2,3005,8576,9444,624,1296,8842,159•,129•,RED,0,1.0333333333333334,14,13,2,2,0,0.2333333333333333,12,17,1,2
3,8858,3561,5431,8556,9311,8827,88•,48•,RED,0,0.06666666666666667,19,8,0,2,0,0.03333333333333333,20,0,0,2
4,10027,148,5829,10037,5411,9081,140•,100•,RED,0,1.7333333333333332,11,16,2,2,0,1.8666666666666667,7,13,1,2
5,7521,8610,118,8515,4219,1477,90•,107•,BLUE,0,2.9,7,7,1,2,0,0.23333333333333334,14,7,1,2
6,9492,8177,3743,2950,3802,9524,57•,79•,BLUE,0,1.9333333333333333,17,2,0,2,1,0.03333333333333333,11,9,0,2
7,9533,10107,9444,9664,10177,9311,34•,37•,BLUE,0,0.03333333333333333,11,1,0,2,0,0.06666666666666667,12,3,0,2
8,10037,4219,7521,3561,6180,1296,46•,105•,BLUE,0,0.03333333333333333,8,5,0,2,0,2.333333333333333,19,10,0,2
9,3743,9524,6672,148,8515,5431,100•,170•,BLUE,0,0.03333333333333333,14,10,1,2,1,1.7666666666666668,12,18,2,2
10,8842,10027,3005,8576,10177,8369,126•,83•,RED,1,1.0,10,14,2,2,0,1.1,14,7,0,2
11,9088,5411,3802,9492,5829,9664,79•,98•,BLUE,0,1.9,11,8,1,2,0,2.0,14,9,1,2
12,8858,8556,1477,2950,8177,624,99•,80•,RED,1,0.16666666666666666,12,6,1,2,0,1.0333333333333334,10,9,0,2
13,8827,10107,8610,118,2848,9081,48,147•,BLUE,0,0.03333333333333333,15,3,0,1,0,2.8666666666666663,17,14,3,2
14,6180,4219,8842,10037,9492,5431,36•,107•,BLUE,0,0.19999999999999998,3,6,0,2,1,1.0,25,5,0,2
15,9524,624,10027,3561,9311,148,90•,108•,BLUE,0,0.06666666666666667,15,10,1,2,0,2.6333333333333333,17,4,2,2
16,8177,8576,1296,8858,10177,10107,156•,83•,RED,0,2.2333333333333334,24,12,2,2,1,0.13333333333333333,14,7,0,2
17,9664,8610,9444,6672,1477,9533,18,119•,BLUE,0,0.0,5,1,0,1,0,0.09999999999999999,13,12,3,2
18,3802,9081,8369,9088,3005,8515,29•,163•,BLUE,0,0.9,3,4,0,2,0,2.033333333333333,20,15,1,2
19,8827,7521,3743,2848,8556,5829,50•,101•,BLUE,0,1.0,13,4,0,2,0,0.1,13,11,1,2
20,5411,2950,4219,118,8576,9524,100•,152•,BLUE,0,2.0,8,13,1,2,0,1.9999999999999998,20,11,4,2
21,6180,9492,624,8177,9311,8610,103•,46•,RED,0,1.1333333333333335,17,10,1,2,1,1.0,12,0,0,2
22,148,8556,10107,5431,9664,3005,87•,138•,BLUE,0,1.6666666666666667,9,8,1,2,0,1.0,12,14,2,2
23,8369,8515,2950,9533,8842,8858,71•,48•,RED,0,1.1333333333333333,11,8,0,2,0,0.06666666666666667,10,5,0,2
24,118,5829,5411,3743,10037,10177,173•,36•,RED,0,2.933333333333333,14,13,4,2,0,0.1,10,2,0,2
25,9088,2848,3561,9444,3802,7521,86•,49,RED,0,1.9666666666666668,16,8,0,2,0,0.9666666666666667,7,6,0,1
26,8827,9081,1477,1296,10027,6672,128•,142•,BLUE,0,1.0,18,11,2,2,1,1.2333333333333334,11,13,1,2
27,5829,2950,10037,8556,3005,8369,85•,109•,BLUE,0,0.13333333333333333,8,11,1,2,0,0.9666666666666667,11,9,2,2
28,5411,8177,5431,8515,2848,9533,118•,79•,RED,0,0.9333333333333333,14,11,1,2,0,0.13333333333333333,17,7,0,2
29,9088,118,9664,3561,624,3743,118•,106•,RED,0,2.9,10,10,3,2,0,1.0333333333333334,17,9,0,2
30,9311,1296,9492,9081,7521,6672,74•,109•,BLUE,0,1.1666666666666665,17,3,1,2,0,1.8666666666666667,4,17,1,2
31,4219,148,8610,8842,8827,9444,96•,36,RED,0,0.6666666666666666,7,12,1,2,0,0.0,13,1,0,1
32,9524,8858,6180,10107,3802,8576,42•,97•,BLUE,0,0.23333333333333334,12,2,0,2,0,0.1,17,8,1,2
33,1477,10027,9311,10177,9088,8556,101•,52•,RED,0,0.16666666666666666,17,4,2,2,0,1.0,16,3,0,2
34,624,8827,6672,5411,9444,148,152•,141•,RED,0,0.03333333333333333,18,17,2,2,1,0.5666666666666667,10,10,2,2
35,3005,3802,9492,8515,118,8177,127•,122,RED,0,1.9,20,8,2,2,0,3.0,9,12,2,1
36,9664,1296,2950,6180,5431,10027,95•,52•,RED,0,0.2333333333333333,11,11,1,2,0,0.2333333333333333,15,3,0,2
