#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,4456,5954,1522,3136,539,404,64•,126•,BLUE,0,2.0,15,5,0,2,0,1.8333333333333335,15,15,0,2
2,2068,10058,2421,1629,2199,6882,56•,66•,BLUE,0,0.4333333333333333,16,3,0,2,0,1.0,14,5,0,2
3,7770,1895,8326,1731,9709,1599,67,163••,BLUE,0,0.13333333333333333,13,5,0,1,1,3.9000000000000004,25,9,2,2
4,617,3373,6802,2998,4638,5115,93•,40•,RED,0,2.2666666666666666,17,9,0,2,0,0.03333333333333333,10,3,0,2
5,9003,3361,8590,619,3939,4472,70•,123•,BLUE,0,1.2333333333333334,14,7,0,2,0,1.2333333333333334,28,8,1,2
6,1599,1676,10058,6882,1895,3373,136•,84•,RED,1,2.0999999999999996,11,13,1,2,0,1.2666666666666666,14,9,0,2
7,8590,7770,1731,619,9709,617,134,127•,RED,0,3.1,16,13,2,1,0,2.0,21,10,1,2
8,8326,4638,3361,1676,5954,5115,69•,112•,BLUE,0,2.1,10,7,0,2,1,3.066666666666666,12,10,1,2
9,2998,2421,4456,2199,9003,2068,50•,94•,BLUE,0,0.23333333333333334,16,1,0,2,0,0.43333333333333335,15,13,0,2
10,4472,1522,3136,1629,6802,404,111•,124•,BLUE,0,3.0,11,13,1,2,0,1.9333333333333333,35,5,1,2
11,9709,539,2199,3939,1895,619,108,82,RED,0,1.866666666666667,24,10,0,1,0,1.1666666666666667,20,7,0,0
12,10058,5954,1599,5115,1731,6802,63•,148•,BLUE,0,1.9333333333333333,12,6,0,2,0,2.966666666666667,25,11,1,2
13,1676,6882,3939,4472,3361,2998,112•,68•,RED,0,1.2666666666666666,20,8,1,2,0,0.19999999999999998,22,3,0,2
14,8590,1629,3136,7770,2421,1522,133•,62,RED,1,2.033333333333333,22,8,1,2,0,1.0333333333333334,14,5,0,1
15,2068,617,404,4638,539,9003,54,108•,BLUE,0,0.39999999999999997,12,5,0,1,1,1.9000000000000001,14,11,1,2
16,4456,3373,2199,6882,6802,8326,102•,86•,RED,1,0.39999999999999997,20,7,0,2,0,1.0333333333333334,17,7,0,2
17,617,2998,1676,3939,3136,4638,81,125•,BLUE,0,1.2,14,6,1,1,1,2.0999999999999996,17,12,0,2
18,5115,2421,3373,1522,3361,8590,82•,56•,RED,0,0.3333333333333333,19,8,0,2,0,1.1,16,3,0,2
19,619,1629,4456,1731,5954,2068,138•,148•,BLUE,1,2.066666666666667,24,7,2,2,1,4.233333333333334,17,12,1,2
20,1895,9003,1599,539,7770,10058,98•,86•,RED,0,1.0666666666666667,12,15,0,2,0,0.9333333333333333,12,9,1,2
21,9709,8326,2421,4472,404,5954,90•,62,RED,0,1.1,25,6,0,2,0,1.0333333333333332,17,4,0,1
22,4638,10058,1522,7770,1599,3939,53•,102•,BLUE,0,1.9333333333333333,10,5,0,2,0,1.1666666666666667,18,11,0,2
23,9709,8590,2068,3373,4472,9003,58•,115•,BLUE,0,2.4,14,4,0,2,1,1.4000000000000001,18,9,1,2
24,8326,1731,404,617,2998,1895,141•,66,RED,0,2.033333333333333,15,16,1,2,0,0.13333333333333333,17,5,0,1
25,3136,4456,619,1629,2199,1676,116•,160•,BLUE,0,2.0666666666666664,15,11,2,2,1,2.0999999999999996,22,12,0,2
26,3361,6802,539,5115,6882,8590,156•,70•,RED,1,1.9000000000000001,29,10,1,2,0,0.13333333333333333,17,6,0,2
27,2199,4472,7770,1629,617,8326,76•,129•,BLUE,0,1.1666666666666667,20,5,0,2,1,1.1,26,5,1,2
28,3136,6802,9003,5954,3373,539,156•,137,RED,1,2.0,21,12,1,2,0,3.0333333333333337,18,11,2,1
29,1522,619,1676,2998,2421,1599,159•,95•,RED,0,2.0,16,16,1,2,1,1.0666666666666667,14,10,0,2
30,9709,5115,3939,10058,4456,1895,74•,64•,RED,0,2.166666666666667,18,5,0,2,0,0.19999999999999998,19,4,0,2
31,6882,3361,404,2068,1731,4638,48•,72•,BLUE,0,0.06666666666666667,13,3,0,2,0,3.2666666666666666,13,7,0,2
32,1599,619,2199,2421,8590,4472,137•,75•,RED,1,1.9666666666666668,16,13,1,2,1,0.26666666666666666,16,4,0,2
33,2068,2998,3939,10058,3136,9709,67•,84•,BLUE,0,1.5333333333333334,19,4,0,2,0,1.9666666666666668,16,8,0,2
34,5954,7770,6802,617,6882,4456,53•,58•,BLUE,0,1.9333333333333333,8,5,0,2,0,1.2,17,3,0,2
35,1522,5115,1895,8326,9003,3373,86•,118•,BLUE,0,0.0,21,8,0,2,1,1.3666666666666667,15,10,1,2
36,539,4638,1629,3361,1676,1731,88•,161•,BLUE,0,2.8,24,4,0,2,1,3.1333333333333333,17,11,2,2
37,404,6882,9709,8590,10058,8326,61,68•,BLUE,0,0.9666666666666667,19,3,0,1,0,0.2,16,6,0,2
38,4456,4472,5115,4638,1599,539,74,110•,BLUE,0,1.2666666666666668,22,3,0,1,0,2.8,16,10,1,2
39,3361,1629,5954,1522,404,2998,85•,43,RED,0,1.9666666666666668,21,4,1,2,0,0.9666666666666667,10,4,0,0
40,3373,2068,619,2199,3136,7770,121•,93•,RED,1,2.533333333333333,15,10,1,2,0,1.0333333333333334,9,11,1,2
41,9003,3939,617,6802,1895,1676,78•,129•,BLUE,0,0.3,21,5,0,2,0,2.0999999999999996,20,11,1,2
42,1731,5115,4472,2421,619,6882,152•,82•,RED,1,2.1,23,15,1,2,0,1.0333333333333334,11,9,0,2
43,1895,2068,7770,8590,3939,5954,78•,76•,RED,0,0.39999999999999997,19,7,0,2,0,1.2,23,4,0,2
44,539,617,1731,3373,1676,1629,181•,167•,RED,1,3.9,18,16,2,2,1,3.3,24,11,2,2
45,8326,1599,1522,6802,4456,3361,90•,132•,BLUE,0,1.9666666666666668,13,11,0,2,1,1.1666666666666667,35,5,0,2
46,9003,404,10058,3136,2199,2998,56,89•,BLUE,0,0.1,13,6,0,1,0,1.0333333333333334,10,9,1,2
47,4638,9709,8590,3939,1629,2421,60•,120•,BLUE,0,2.033333333333333,22,1,0,2,1,1.2,27,6,1,2
48,10058,1731,6882,9003,7770,5115,108•,75•,RED,0,2.0,10,11,1,2,1,0.13333333333333333,9,8,0,2
49,404,1599,2199,1895,9709,3361,94•,101•,BLUE,0,1.0,11,13,0,2,1,1.0666666666666667,23,5,0,2
50,3373,617,4638,6802,1522,619,76•,117•,BLUE,0,0.26666666666666666,8,8,1,2,1,2.8666666666666663,19,10,0,2
51,1676,3136,4472,4456,8326,2068,152•,63•,RED,1,2.1666666666666665,21,10,2,2,0,1.5333333333333332,14,4,0,2
52,539,2998,6882,2421,9003,5954,66•,66•,TIE,0,-0.1,10,6,1,2,0,1.0666666666666667,18,5,0,2
53,1676,2068,7770,404,8590,4456,105•,75•,RED,0,2.4666666666666663,16,9,2,2,1,0.23333333333333334,18,3,0,2
54,1731,3136,3373,5954,619,1895,177•,115•,RED,1,3.166666666666667,14,17,2,2,0,1.9333333333333333,16,12,1,2
55,3939,539,2421,3361,10058,617,123•,46•,RED,1,0.09999999999999999,25,10,0,2,0,0.16666666666666669,14,2,0,2
56,2998,5115,1629,1599,4472,9709,98•,131•,BLUE,0,1.0333333333333334,31,5,0,2,1,1.0333333333333332,27,10,0,2
57,6802,8326,4638,2199,1522,1731,83•,119•,BLUE,0,2.0,9,9,0,2,0,2.9333333333333336,8,13,2,2
58,7770,3373,3361,1599,4456,617,94•,78•,RED,1,0.3333333333333333,13,6,1,2,0,1.1666666666666667,13,9,0,2
59,9003,1522,1629,6882,2068,3136,113•,82•,RED,1,1.9666666666666668,17,10,1,2,1,1.3,10,7,0,2
