Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,1731,12,0,0,12,36,3.0,1704,6,32,201,151,17,23
2,6802,9,3,0,12,30,2.5,1399,4,18,263,104,5,24
3,1676,9,3,0,12,29,2.4166666666666665,1579,6,25,208,124,16,23
4,2199,9,3,0,12,29,2.4166666666666665,1260,3,12,197,121,5,23
5,1629,8,4,0,12,28,2.3333333333333335,1421,7,18,287,82,10,24
6,3136,8,4,0,12,28,2.3333333333333335,1444,6,21,181,133,11,24
7,3373,8,4,0,12,27,2.25,1366,7,16,195,115,11,23
8,1599,7,5,0,12,27,2.25,1297,5,16,188,130,5,24
9,539,8,3,1,12,27,2.25,1411,5,15,217,124,10,22
10,9003,7,4,1,12,26,2.1666666666666665,1147,6,9,187,111,5,23
11,9709,7,5,0,12,25,2.0833333333333335,1162,3,18,249,78,5,22
12,3361,6,6,0,12,24,2.0,1086,5,11,227,66,5,24
13,3939,7,5,0,12,24,2.0,1140,3,11,250,85,3,21
14,5115,6,6,0,12,23,1.9166666666666667,1133,4,12,219,94,4,23
15,2068,6,6,0,12,23,1.9166666666666667,998,3,16,180,85,4,23
16,8326,6,6,0,12,23,1.9166666666666667,1126,3,13,185,98,4,23
17,4472,6,6,0,12,21,1.75,1217,5,14,248,89,6,21
18,619,5,7,0,12,21,1.75,1374,4,19,212,117,10,22
19,4638,5,7,0,12,21,1.75,962,2,18,176,82,3,23
20,2421,4,7,1,12,20,1.6666666666666667,1006,4,8,216,74,3,23
21,6882,4,7,1,12,20,1.6666666666666667,923,1,9,172,77,3,23
22,5954,4,7,1,12,19,1.5833333333333333,1103,2,20,205,88,6,22
23,7770,5,7,0,12,19,1.5833333333333333,1025,2,10,167,94,7,21
24,1522,4,8,0,12,18,1.5,1073,2,16,170,103,5,21
25,1895,5,7,0,12,18,1.5,1048,1,8,217,93,2,19
26,10058,4,8,0,12,18,1.5,878,1,7,163,78,3,22
27,4456,3,9,0,12,17,1.4166666666666667,1014,4,11,228,62,4,23
28,8590,3,9,0,12,17,1.4166666666666667,932,3,14,205,63,3,23
29,617,4,8,0,12,17,1.4166666666666667,1067,2,11,198,83,6,21
30,2998,1,10,1,12,12,1.0,820,1,7,184,60,3,20
31,404,3,9,0,12,12,1.0,942,1,6,192,82,2,17
