#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,360,3663,9581,5588,3049,4911,208,94,RED
2,4469,4180,4915,3070,1294,2976,166,199,BLUE
3,2557,2928,8302,1983,4682,5683,161,123,RED
4,4450,2046,8303,5827,9446,8051,204,167,RED
5,5588,3049,4911,4469,4180,4915,116,178,BLUE
6,1983,4682,5683,5827,9446,8051,159,144,RED
7,360,3663,9581,3070,1294,2976,226,196,RED
8,2557,2928,8302,4450,2046,8303,184,188,BLUE
9,3070,1294,2976,1983,4682,5683,213,111,RED
10,2557,2928,8302,4469,4180,4915,142,134,RED
11,360,3663,9581,4450,2046,8303,231,162,RED
12,2557,2928,8302,3070,1294,2976,169,220,BLUE
13,4450,2046,8303,3070,1294,2976,170,225,BLUE
14,360,3663,9581,3070,1294,2976,189,166,RED
15,360,3663,9581,3070,1294,2976,258,174,RED
