Team#,Total,Rank,Selection,Elims
360,68,22,16,30
1294,46,14,12,20
1983,26,16,10,0
2046,40,13,14,13
2557,41,19,15,7
2906,9,9,0,0
2907,5,5,0,0
2927,6,6,0,0
2928,39,17,15,7
2929,11,11,0,0
2976,30,5,5,20
3049,21,12,9,0
3070,49,17,12,20
3219,8,8,0,0
3393,12,12,0,0
3588,10,10,0,0
3663,66,20,16,30
3786,4,4,0,0
4180,28,15,13,0
4450,46,19,14,13
4469,31,18,13,0
4579,11,11,0,0
4682,24,14,10,0
4911,22,14,8,0
4915,17,13,4,0
5588,24,15,9,0
5683,17,10,7,0
5827,27,16,11,0
8051,13,7,6,0
8302,19,10,2,7
8303,27,11,3,13
8896,9,9,0,0
9446,24,13,11,0
9581,38,7,1,30
10059,8,8,0,0
