#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,2929,4450,8051,3070,2046,2907,89•,159,BLUE,0,0.9666666666666667,7,13,0,2,0,0.6666666666666666,16,14,2,1
2,3588,4915,5683,1294,5588,2927,44•,115•,BLUE,0,1.0333333333333334,10,4,0,2,1,0.9666666666666667,20,8,1,2
3,3393,8303,4911,8896,2557,3663,38•,164•,BLUE,0,1.0333333333333334,9,3,0,2,1,2.333333333333333,23,10,2,2
4,1983,4469,5827,4180,9581,4579,115•,71•,RED,1,1.7666666666666668,14,11,0,2,0,2.8666666666666663,17,6,0,2
5,360,10059,8302,2906,4682,9446,112,82•,RED,0,2.6666666666666665,14,11,1,1,0,1.1666666666666667,21,6,0,2
6,2976,3219,3786,2928,4469,3049,62,118•,BLUE,0,1.1333333333333333,10,8,0,0,1,2.6666666666666665,16,14,0,2
7,4911,2046,10059,3070,8896,4915,130•,136•,BLUE,1,1.6666666666666667,15,9,2,2,1,1.0333333333333334,14,11,2,2
8,360,2928,9446,9581,4450,4682,152•,124•,RED,0,2.633333333333333,30,12,1,2,0,1.1,12,15,1,2
9,1983,3786,2906,2557,2976,1294,66•,89•,BLUE,0,1.9666666666666668,11,7,0,2,0,1.1333333333333333,14,9,0,2
10,4579,5683,8302,8303,4180,3663,43•,122•,BLUE,0,1.9333333333333333,10,3,0,2,0,1.2666666666666666,27,8,1,2
11,8051,5827,2927,5588,3049,2929,55•,56•,BLUE,0,0.9666666666666667,12,5,0,2,0,0.1,18,3,0,2
12,3393,4450,3588,5683,2907,3219,58,44•,RED,0,1.0,8,9,0,1,0,0.06666666666666667,8,5,0,2
13,8303,5827,360,4911,2928,2976,126•,102•,RED,1,0.7333333333333333,18,10,0,2,0,2.0,25,8,0,2
14,5588,9581,1983,3393,2929,8302,91•,36,RED,0,2.0,12,11,0,2,0,1.0333333333333334,7,4,0,0
15,3588,10059,8896,1294,3786,4579,27•,77•,BLUE,0,1.9666666666666668,1,4,0,2,0,2.8666666666666663,11,6,1,2
16,2557,4915,4469,9446,3070,3663,143•,211•,BLUE,1,1.8666666666666667,12,17,1,2,1,0.3,27,16,2,2
17,4180,8051,2046,3219,2927,2906,127•,42•,RED,0,3.5666666666666664,22,9,2,2,0,1.0333333333333334,9,4,0,2
18,4682,2907,8303,3049,2976,4915,58•,66•,BLUE,0,0.19999999999999998,14,4,0,2,0,2.2,9,8,0,2
19,5827,4579,3663,3219,1983,4911,139•,79•,RED,1,1.2666666666666666,18,12,1,2,0,1.0666666666666667,14,7,0,2
20,2929,9446,3786,5683,3070,360,44•,167•,BLUE,0,1.0333333333333334,13,2,0,2,1,0.6666666666666666,25,15,2,2
21,4180,3049,8896,10059,2557,3393,79•,87•,BLUE,0,1.9666666666666668,25,4,0,2,0,1.166666666666667,10,9,1,2
22,1294,2928,4450,5588,8051,8302,184•,75•,RED,1,1.8666666666666667,23,13,2,2,0,1.9333333333333336,9,11,0,2
23,2907,2927,9581,3588,4469,2046,37•,123•,BLUE,0,0.9333333333333333,5,4,0,2,0,3.3333333333333335,11,16,1,2
24,2906,1294,5683,4682,2928,8896,78,82•,BLUE,0,1.9,13,6,0,1,0,2.0666666666666664,24,3,0,2
25,4469,4911,4579,8302,3786,5827,71•,65•,RED,0,2.6333333333333333,12,7,0,2,0,1.9666666666666668,5,9,0,2
26,5588,3663,4450,10059,2906,2976,151•,58,RED,1,0.3,20,12,2,2,0,1.1,13,4,0,1
27,2907,4915,3393,2927,4180,360,34,107•,BLUE,0,0.1,4,5,0,1,0,2.6333333333333333,25,8,0,2
28,2557,8051,8303,2046,9446,9581,107•,112•,BLUE,0,1.0666666666666667,8,14,1,2,0,1.6333333333333333,18,7,2,2
29,2929,3219,3070,1983,3588,4682,118,68•,RED,0,0.1,11,12,2,1,0,1.1666666666666667,12,7,0,2
30,2928,2046,5683,9581,3049,3393,129•,50,RED,0,1.6,21,10,1,2,0,1.0,6,8,0,1
31,8302,2557,2927,3219,4579,4915,78•,67•,RED,0,1.0666666666666667,12,6,1,2,1,1.1,10,6,0,2
32,4450,1983,10059,8051,9446,3049,112•,80•,RED,0,0.06666666666666667,17,13,0,2,0,1.0,18,7,0,2
33,5827,8896,1294,3663,4682,360,127•,182•,BLUE,1,1.9333333333333333,14,14,1,2,1,2.1,32,13,1,2
