#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,2811,9442,4692,6343,3574,10103,197,113,RED
2,2930,4125,9438,4513,2147,6831,177,164,RED
3,2910,2926,9680,3826,2412,4060,196,176,RED
4,1595,1318,4131,955,4980,9613,210,122,RED
5,6343,3574,10103,4513,2147,6831,137,136,RED
6,3826,2412,4060,955,4980,9613,170,119,RED
7,2811,9442,4692,2930,4125,9438,223,177,RED
8,2910,2926,9680,1595,1318,4131,166,190,BLUE
9,2930,4125,9438,3826,2412,4060,192,189,RED
10,2910,2926,9680,6343,3574,10103,180,108,RED
11,2811,9442,4692,1595,1318,4131,223,171,RED
12,2910,2926,9680,2930,4125,9438,187,182,RED
13,1595,1318,4131,2910,2926,9680,181,203,BLUE
14,2811,9442,4692,2910,2926,9680,247,271,BLUE
15,2811,9442,4692,2910,2926,9680,218,230,BLUE
