#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,6076,10103,4061,3826,4512,2930,65•,115•,BLUE,1,0.13333333333333333,10,6,0,2,0,3.3,20,9,1,2
2,2980,2926,1595,4125,2147,4060,150•,141•,RED,1,2.033333333333333,28,10,1,2,1,0.26666666666666666,29,7,1,2
3,9438,4980,3574,4513,1318,9613,95•,109••,BLUE,0,0.9666666666666667,24,7,0,2,0,3.2,26,5,1,2
4,5920,6831,3712,2811,9680,9442,88•,174•,BLUE,1,0.9666666666666667,9,10,0,2,0,1.3000000000000003,21,14,3,2
5,8532,6350,3876,4104,955,2910,40,137•,BLUE,0,1.0,8,3,0,1,1,1.9666666666666668,25,6,1,2
6,6343,2412,10103,2903,4692,4131,114,66,RED,0,1.0,14,12,1,1,0,1.0666666666666669,8,10,0,1
7,4061,9438,9680,6831,2980,3876,56•,78•,BLUE,0,0.19999999999999998,13,6,0,2,1,0.9333333333333333,8,9,0,2
8,2147,4980,4104,6076,3574,1318,87•,101,BLUE,0,1.8666666666666667,23,7,0,2,0,1.2,26,7,0,1
9,9442,4131,3826,2926,6343,4512,138•,142•,BLUE,1,1.1,25,12,1,2,0,2.0999999999999996,20,16,1,2
10,2930,4060,1595,8532,2903,3712,152•,75•,RED,1,2.333333333333333,28,11,1,2,1,1.0666666666666667,12,6,0,2
11,4125,4513,5920,9613,955,2910,109•,143•,BLUE,0,1.1333333333333335,23,9,1,2,1,1.1,21,8,2,2
12,2412,6350,9680,2811,4692,10103,71•,142•,BLUE,0,1.0,11,5,1,2,1,2.1666666666666665,19,14,1,2
13,1318,8532,2926,955,2980,5920,162,76•,RED,0,1.4,30,9,2,1,1,0.9666666666666667,15,5,0,2
14,4061,2903,6343,6350,4513,9442,66•,109•,BLUE,0,0.16666666666666666,6,10,0,2,0,1.0333333333333334,18,11,1,2
15,3574,2147,2811,9438,3826,3876,131•,68•,RED,0,1.2000000000000002,25,7,2,2,1,1.9666666666666668,11,5,0,2
16,3712,4692,4125,6076,2412,9613,97•,76,RED,0,3.0666666666666664,13,9,1,2,0,0.03333333333333333,11,6,1,1
17,6831,2930,4104,4131,2910,1595,94•,129•,BLUE,0,2.3,15,9,0,2,1,2.033333333333333,17,11,1,2
